indice,ingles_original,modelo_a,prompt_a,trad_a,modelo_b,prompt_b,trad_b,bertscore,mediana_bertscore,limite_inferior,limite_superior,status
0,crack the whip,gpt,prompt2,Estalar o chicote.,gpt,prompt4,dar a ordem,0.7,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt2,Estalar o chicote.,gemini,prompt2,Comandar com mão de ferro.,0.75,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt2,Estalar o chicote.,gemini,prompt4,Dar chicotadas.,0.78,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt2,Estalar o chicote.,gemma3,prompt2,"Endurecer, aplicar medidas rigorosas.",0.68,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt2,Estalar o chicote.,gemma3,prompt4,Apurar o chicote.,0.87,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt2,Estalar o chicote.,gemmaX,sem_prompt,crack the whip,0.65,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt4,dar a ordem,gemini,prompt2,Comandar com mão de ferro.,0.76,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt4,dar a ordem,gemini,prompt4,Dar chicotadas.,0.7,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt4,dar a ordem,gemma3,prompt2,"Endurecer, aplicar medidas rigorosas.",0.66,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt4,dar a ordem,gemma3,prompt4,Apurar o chicote.,0.69,0.7,0.53,0.88,consistente
0,crack the whip,gpt,prompt4,dar a ordem,gemmaX,sem_prompt,crack the whip,0.72,0.7,0.53,0.88,consistente
0,crack the whip,gemini,prompt2,Comandar com mão de ferro.,gemini,prompt4,Dar chicotadas.,0.72,0.7,0.53,0.88,consistente
0,crack the whip,gemini,prompt2,Comandar com mão de ferro.,gemma3,prompt2,"Endurecer, aplicar medidas rigorosas.",0.7,0.7,0.53,0.88,consistente
0,crack the whip,gemini,prompt2,Comandar com mão de ferro.,gemma3,prompt4,Apurar o chicote.,0.74,0.7,0.53,0.88,consistente
0,crack the whip,gemini,prompt2,Comandar com mão de ferro.,gemmaX,sem_prompt,crack the whip,0.68,0.7,0.53,0.88,consistente
