frase,score
There is no such thing as a good Trump voter,107
Trump spreads fake news about Obama in the Philippines,152
St. Louis archbishop leads prayer for peace after violent protests,313
There is no reason for the health insurance industry to exist,345
Bernie Sanders says Democrats are ready to help Republicans fix Obamacare,386
LeBron James has some interesting things to say about the Celtics,389
The president has declared war on his own country,418
Can Dominic Thiem be considered a title contender at the 2017 US Open?,424
Queen Elizabeth II faces problems with royal duties being neglected,457
Chris Bosh says LeBron and Wade can win another title together,525
Every Republican should know Dictionary.com's 2017 Word of the Year,525
"""Indictment Weekend"" claims its first victim: Roger Stone banned from Twitter",533
Lott: Democrats keep guns out of poor people’s hands,534
Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,575
Wimbledon: Roger Federer and Marin Cilic Reach the Final,600
Why Dylan O'Brien is taking on a new role,653
How the transgender crusade made me rethink my support for gay marriage,682
An IGA Supermarket in Montreal is growing its own vegetables on the roof,712
Jeff Sessions just put a military general in charge of our federal prison system,776
Google’s Eric Schmidt admits political censorship of search results,882
"Government reports 261,000 new jobs created in October, wages slip",887
"Mark Penn and Andrew Stein have published the most execrable ""advice to Democrats"" op-ed ever",894
Here are 10 times white people falsely accused innocent people of color of crimes they didn’t commit,897
TV host Maria Menounos reveals battle with brain tumor,929
Photogallery - J.R. Smith says LeBron James is leaving the Cleveland Cavaliers,931
Why climate change is creating a new generation of child brides,936
Saudi Arabia plans to lift driving ban on women,941
Historians explain the difference between George Washington and Confederate monuments,947
Addie Zinone says that she had an affair with Matt Lauer 16 years ago,974
Weiner emails create new troubles for Hillary Clinton (Video),977
Tesla installs world’s largest lithium-ion battery in South Australia,983
How can a ‘sanctuary school’ protect its DACA students?,1004
"More than a week later, we still don't know who joined the conspiracy at Trump Tower",1018
Did You Know These Details About the Democratic Party?,1034
"How Vietnam dramatically changed our views on soldiers, honor and war",1050
"Why I stand for the national anthem, and why I will never force anyone else to stand",1075
"Michael Flynn's family sets up a legal defense fund for Flynn, but not his son",1078
‘30 Rock’ and ‘Friday Night Lights’ Are Leaving Netflix in October,1090
Amazon Opens Its First “Just Walk Out” Store in Seattle,1113
Did they think we wouldn't notice? Senate Republicans exempt themselves from parts of Trumpcare,1150
How credit scoring by companies like Equifax reinforce racial and class inequality,1151
US congress threatens to cut payments to Iraqi Kurds,1186
Harvey Weinstein loses The Weinstein Company amid sexual assault allegations,1195
Grigor Dimitrov wins the 2017 Cincinnati Masters over Nick Kyrgios,1212
That became the basis for spying on the Trump campaign!,1238
"ISIS Is Apparently Selling Stolen Artifacts on eBay, Amazon, Facebook, WhatsApp",1258
Will planetary protection stop humans from going to Mars?,1278
"We Need the EMP Threat Commission, Now More Than Ever",1287
Isaiah Thomas thinks the Celtics will regret trading him,1315
FBI demands answers on sale of baby body parts,1331
Nord Stream 2 Pipeline Would Put European Stability at Risk,1349
How US Tries to Link Iran to Al Qaeda,1352
Medical marijuana is helping people for many more health problems than just pain,1355
Know Your Enemy: US considered most dangerous country globally (Video),1399
"""We need water."" A cry for help from our fellow citizens in Puerto Rico",1418
Manafort accused of lying to bankruptcy court — by his own son-in-law,1438
"""Mitch & Greg"" Explain Why You Should Never Have Kids",1440
Trump administration prepares to rob women of free birth control provided by health insurance,1461
Literally a few hours ago the world was in shock – George Soros was dead! He was found dead in the Burj al Arab hotel in Dubai. He was 87 years old.,1468
The Democrats should spend some time with Camille Paglia this weekend,1469
Photogallery - #WhiteWednesday is taking over social media as women in Iran protest,1483
"It makes sense for progressives to go after Trump voters, too",1485
President Donald Trump kicks CNN reporter out of Oval Office,1528
"""I'm not rich,"" said the lawyer to the nurse, ""so we don't need campaign finance reform.""",1537
Donald Trump will increase the US military power in Afghanistan,1538
What Trump is Doing in Jerusalem and Why He Is Doing It,1543
Red Star/White Star: Why the Lockheed F-35 Should Fear Russia’s Su-35,1571
Kim Kardashian flaunts her weight loss success in a bikini,1573
White nationalist rally: Obama quotes Nelson Mandela's 'Long Walk to freedom',1579
An ancient jawbone from a cave in Israel shows humans may have left Africa much earlier than thought,1621
WATCH: Mitch McConnell condemns another Republican senator for sexual misconduct in 1995,1659
"Trump administration threatens to shut down Palestinian office in Washington, D.C. – Dr. Rich Swier",1685
Photogallery - The US punishes Chinese and Russian companies because of North Korea,1703
"Alan Sagner, Who Revitalized the Port Authority, Dies at 97",1718
Russian billionaire insists Trump Tower meeting not about Clinton,1774
WATCH LIVE: President Donald Trump unveils Afghanistan strategy in address to nation,1786
Google Play Apps May Have Infected Phones With Malware,1799
President Donald J. Trump Accepts the Resignation of White House Press Secretary Sean Spicer,1801
Sean Spicer and Chelsea Manning Join Harvard as Visiting Fellows,1809
Prosecutors Want Anthony Weiner to Serve About 2 Years in Prison,1813
Google Home Mini affected with bug that records conversations,1829
Kevin McCarthy: Tax Reform Will Help Innovation and Entrepreneurship,1831
PaulCraigRoberts.org George Soros Could Not Subvert Europe Without Washington’s Approval,1835
Game of Thrones: a new theory by a Redditor shakes the whole fandom,1862
Chrissy Metz Will Make Her Stage Debut in ‘Fat Pig’,1871
Donna Brazile reveals the extent of Hillary Clinton corruption at the DNC,1882
Roy Moore reveals frightening reality: Many Evangelicals agree with and encourage child predation,1896
How the MS-13 gang flourishes seven blocks from the White House,1900
Cobie Smulders and Taran Killam Still Want to Leave Battery Park,2018
McCarthy announces Rodgers' replacement and also signs 3rd QB,2024
Netflix renews 'House of Cards' for the sixth and final season,2065
"José Molina, 81, Who Brought Spanish Dance to U.S. Audiences, Dies",2066
80 nations celebrate International Workers Day on May 1. Why not the U.S.?,2076
Texas Senate Says No to Boys in Girls’ Bathrooms,2080
Microsoft’s Surface Book 2 features more computational power than any rival,2086
Trump using donors' campaign cash to pay for his idiot son's legal defense,2106
Ten Commandments monument in AK defaced less than 24 hours after installation,2111
President Trump defends Melania's fashion on her foreign visits,2114
Trump Announces New Ways to Help Veterans Get Medical Care,2114
"In a Swiss Ski Town, Private Chalets Have Become the Place to Stay",2118
"Fearing the Worst, China Plans Refugee Camps on North Korean Border",2119
Joseph P. Kennedy III Gives Democratic Response to State of the Union,2121
Why Net Neutrality Was Repealed and How It Affects You,2127
Wells Fargo May Have Found More Fake Accounts Created by Employees,2144
When the Boss Wants You to Do Something Unethical,2150
House Homeland Security Committee to hold hearings on white supremacy,2168
‘No Man’s Sky’ DLC: Update 1.3 to introduce a fourth race? What we know so far,2201
Senate Tax Reform Plan Fails to Protect American Family Businesses,2219
Scaramucci: Trump loves pizza so he can’t be elitist,2223
"Instead of Launching a Missile, North Korea Throws a Party",2224
Sheriff Joe Arpaio Says He Would Accept Pardon from Donald Trump,2239
Why I’ve decided to unfollow the president on Twitter,2241
Vince Young surpassed by Marcus Mariota in Tennessee Titans record book,2251
Mike and Nathaniel’s Week in Tech: Everybody Loves Bitcoin,2254
Someone tweeted this about their dad and the response was just amazing,2295
How Pentagon Officials May Have Encouraged a 2009 Coup in Honduras,2303
Mormon Church calls on political leaders to create protections for Dreamers,2305
NEO: How Washington Found Itself in Bed with ISIS,2314
Proof: There Were at Least 7 Different Shooters During the Las Vegas Massacre (Video),2322
Murphy Leads Guadagno by 14 Points in New Monmouth Poll,2324
Wireless Carriers Are Helping Customers Affected by Hurricane Harvey,2325
PressTV-'North Korean missile could reach US in a year',2332
We Don’t Meet Anyone by Accident – 5 Types of Cosmic Connections,2339
Sexual Harassment Allegations Hit the Clinton and Sanders Campaigns,2343
"A year after Don the Con promised to save their jobs, Carrier Corp. employees face more layoffs",2346
Why Asking About Citizenship Could Make the Census Less Accurate,2363
University of Missouri struggles to recruit students two years after protests about racial injustice,2384
Secret Service Holds First Full-Scale Training Exercise at the White House,2388
Jared and Ivanka move personal email accounts to Trump Organization computers to avoid scrutiny,2396
Shane Larkin can revive his career with the Boston Celtics,2396
The White House has become the craziest reality show on TV,2410
These activists predicted Houston flooding catastrophe. Will politicians listen now?,2419
Justin Bieber cancels tour to have sustainable career and lifestyle,2438
You’ll Never Guess Where Kate Middleton Is Spending Halloween,2439
Tom Steyer and fellow Patriots make their Case on C-Span,2446
Why are Democrats suddenly distancing themselves from Hillary? Anybody? Mueller?,2457
"Americans don’t trust CNN, but believe Trump even less",2466
China Denies Rex Tillerson’s Accusations of Predatory Economic Policy,2470
Danielle Steel reveals that she writes six books per year.,2485
Is the National Security Council becoming a national security threat?,2492
Veterans shared their stories in Israel while recovering from war – The Daily Texan [del.icio.us],2504
Rivers Carry Millions of Tons of Plastic Debris into The Sea,2517
"Bitcoin Price Will Hit $1 Million, Says Social Capital Founder",2519
