indice,ingles_original,portugues_traduzido,label,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil,origem,parascore
1,Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,O texano: muçulmano que se juntou ao ISIS primeiro passou a se religar e começou a frequentar mais a mesquita.,0,gpt,prompt4,0.8137,0.9402714967727661,0.8089351058006287,0.6919213533401489,Q1,parascore,0.9455
1,Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,"No Texas, um muçulmano que se juntou ao ISIS primeiro se tornou crente e passou a frequentar mais a mesquita, como quem busca água no deserto.",0,gemini,prompt4,0.8356,0.9274553060531616,0.7913292050361633,0.7879699468612671,Q1,parascore,0.9366
1,Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,Um texano muçulmano que se juntoFebu ao ISIS primeiro se converteu e passou a frequentar a mesquita com mais assiduidade.,0,gemma3,prompt4,0.7629,0.860287606716156,0.795364499092102,0.6331472992897034,Q1,parascore,0.9249
1,Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,Texas: Muçulmano que se juntou ao ISIS primeiro se tornou religioso e começou a passar mais tempo na mesquita.,0,gemmaX,sem_prompt,0.9936,1.0,0.9709576368331908,1.0097700357437134,Q1,dataset_final,
6,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","Maconha recreativa está revertendo a crise de opioides no Colorado, sugere estudo.",0,gemini,prompt2,0.951,1.0,0.8856850862503052,0.9674038887023926,Q2,parascore,0.9428
6,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","A legalização da maconha recreativa está revertendo a crise de opioides em Colorado, sugere estudo.",0,gemma3,prompt2,0.9417,1.0,0.8706288933753967,0.954474687576294,Q2,parascore,0.9511
6,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","A maconha recreativa está ressuscitando Colorado da crise dos opioides, aponta estudo.",0,gemma3,prompt4,0.8556,0.9684144258499146,0.8632895350456238,0.7351108193397522,Q2,parascore,0.9592
6,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","A maconha recreativa está revertendo a crise dos opioides no Colorado, sugere estudo.",0,gemmaX,sem_prompt,0.9694,1.0,0.9105879664421082,0.9976881146430968,Q2,dataset_final,
9,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,Não é bom: a Força Aérea está preparando os B-52 para retornar ao alerta de 24 horas.,0,gpt,prompt2,0.9413,0.9549412131309509,0.9017524123191833,0.9672181606292725,Q2,parascore,0.9669
9,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,Não é bom: a Força Aérea está preparando os B-52 para voltar ao alerta de 24 horas.,0,gpt,prompt4,0.876,0.9401794672012329,0.8774154782295227,0.8103258609771729,Q2,parascore,0.9737
9,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,Ruim: Força Aérea prepara B-52s para voltar ao alerta de 24 horas.,0,gemini,prompt2,0.8354,0.9160487651824951,0.8909727931022644,0.6991434097290039,Q2,parascore,0.9658
