frases_ingles,metrica,modelo,score
They are riding bicycles in the neighborhood.,ROUGE,gemini,0.8571428571428571
They are riding bicycles in the neighborhood.,BLEU,gemini,0.5
They are riding bicycles in the neighborhood.,BERTSCORE,gemini,0.9926744699478149
They are riding bicycles in the neighborhood.,BLEURT,gemini,1.0651298761367798
They are riding bicycles in the neighborhood.,COMET22,gemini,0.9516189098358154
They are riding bicycles in the neighborhood.,KIWI-XL,gemini,1.0069786310195923
They are riding bicycles in the neighborhood.,XCOMET-XL,gemini,1.0
They are riding bicycles in the neighborhood.,ROUGE,gemma3,0.7999999999999999
They are riding bicycles in the neighborhood.,BLEU,gemma3,0.43167001068522526
They are riding bicycles in the neighborhood.,BERTSCORE,gemma3,0.969881534576416
They are riding bicycles in the neighborhood.,BLEURT,gemma3,0.9963711500167847
They are riding bicycles in the neighborhood.,COMET22,gemma3,0.920862078666687
They are riding bicycles in the neighborhood.,KIWI-XL,gemma3,0.9747674465179443
They are riding bicycles in the neighborhood.,XCOMET-XL,gemma3,1.0
They are riding bicycles in the neighborhood.,ROUGE,gemmaX,0.5714285714285714
They are riding bicycles in the neighborhood.,BLEU,gemmaX,0.0
They are riding bicycles in the neighborhood.,BERTSCORE,gemmaX,0.9290297627449036
They are riding bicycles in the neighborhood.,BLEURT,gemmaX,0.8574142456054688
They are riding bicycles in the neighborhood.,COMET22,gemmaX,0.9359807372093201
They are riding bicycles in the neighborhood.,KIWI-XL,gemmaX,0.9791420698165894
They are riding bicycles in the neighborhood.,XCOMET-XL,gemmaX,1.0
They are riding bicycles in the neighborhood.,ROUGE,gpt,1.0
They are riding bicycles in the neighborhood.,BLEU,gpt,1.0
They are riding bicycles in the neighborhood.,BERTSCORE,gpt,1.0
They are riding bicycles in the neighborhood.,BLEURT,gpt,1.0748687982559204
They are riding bicycles in the neighborhood.,COMET22,gpt,0.9780697226524353
They are riding bicycles in the neighborhood.,KIWI-XL,gpt,0.7002042531967163
They are riding bicycles in the neighborhood.,XCOMET-XL,gpt,1.0
They are riding bicycles in the neighborhood.,ROUGE,llama,0.6153846153846153
They are riding bicycles in the neighborhood.,BLEU,llama,0.0
They are riding bicycles in the neighborhood.,BERTSCORE,llama,0.941396176815033
They are riding bicycles in the neighborhood.,BLEURT,llama,0.7234218716621399
They are riding bicycles in the neighborhood.,COMET22,llama,0.8384556174278259
They are riding bicycles in the neighborhood.,KIWI-XL,llama,0.9513355493545532
They are riding bicycles in the neighborhood.,XCOMET-XL,llama,1.0
They are riding bicycles in the neighborhood.,ROUGE,marian,0.6666666666666666
They are riding bicycles in the neighborhood.,BLEU,marian,0.3655552228545123
They are riding bicycles in the neighborhood.,BERTSCORE,marian,0.9304046034812927
They are riding bicycles in the neighborhood.,BLEURT,marian,0.7861441373825073
They are riding bicycles in the neighborhood.,COMET22,marian,0.8786892890930176
They are riding bicycles in the neighborhood.,KIWI-XL,marian,0.9796782732009888
They are riding bicycles in the neighborhood.,XCOMET-XL,marian,0.986945390701294
They are riding bicycles in the neighborhood.,ROUGE,meta,0.125
They are riding bicycles in the neighborhood.,BLEU,meta,0.0
They are riding bicycles in the neighborhood.,BERTSCORE,meta,0.8177641034126282
They are riding bicycles in the neighborhood.,BLEURT,meta,0.11004762351512909
They are riding bicycles in the neighborhood.,COMET22,meta,0.7464099526405334
They are riding bicycles in the neighborhood.,KIWI-XL,meta,0.7148163318634033
They are riding bicycles in the neighborhood.,XCOMET-XL,meta,0.9617582559585571
They are riding bicycles in the neighborhood.,ROUGE,mistral,0.8571428571428571
They are riding bicycles in the neighborhood.,BLEU,mistral,0.8408964152537145
They are riding bicycles in the neighborhood.,BERTSCORE,mistral,0.9681648015975952
They are riding bicycles in the neighborhood.,BLEURT,mistral,0.8980132341384888
They are riding bicycles in the neighborhood.,COMET22,mistral,0.9231094717979431
They are riding bicycles in the neighborhood.,KIWI-XL,mistral,0.8474973440170288
They are riding bicycles in the neighborhood.,XCOMET-XL,mistral,1.0
They are riding bicycles in the neighborhood.,ROUGE,qwen,1.0
They are riding bicycles in the neighborhood.,BLEU,qwen,1.0
They are riding bicycles in the neighborhood.,BERTSCORE,qwen,1.0
They are riding bicycles in the neighborhood.,BLEURT,qwen,1.0748687982559204
They are riding bicycles in the neighborhood.,COMET22,qwen,0.9783550500869751
They are riding bicycles in the neighborhood.,KIWI-XL,qwen,0.9820319414138794
They are riding bicycles in the neighborhood.,XCOMET-XL,qwen,1.0
He likes to watch movies in his free time.,ROUGE,gemini,1.0
He likes to watch movies in his free time.,BLEU,gemini,1.0
He likes to watch movies in his free time.,BERTSCORE,gemini,1.0
He likes to watch movies in his free time.,BLEURT,gemini,1.074525237083435
He likes to watch movies in his free time.,COMET22,gemini,0.981781542301178
He likes to watch movies in his free time.,KIWI-XL,gemini,1.058876395225525
He likes to watch movies in his free time.,XCOMET-XL,gemini,1.0
He likes to watch movies in his free time.,ROUGE,gemma3,0.7058823529411765
He likes to watch movies in his free time.,BLEU,gemma3,0.5462757644646491
He likes to watch movies in his free time.,BERTSCORE,gemma3,0.9736216068267822
He likes to watch movies in his free time.,BLEURT,gemma3,0.9368045330047607
He likes to watch movies in his free time.,COMET22,gemma3,0.9660385251045227
He likes to watch movies in his free time.,KIWI-XL,gemma3,1.0345391035079956
He likes to watch movies in his free time.,XCOMET-XL,gemma3,1.0
He likes to watch movies in his free time.,ROUGE,gemmaX,1.0
He likes to watch movies in his free time.,BLEU,gemmaX,1.0
He likes to watch movies in his free time.,BERTSCORE,gemmaX,1.0
He likes to watch movies in his free time.,BLEURT,gemmaX,1.074525237083435
He likes to watch movies in his free time.,COMET22,gemmaX,0.981781542301178
He likes to watch movies in his free time.,KIWI-XL,gemmaX,1.0540351867675781
He likes to watch movies in his free time.,XCOMET-XL,gemmaX,1.0
He likes to watch movies in his free time.,ROUGE,gpt,1.0
He likes to watch movies in his free time.,BLEU,gpt,1.0
He likes to watch movies in his free time.,BERTSCORE,gpt,1.0
He likes to watch movies in his free time.,BLEURT,gpt,1.074525237083435
He likes to watch movies in his free time.,COMET22,gpt,0.9826611876487732
He likes to watch movies in his free time.,KIWI-XL,gpt,1.0370140075683594
He likes to watch movies in his free time.,XCOMET-XL,gpt,1.0
He likes to watch movies in his free time.,ROUGE,llama,0.75
He likes to watch movies in his free time.,BLEU,llama,0.5298765308495281
He likes to watch movies in his free time.,BERTSCORE,llama,0.9353439807891846
He likes to watch movies in his free time.,BLEURT,llama,0.6677004098892212
He likes to watch movies in his free time.,COMET22,llama,0.9502955079078674
He likes to watch movies in his free time.,KIWI-XL,llama,1.0513571500778198
He likes to watch movies in his free time.,XCOMET-XL,llama,0.9912000298500061
He likes to watch movies in his free time.,ROUGE,marian,0.8888888888888888
