ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,palavra se torna uma pedra,"""Word becomes a stone.""",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
silence becomes a thunder,O silêncio se torna um trovão,Silence becomes thunder.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the doctor walks to the school.,O médico caminha até a escola.,The doctor walks to the school.,Não,,,,,,,Não,Não,Não
strength becomes a diamond,A força se torna um diamante.,The strength becomes a diamond.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time has a mountain,O tempo tem uma montanha.,The time has a mountain.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
mind becomes a gold,A mente se torna ouro.,The mind turns to gold.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
word has a rock,A palavra tem uma rocha.,The word has a rock.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
dream has a star,O sonho tem uma estrela.,The dream has a star.,Sim,2,2,2,Não,Sim,Não,Não,Não,Não
passion is a light,Paixão é uma luz,Passion is a light.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
courage has a sun,Coragem tem um sol.,Courage has a sun.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion has a light,Paixão tem uma luz.,Passion has a light.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
the driver visits the cafe.,O motorista visita a cafeteria.,The driver visits the cafeteria.,Não,,,,,,,Não,Não,Não
dream is a star,O sonho é uma estrela.,The dream is a star.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit is a storm,Espírito é uma tempestade,Spirit is a storm.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
word is a rock,'A palavra é uma rocha.',The word is a rock.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile becomes a wind,O sorriso se torna um vento.,A smile becomes a breeze.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
mind has a gold,A mente possui ouro,The mind has gold.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
hope becomes a ice,Esperança se torna gelo,Hope turns into ice.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
love becomes a moon,amor se torna lua,Love turns into the moon.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
the artist works in the library.,O artista trabalha na biblioteca.,The artist works at the library.,Não,,,,,,,Não,Não,Não
the chef writes the restaurant.,O chef escreve o restaurante.,The chef writes the restaurant.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory becomes a ocean,Memória vira um oceano.,Memory turns into an ocean.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
the child drinks the market.,A criança bebe o mercado.,The child drinks the market.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
smile is a wind,Um sorriso é um vento.,A smile is a wind.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage is a sun,Coragem é um sol.,Bravery is the sun.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
heart has a tree,O coração tem uma árvore.,The heart has a tree.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love has a moon,O amor tem uma lua.,"""Love has a moon.""",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye is a flame,Olho é uma chama,Eye is a flame.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
time is a mountain,Tempo é uma montanha,Time is a mountain.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage becomes a sun,O coragem se torna um sol.,"""The courage becomes a sun.""",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
dream becomes a star,O sonho vira uma estrela.,The dream becomes a star.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
he walks to the park.,Ele caminha até o parque.,He walks to the park.,Não,,,,,,,Não,Não,Não
mind is a gold,A mente é ouro.,The mind is gold.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
eye becomes a flame,Olho se torna uma chama.,Eye becomes a flame.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
heart is a tree,Coração é uma árvore,Heart is a tree.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
soul becomes a shadow,A alma se torna uma sombra.,The soul becomes a shadow.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time becomes a mountain,O tempo torna-se uma montanha.,Time turns into a mountain.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
she writes the office.,Ela escreve no escritório.,She writes in the office.,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
wisdom becomes a garden,A sabedoria se torna um jardim.,The wisdom becomes a garden.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul is a shadow,A alma é uma sombra.,The soul is a shadow.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
wisdom has a garden,Sabedoria tem um jardim.,Wisdom has a garden.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
hope is a ice,Espero.,I hope.,Sim,1,1,1,Não,Não,Sim,Não,Não,Sim
spirit becomes a storm,O espírito se torna uma tempestade.,The spirit becomes a storm.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
hope has a ice,Espero que tudo dê certo.,I hope everything goes well.,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
eye has a flame,O olho tem uma chama.,The eye has a flame.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence is a thunder,O silêncio é um trovão.,"""The silence is a thunder.""",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
passion becomes a light,Paixão torna-se uma luz.,Passion turns into light.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
life is a river,A vida é um rio.,Life is a river.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence has a thunder,Silêncio tem um trovão,Silence has a roar,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
life has a river,A vida tem um rio.,Life has a river.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
memory is a ocean,A memória é um oceano.,Memory is an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice becomes a iron,A voz se torna ferro.,"""The voice turns into iron.""",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile has a wind,Um sorriso tem um vento.,A smile has a breeze.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
heart becomes a tree,coração vira árvore,Heart turns into a tree.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
memory has a ocean,A memória tem um oceano.,The memory has an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
life becomes a river,Vida torna-se um rio.,Life becomes a river.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
my friend drinks the store.,Meu amigo bebe na loja.,My friend drinks at the store.,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
soul has a shadow,A alma tem uma sombra.,The soul has a shadow.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the teacher visits the museum.,O professor visita o museu.,The professor visits the museum.,Não,,,,,,,Não,Não,Não
the student works in the hospital.,O estudante trabalha no hospital.,The student works at the hospital.,Não,,,,,,,Não,Não,Não
strength is a diamond,Força é um diamante.,Force is a diamond.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
voice has a iron,A voz tem ferro.,"""The voice has iron.""",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear becomes a fire,Medo se torna fogo.,Fear turns into fire.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit has a storm,O espírito tem uma tempestade.,The spirit has a storm.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love is a moon,O amor é a lua.,Love is the moon.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
voice is a iron,A voz é um ferrolho,The voice is a lock.,Sim,2,2,2,Não,Não,Sim,Sim,Não,Não
fear has a fire,O medo é uma chama.,"""Fear is a flame.""",Sim,4,4,4,Não,Sim,Não,Sim,Não,Não
wisdom is a garden,Sabedoria é um jardim.,Wisdom is a garden.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
strength has a diamond,Força tem diamante,'Strength has diamonds',Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear is a fire,Medo é um fogo.,Fear is a fire.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
