indice,ingles_original,portugues_traduzido,dataset,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil
2,let the cat out of the bag,Deixar o gato sair do saco.,manual_data,gpt,prompt2,0.9755,1.0,0.9451289176940918,0.9814143776893616,Q2
7,my hands are tied,Minhas mãos estão atadas.,manual_data,gpt,prompt2,1.0327,1.0,0.9588432312011719,1.13926362991333,Q1
14,an iron fist,um punho de ferro,manual_data,gemmaX,sem_prompt,1.0196,0.9967514276504517,0.9797745943069458,1.0822917222976685,Q1
21,an open book,"Um livro aberto
",manual_data,gemini,prompt2,1.0247,1.0,0.9712800979614258,1.1027737855911255,Q1
24,color outside the lines,cor fora das linhas,manual_data,gemmaX,sem_prompt,0.9448,0.9972819089889526,0.9779171347618103,0.8593342304229736,Q2
25,easy as pie,"Fácil como uma torta.
",manual_data,gemini,prompt2,1.0034,1.0,0.9702591300010681,1.039799690246582,Q1
27,change of heart,"Mudança de coração
",manual_data,gemini,prompt2,0.9897,0.9912000298500061,0.9275705218315125,1.0504688024520874,Q1
28,food for thought,alimento para a reflexão,manual_data,gpt,prompt2,1.0223,0.9969807863235474,0.9849836826324463,1.0849970579147339,Q1
29,black as night,preto como a noite,manual_data,gemmaX,sem_prompt,0.9753,1.0,0.9748023152351379,0.9510487914085388,Q2
30,a chip on your shoulder,um chip no seu ombro,manual_data,gemmaX,sem_prompt,1.0022,1.0,0.9319460988044739,1.0746742486953735,Q1
31,close to my heart,"Perto do meu coração.
",manual_data,gemini,prompt2,1.0047,1.0,0.9360928535461426,1.077988624572754,Q1
36,devil's advocate,Defensor do diabo,manual_data,gemma3,prompt2,0.9988,1.0,0.9298215508460999,1.066589593887329,Q1
46,burn your bridges,queime suas pontes,manual_data,gemmaX,sem_prompt,0.9901,0.9912000298500061,0.9773531556129456,1.0018116235733032,Q1
56,best of both worlds,"O melhor dos dois mundos.
",manual_data,gemini,prompt2,1.0006,1.0,0.9637900590896606,1.0379412174224854,Q1
61,all eyes on you,todos os olhares estão em você,manual_data,gpt,prompt2,0.9739,1.0,0.932521402835846,0.9891343116760254,Q2
62,a skeleton in the closet,um esqueleto no armário,manual_data,gpt,prompt2,1.0138,1.0,0.9712516665458679,1.0702849626541138,Q1
64,cool as a cucumber,"Calmo como um pepino.
",manual_data,gemini,prompt2,0.986,1.0,0.8974834084510803,1.0605708360671997,Q1
66,as easy as pie,"Tão fácil quanto uma torta.
",manual_data,gemini,prompt2,1.0011,0.9912000298500061,0.9756783843040466,1.0365184545516968,Q1
67,butterfly effect,efeito borboleta,manual_data,gemmaX,sem_prompt,1.0139,1.0,0.9891905188560486,1.052520990371704,Q1
73,"another day, another dollar","Mais um dia, mais um dólar.",manual_data,gpt,prompt2,1.024,1.0,0.9578486084938049,1.114096760749817,Q1
74,actions speak louder than words,As ações falam mais alto do que as palavras.,manual_data,gemma3,prompt2,1.026,1.0,0.9677042365074158,1.1102709770202637,Q1
75,climbing up the ladder,subindo a escada,manual_data,gpt,prompt2,0.9553,1.0,0.8607469201087952,1.0052765607833862,Q2
78,bleeding heart,coração sangrante,manual_data,gpt,prompt2,1.0067,1.0,0.9768770933151245,1.043233036994934,Q1
82,hard pill to swallow,uma pílula difícil de engolir,manual_data,gemmaX,sem_prompt,1.006,1.0,0.9273374676704407,1.0907284021377563,Q1
83,a slap on the wrist,uma palmada no pulso,manual_data,gpt,prompt2,0.9869,0.9912000298500061,0.9685525894165039,1.001012921333313,Q1
86,cat on a hot tin roof,gato em um telhado quente de lata,manual_data,gpt,prompt2,0.9498,0.987639307975769,0.9775034189224243,0.8841928243637085,Q2
89,add fuel to the fire,acrescentar lenha na fogueira,manual_data,gpt,prompt2,0.9776,1.0,0.9807090759277344,0.9519938230514526,Q2
90,in hot water,em água quente,manual_data,gemmaX,sem_prompt,0.957,0.9912000298500061,0.9921179413795471,0.8878034353256226,Q2
91,boiling point,ponto de ebulição,manual_data,gemmaX,sem_prompt,1.0264,1.0,0.993129312992096,1.086027979850769,Q1
98,cold as ice,"Frio como gelo
",manual_data,gemini,prompt2,1.0151,1.0,0.9780504107475281,1.0672496557235718,Q1
101,chasing shadows,perseguindo sombras,manual_data,gemmaX,sem_prompt,0.9714,0.9912000298500061,0.9871227145195007,0.935800313949585,Q2
102,feast your eyes,"Delicie seus olhos
",manual_data,gemini,prompt2,0.9851,0.9640318155288696,0.9715067744255066,1.0196270942687988,Q2
105,blind as a bat,"Cego de nascença.
",manual_data,gemma3,prompt2,0.9455,0.9947891235351562,0.6691410541534424,1.1724703311920166,Q2
106,light at the end of the tunnel,"Luz no fim do túnel
",manual_data,gemini,prompt2,1.0187,1.0,0.9584968090057373,1.097502589225769,Q1
107,as old as the hills,"Tão velho quanto as colinas
",manual_data,gemini,prompt2,0.9797,0.99811851978302,0.976428747177124,0.9645426273345947,Q2
115,ball is in your court,"A bola está no seu campo.
",manual_data,gemini,prompt2,0.9811,0.9995623826980591,0.9586830735206604,0.9851107597351074,Q2
120,change of tune,"Mudança de tom
",manual_data,gemini,prompt2,0.995,0.9912000298500061,0.9161967635154724,1.0776528120040894,Q1
121,paint the town red,pinte a cidade de vermelho,manual_data,gemmaX,sem_prompt,1.0156,1.0,0.9745609760284424,1.0723670721054077,Q1
122,burnt out,queimado,manual_data,gemmaX,sem_prompt,0.9579,0.9725841283798218,0.9015299677848816,0.9995002746582031,Q2
125,blessing in disguise,Uma bênção disfarçada.,manual_data,gemma3,prompt2,0.9897,1.0,0.9306445717811584,1.0383386611938477,Q1
127,bigger than life,maior que a vida,manual_data,gpt,prompt2,0.9695,1.0,0.989450991153717,0.9189515709877014,Q2
129,arm and a leg,"Um braço e uma perna
",manual_data,gemini,prompt2,1.0049,0.9926327466964722,0.9090039730072021,1.1131254434585571,Q1
130,as hungry as a wolf,tão faminto quanto um lobo,manual_data,gpt,prompt2,0.9491,0.9823263883590698,0.9807646870613098,0.8843245506286621,Q2
135,any port in a storm,qualquer porto numa tempestade,manual_data,gemmaX,sem_prompt,1.0154,1.0,0.975788414478302,1.070267915725708,Q1
145,a fly on the wall,"Uma mosca na parede.
",manual_data,gemma3,prompt2,1.0019,0.9961655139923096,0.938498318195343,1.071053147315979,Q1
146,as sharp as a tack,afiado como uma agulha,manual_data,gemmaX,sem_prompt,0.9394,0.9791871309280396,0.8540635108947754,0.9850675463676453,Q2
149,bottom of the barrel,fundo do barril,manual_data,gemmaX,sem_prompt,0.9643,1.0,0.9641140103340149,0.9286601543426514,Q2
