frase,ranking_total,quartil
Jeff Sessions just put a military general in charge of our federal prison system,60531,Q1_melhor
Saudi Arabia Accuses Iran and Lebanon of Acts of War,81684,Q1_melhor
"We Are the Democratic Party, How Can We Help You?",84324,Q1_melhor
Los Angeles Philharmonic Finds Its Next Leader in Seattle,85402,Q1_melhor
"Trump Administration Faces Hurricane Harvey, Its First Major Natural Disaster",85887,Q1_melhor
Health Insurance Marketplaces Offer More Low-Cost Options than Ever Before,88214,Q1_melhor
Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,96198,Q1_melhor
"200,000 Americans call on Trump to 'recognize Antifa as terror organization'",103238,Q1_melhor
Sony is reducing the prices of its PlayStation VR bundles,108496,Q1_melhor
#TrumpRussia ...Kushner's firm was given $285M Deutsche Bank loan a month before Election Day,109510,Q1_melhor
Russia State Media: Russians See Crimea as ‘First Step in the Reunification of Russia’,111273,Q1_melhor
Trump Administration Says States May Impose Work Requirements for Medicaid,111311,Q1_melhor
"Now, more than ever, Democrats need to shut the Judiciary Committee down",113927,Q1_melhor
Return to Uzbekistan Could Mean Death for Gay Reporter in Russia,114423,Q1_melhor
How the transgender crusade made me rethink my support for gay marriage,120071,Q1_melhor
"Hurricane Maria approaches St. Croix as a Category 5 storm, will hit Puerto Rico tomorrow",120188,Q1_melhor
Berkshire Hathaway Makes a $9 Billion Bid for Energy Future Holdings,122383,Q1_melhor
Apple’s new ad shows how iPads are going to replace laptops,128032,Q1_melhor
Someone Made a Fake Equifax Site. Then Equifax Linked to It.,129700,Q1_melhor
What Christian Artifacts of the Middle East Can Show Us About Tolerance,130742,Q1_melhor
Four States Declare ‘State of Emergency’ as Tropical Storm Nate Approaches,135520,Q1_melhor
"Man Sets Himself on Fire in Sydney, Protesting Immigration Policy",139171,Q1_melhor
North Korean foreign minister compares Trump's threat to dogs barking,139401,Q1_melhor
How Neanderthals Influenced Human Genetics at the Crossroads of Asia and Europe,139775,Q1_melhor
Missing: Rex Tillerson—have you seen your Secretary of State,141478,Q1_melhor
"From San Juan to New York, He Offers Help and Hope for the Uprooted",142941,Q2
Orange County Board of Education Reverses Position and Bans Confederate Flag,145716,Q2
US agency probes Interior Secretary Ryan Zinke for possible Hatch Act violation,146323,Q2
People Are Saying 'We Don't Like Hatred and Bigotry',146526,Q2
Polish Leader Says Other Nations Envy Trump Visit to Warsaw,146628,Q2
global electronic power steering market is expected to witness high growth during the forecast period,147427,Q2
Chester Bennington's wife deletes shocking tweets after death of rock icon,149746,Q2
Aroma Chemicals Market expected to reach US$6.57 bn by the end of 2024,153233,Q2
Texas Clinics Offer ‘No-Cost Abortions’ for Victims of Hurricane Harvey,155181,Q2
Photogallery - Prince Harry and Meghan Markle are planning their wedding their way,156021,Q2
Televangelist predicts Christians will begin a civil war if Trump gets impeached,156918,Q2
CBS News: Congress Wants Phone Records of Trump Jr.-Russia Meeting,157052,Q2
US military has been covering up civilian death counts from its bombing raids.,159165,Q2
New York Times interview: Trump insists there was no collusion with Russia ... sixteen times,159268,Q2
Trump says O. J. Simpson was framed and the LAPD planted evidence in newly released transcripts,162130,Q2
Jenelle Evans talks about all of her kids but fans remind her of abortion,162186,Q2
