ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,"Endurecer, aplicar medidas rigorosas.
","Harden, implement strict measures.",56,48,457,578,616,431,254,2440
blow off steam,"Desabafar.
",To vent.,56,48,370,539,602,643,342,2600
let the cat out of the bag,Revelar o segredo,Reveal the secret.,50,48,448,594,552,514,314,2520
They are riding bicycles in the neighborhood.,Eles estão andando de bicicleta no bairro.,They are riding their bikes in the neighborhood.,15,37,55,272,302,329,1,1011
He likes to watch movies in his free time.,Ele gosta de assistir filmes no tempo livre.,He enjoys watching movies in his free time.,23,25,44,306,162,205,1,766
She enjoys painting in her free time.,Ela gosta de pintar no tempo livre.,She enjoys painting in her free time.,1,1,3,140,13,116,1,275
bite off more than you can chew,Morder mais do que se pode mastigar.,To bite off more than you can chew.,3,9,151,345,394,606,257,1765
my hands are tied,"As minhas mãos estão atadas.
",My hands are tied.,1,48,172,13,199,32,1,466
dime a dozen,Uma dúzia.,A dozen.,14,48,309,465,495,354,79,1764
They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,They are having a picnic in the park.,1,1,3,102,30,115,1,253
leave no stone unturned,"Não deixar pedra sobre pedra.
",Leave no stone unturned.,1,48,63,9,226,512,27,886
hold the fort,"Mantenha a posição.
",Hold your position.,43,48,390,524,490,586,188,2269
He is putting the groceries away.,Ele está guardando as compras.,He is putting away the groceries.,12,48,37,280,221,585,74,1257
fit as a fiddle,Em ótima forma.,"In great shape.
",56,48,449,542,524,509,286,2414
an iron fist,Punho de ferro,Iron fist,14,48,217,378,389,302,24,1372
beggars can’t be choosers,"Quem não tem com o que pagar, não escolhe.
",He who has nothing to pay has no choice.,56,48,415,508,584,457,241,2309
card up your sleeve,"Ter um ás na manga.
",To have a trick up one's sleeve.,43,48,329,624,558,456,237,2295
beating around the bush,"Enrolar a palha.
",Beat around the bush.,18,48,179,296,433,685,268,1927
She is giving a speech at the conference.,Ela está fazendo um discurso na conferência.,She is giving a speech at the conference.,1,1,2,230,91,336,1,662
She wrote a report for work.,"Ela escreveu um relatório para o trabalho.
",She wrote a report for work.,1,1,3,125,98,492,6,726
ace up your sleeve,Um trunfo na manga.,An ace up one's sleeve.,30,48,290,494,551,574,265,2252
an open book,"Um livro aberto.
",An open book.,1,48,166,60,127,144,1,547
She is giving a presentation at work.,"Ela está fazendo uma apresentação no trabalho.
",She is giving a presentation at work.,1,1,3,119,93,123,1,341
He went to a birthday party last night.,"Ele foi a uma festa de aniversário ontem à noite.
",He went to a birthday party last night.,1,1,3,144,48,338,1,536
color outside the lines,"Pinte fora das linhas.
",Think outside the box.,34,48,332,619,467,515,148,2163
easy as pie,"Fácil como descascar uma laranja.
",As easy as peeling an orange.,38,48,367,551,493,59,127,1683
blind as a bat,"Cego como um morcego.
",Blind as a bat.,1,48,132,5,331,527,123,1167
change of heart,Mudança de opinião,Change of opinion,26,48,256,433,405,269,80,1517
food for thought,Comida para pensar.,Food for thought.,1,48,192,191,251,198,1,882
black as night,Preto como a noite.,Black as night.,1,48,163,148,99,408,1,868
a chip on your shoulder,"Um rancor no coração.
",A grudge in the heart.,49,48,397,517,601,323,281,2216
close to my heart,"Perto do meu coração.
",Close to my heart.,1,48,144,18,268,164,1,644
apple of my eye,A menina dos meus olhos.,The apple of my eye.,7,30,205,223,344,635,119,1563
get the show on the road,"Vamos começar!
",Let's start!,56,48,491,616,606,82,133,2032
easy as pie,Fácil como descascar uma laranja.,As easy as peeling an orange.,38,48,367,551,492,48,138,1682
back to square one,"De volta à estaca zero.
",Back to square one.,1,48,130,94,163,117,1,554
devil's advocate,Defensor do diabo,Devil's advocate,1,48,3,250,280,127,1,710
She went to the library to study.,"Ela foi à biblioteca para estudar.
",She went to the library to study.,1,1,2,194,123,193,1,515
fit as a fiddle,"Em ótima forma.
",In great shape.,56,48,449,542,523,519,213,2350
They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,They went to the theater to see a play.,8,19,8,292,186,159,1,673
