ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,# Cracquemos o chicote #,Let's bust the whip,43,75,381,426,454,674,269,2322
blow off steam,"""Tira da janela, descarga o vapor"".","Tosses out the window, lets off steam.",50,75,407,480,511,555,293,2371
let the cat out of the bag,Deixar o gato sair do saco.,Let the cat out of the bag.,1,12,54,7,98,194,1,367
They are riding bicycles in the neighborhood.,Eles andam de bicicleta na vizinhança.,They go around on their bikes around these parts.,76,75,377,376,389,415,149,1857
He likes to watch movies in his free time.,Ele gosta de ver filmes no seu tempo livre.,He likes to watch movies in his spare time.,8,9,18,102,44,83,1,265
She enjoys painting in her free time.,Ela gosta de pintar no seu tempo livre.,She likes painting in her spare time.,25,75,45,139,89,26,1,400
bite off more than you can chew,>>pt<<morde mais do que o suficiente,A bird bites more than enough.,62,75,423,579,664,569,397,2769
my hands are tied,Eu posso. As minhas mãos estão atadas.,I got my hands tied.,30,75,303,189,271,600,322,1790
dime a dozen,# Mas sem dúvida se os amigos vão com ele...,But no doubt if his friends come along,82,75,586,641,690,367,464,2905
They are having a picnic in the park.,Estão fazendo um piquenique no parque.,They're having a picnic in the park.,10,7,66,74,55,58,1,271
leave no stone unturned,Não deixe pedra para baixo.,- Don't leave a stone on the ground.,59,75,432,388,517,453,241,2165
hold the fort,Guarda o forte.,I'll hold this for him.,67,75,558,643,640,675,317,2975
He is putting the groceries away.,Ele está arrumando a comida.,I'm gonna let you get right back to work.,82,75,529,591,650,715,513,3155
fit as a fiddle,"""Aparece como um violão"".","""It looks like a guitar. """,66,75,496,564,477,45,136,1859
an iron fist,Uma mão de ferro,A hand of iron,63,75,349,346,425,68,277,1603
beggars can’t be choosers,"""Os mendigos não podem escolher"".",The beggars have no choice.,68,75,380,310,336,130,1,1300
card up your sleeve,Cartao nas mangas,Cardboard on their sleeves,82,75,444,616,447,583,364,2611
beating around the bush,♪ Bater em volta da mata ♪,♪ hike round the woods ♪,65,75,463,449,602,547,396,2597
She is giving a speech at the conference.,Ela está dando um discurso na conferência.,"Oh, she's giving a speech at the conference.",14,19,182,249,275,215,21,975
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for the job.,20,27,120,172,165,333,1,838
ace up your sleeve,Acerta sua manga,# You got your sleeve ♪,43,75,428,554,530,699,402,2731
an open book,>>pt<<um livro aberto,■p<<< open book,29,75,470,440,413,400,283,2110
She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,She's doing a presentation at work.,25,29,112,192,133,138,1,630
He went to a birthday party last night.,Ele foi para a festa de aniversário ontem à noite.,He came to the birthday party last night.,21,39,31,152,208,288,1,740
color outside the lines,>>pt<<cor fora das linhas,Color out of the lines,30,75,156,252,335,506,121,1475
easy as pie,Simples como uma torta.,Simple as pie.,29,75,288,165,76,325,21,979
blind as a bat,"Sim, a minha mãe falava francamente. Era mais...","Yeah, my mom was actually quite frank, just a more...",75,75,634,669,685,559,493,3190
