indice,ingles_original,portugues_traduzido,label,dataset,modelo,prompt,xcomet_xl,kiwi_xl,comet22,score_combinado,quartil
606,Water boils at 100°C.,"A água ferve a 100°C.
",0,manual_data,gemini,prompt2,1.0,1.1482,0.9886,1.0456,Q1
147,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,0,manual_data,gpt,prompt2,1.0,1.1334,0.9815,1.0383,Q1
589,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,0,manual_data,gpt,prompt2,1.0,1.1346,0.9705,1.035,Q1
447,"blood, sweat, and tears","Sangue, suor e lágrimas.",1,manual_data,gemma3,prompt2,1.0,1.131,0.9736,1.0349,Q1
283,buy a lemon,"Compre uma limão.
",1,manual_data,gemma3,prompt2,1.0,1.138,0.9633,1.0337,Q1
382,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",0,manual_data,gemini,prompt2,1.0,1.1231,0.9779,1.0337,Q1
505,don't judge a book by its cover,"Não julgue um livro pela capa.
",1,manual_data,gemma3,prompt2,1.0,1.1397,0.9594,1.033,Q1
7,my hands are tied,Minhas mãos estão atadas.,1,manual_data,gpt,prompt2,1.0,1.1393,0.9588,1.0327,Q1
706,blood is thicker than water,"Sangue é mais espesso que água.
",1,manual_data,gemini,prompt2,1.0,1.1229,0.9753,1.0327,Q1
116,"blood, sweat, and tears","Sangue, suor e lágrimas.
",1,manual_data,gemma3,prompt2,1.0,1.1229,0.9736,1.0322,Q1
80,She is drinking water.,Ela está bebendo água.,0,manual_data,gpt,prompt2,1.0,1.1115,0.9845,1.032,Q1
158,She made a salad for lunch.,Ela fez uma salada para o almoço.,0,manual_data,gpt,prompt2,1.0,1.1149,0.9794,1.0314,Q1
202,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",0,manual_data,gemma3,prompt2,1.0,1.1175,0.9764,1.0313,Q1
676,She reads a book every night.,Ela lê um livro todas as noites.,0,manual_data,gpt,prompt2,1.0,1.1115,0.9823,1.0313,Q1
438,"blood, sweat, and tears","Sangue, suor e lágrimas",1,manual_data,gemma3,prompt2,1.0,1.1174,0.9747,1.0307,Q1
177,He is reading a newspaper.,Ele está lendo um jornal.,0,manual_data,gpt,prompt2,1.0,1.1119,0.9776,1.0298,Q1
400,smooth sailing,navegação tranquila,1,manual_data,gpt,prompt2,1.0,1.0978,0.9905,1.0294,Q1
259,cloud of suspicion,Nuvem de suspeita,1,manual_data,gemma3,prompt2,1.0,1.1182,0.9692,1.0291,Q1
72,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",0,manual_data,gemini,prompt2,1.0,1.1086,0.9784,1.029,Q1
453,black and blue,preto e azul,1,manual_data,gpt,prompt2,1.0,1.0928,0.9941,1.029,Q1
87,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,0,manual_data,gemma3,prompt2,1.0,1.1135,0.9736,1.029,Q1
228,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",0,manual_data,gemini,prompt2,1.0,1.1057,0.9809,1.0289,Q1
593,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,0,manual_data,gpt,prompt2,1.0,1.1115,0.9723,1.0279,Q1
