frase,ranking_total,quartil
I called my friend last night.,3002,Q1_melhor
They are visiting a museum this afternoon.,3433,Q1_melhor
She took the train to the city.,3473,Q1_melhor
I worked on my computer for two hours.,3582,Q1_melhor
a taste of freedom,3750,Q1_melhor
She works as a software engineer.,3868,Q1_melhor
He took the bus to work.,4187,Q1_melhor
He made a sandwich for lunch.,4252,Q1_melhor
"blood, sweat, and tears",4426,Q1_melhor
The car stopped at the red light.,4588,Q1_melhor
against all odds,5127,Q1_melhor
They are visiting the zoo.,5149,Q1_melhor
She is sending a letter to her friend.,5312,Q1_melhor
He is playing soccer with his friends.,5611,Q1_melhor
She is brushing her teeth before bed.,5693,Q1_melhor
She enjoys painting in her free time.,5742,Q1_melhor
I went to the store to buy some bread.,6104,Q1_melhor
She played cards with her friends.,6241,Q1_melhor
an open book,6273,Q1_melhor
He is drinking tea in the morning.,6369,Q1_melhor
She is giving a presentation at work.,6769,Q1_melhor
He took a walk in the park.,6775,Q1_melhor
He is doing his homework in the study room.,6827,Q1_melhor
They are taking a family vacation.,7034,Q1_melhor
They are playing chess at the table.,7142,Q1_melhor
He went to the gym for a workout session.,7653,Q2
I did the laundry yesterday.,7793,Q2
He ate his breakfast quickly.,7817,Q2
They are doing laundry in the basement.,7858,Q2
a sinking ship,7907,Q2
He enjoyed a cup of coffee in the morning.,7999,Q2
They went to a theme park for the day.,8174,Q2
a penny for your thoughts,8194,Q2
She is watching the stars at night.,8812,Q2
They are attending a concert tonight.,8835,Q2
He is drawing a picture of his dog.,8851,Q2
comfort zone,8861,Q2
black as night,9029,Q2
against the clock,9085,Q2
built like a tank,9139,Q2
all's fair in love and war,10197,Q2
a drop in the ocean,10268,Q2
eye of the storm,10277,Q2
follow your nose,10359,Q2
give the green light,10388,Q2
She went to the gym for a workout.,10526,Q2
easy as pie,11243,Q2
born with a silver spoon,11475,Q2
a blessing in disguise,11590,Q2
like a fish to water,11805,Q2
crying over spilled milk,12520,Q3
blind as a bat,12695,Q3
keep your eyes peeled,12758,Q3
cut from the same cloth,12901,Q3
blind leading the blind,13194,Q3
caught in a web,13334,Q3
She is shopping for groceries.,13569,Q3
a taste of their own medicine,13707,Q3
black mark,14296,Q3
back to the grind,14344,Q3
pull the plug,14365,Q3
kill two birds with one stone,14375,Q3
hard pill to swallow,14732,Q3
dropping like flies,14761,Q3
banging your head against a brick wall,14937,Q3
face the music,16135,Q3
hand in glove,16179,Q3
beggars can’t be choosers,16251,Q3
mind over matter,16341,Q3
burning the midnight oil,16381,Q3
a chip on your shoulder,16504,Q3
antsy as a cat on a hot tin roof,16891,Q3
chasing your tail,17116,Q3
below the belt,17170,Q3
different strokes for different folks,17409,Q3
another one bites the dust,18003,Q4_pior
apple of my eye,18041,Q4_pior
backseat driver,18065,Q4_pior
cutting corners,18071,Q4_pior
rain on your parade,18227,Q4_pior
apple of my eye,18368,Q4_pior
crash and burn,18728,Q4_pior
barking up the wrong tree,18791,Q4_pior
call it a day,18883,Q4_pior
blow a fuse,18952,Q4_pior
birds of a feather flock together,19274,Q4_pior
burnt out,19365,Q4_pior
cat got your tongue,19511,Q4_pior
bare bones,19873,Q4_pior
close to the vest,19990,Q4_pior
as high as a kite,19993,Q4_pior
dive in headfirst,20540,Q4_pior
on cloud nine,20651,Q4_pior
icing on the cake,20724,Q4_pior
batten down the hatches,20861,Q4_pior
hit the sack,21504,Q4_pior
early bird catches the worm,21538,Q4_pior
bite the big one,21813,Q4_pior
call the shots,22000,Q4_pior
go down in flames,22171,Q4_pior
