indice,ingles_original,portugues_traduzido,label,dataset,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl
0,crack the whip,"Endurecer, aplicar medidas rigorosas.
",1,manual_data,gemma3,prompt2,0.7474,0.8868244290351868,0.5040579438209534,0.8513306379318237
1,blow off steam,"Soltar a pressão.
",1,manual_data,gemma3,prompt4,0.8061,0.978117823600769,0.8867979645729065,0.5534518361091614
2,let the cat out of the bag,Deixar o gato sair do saco.,1,manual_data,gpt,prompt2,0.9755,1.0,0.9451289176940918,0.9814143776893616
3,They are riding bicycles in the neighborhood.,"Eles estão andando de bicicleta no bairro.
",0,manual_data,gemini,prompt2,0.9862,1.0,0.9516189098358154,1.0069786310195923
4,He likes to watch movies in his free time.,"Ele gosta de assistir filmes em seu tempo livre.
",0,manual_data,gemini,prompt2,1.0136,1.0,0.981781542301178,1.058876395225525
5,She enjoys painting in her free time.,Ela gosta de pintar no tempo livre.,0,manual_data,gemma3,prompt2,1.0173,1.0,0.9824775457382202,1.0693206787109375
6,bite off more than you can chew,morder mais do que você pode mastigar,1,manual_data,gpt,prompt2,0.7716,0.9078538417816162,0.8095579743385315,0.5973093509674072
7,my hands are tied,Minhas mãos estão atadas.,1,manual_data,gpt,prompt2,1.0327,1.0,0.9588432312011719,1.13926362991333
8,dime a dozen,Uma dúzia.,1,manual_data,gemma3,prompt2,0.8715,0.9794355630874634,0.6774871945381165,0.9574719667434692
9,They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,0,manual_data,gpt,prompt2,1.0168,1.0,0.9804415106773376,1.0700602531433105
10,leave no stone unturned,Não deixe pedra sobre pedra.,1,manual_data,gpt,prompt2,0.8914,0.9903648495674133,0.9064916968345642,0.7772324085235596
11,hold the fort,defenda o forte,1,manual_data,gemmaX,sem_prompt,0.9097,1.0,0.9267252087593079,0.8025228381156921
12,He is putting the groceries away.,Ele está guardando as compras.,0,manual_data,gemma3,prompt2,0.7673,0.9803314208984375,0.9508681893348694,0.37061774730682373
13,fit as a fiddle,em forma como um violino,1,manual_data,gpt,prompt2,0.8586,0.9544636011123657,0.7276504635810852,0.8936147689819336
14,an iron fist,um punho de ferro,1,manual_data,gemmaX,sem_prompt,1.0196,0.9967514276504517,0.9797745943069458,1.0822917222976685
15,beggars can’t be choosers,"""Quem está em necessidade não pode escolher.""",1,manual_data,gpt,prompt2,0.8808,0.9903672933578491,0.668243408203125,0.983691930770874
16,card up your sleeve,cartão na manga,1,manual_data,gemmaX,sem_prompt,0.8602,0.9681761264801025,0.9627515077590942,0.6496034264564514
17,beating around the bush,dar voltas em torno do assunto,1,manual_data,gpt,prompt4,0.6538,0.8627012968063354,0.8043468594551086,0.29424434900283813
18,She is giving a speech at the conference.,Ela está fazendo um discurso na conferência.,0,manual_data,gemma3,prompt2,0.9815,1.0,0.9748256802558899,0.9696955680847168
19,She wrote a report for work.,"Ela escreveu um relatório para o trabalho.
",0,manual_data,gemini,prompt2,0.9137,0.9996652603149414,0.9743129014968872,0.7671240568161011
20,ace up your sleeve,um trunfo na manga,1,manual_data,gemmaX,sem_prompt,0.7277,0.8245719075202942,0.6124162077903748,0.7462446689605713
21,an open book,"Um livro aberto
",1,manual_data,gemini,prompt2,1.0247,1.0,0.9712800979614258,1.1027737855911255
22,She is giving a presentation at work.,"Ela está fazendo uma apresentação no trabalho.
",0,manual_data,gemma3,prompt2,1.014,1.0,0.9747384190559387,1.0672123432159424
23,He went to a birthday party last night.,"Ele foi a uma festa de aniversário ontem à noite.
",0,manual_data,gemini,prompt2,0.9901,1.0,0.9786859154701233,0.9916964173316956
24,color outside the lines,cor fora das linhas,1,manual_data,gemmaX,sem_prompt,0.9448,0.9972819089889526,0.9779171347618103,0.8593342304229736
25,easy as pie,"Fácil como uma torta.
",1,manual_data,gemini,prompt2,1.0034,1.0,0.9702591300010681,1.039799690246582
27,change of heart,"Mudança de coração
",1,manual_data,gemini,prompt2,0.9897,0.9912000298500061,0.9275705218315125,1.0504688024520874
28,food for thought,alimento para a reflexão,1,manual_data,gpt,prompt2,1.0223,0.9969807863235474,0.9849836826324463,1.0849970579147339
29,black as night,preto como a noite,1,manual_data,gemmaX,sem_prompt,0.9753,1.0,0.9748023152351379,0.9510487914085388
30,a chip on your shoulder,um chip no seu ombro,1,manual_data,gemmaX,sem_prompt,1.0022,1.0,0.9319460988044739,1.0746742486953735
31,close to my heart,"Perto do meu coração.
",1,manual_data,gemini,prompt2,1.0047,1.0,0.9360928535461426,1.077988624572754
32,apple of my eye,melhor coisa da minha vida,1,manual_data,gpt,prompt2,0.8679,0.9718141555786133,0.6028798818588257,1.0289872884750366
33,get the show on the road,Colocar o espetáculo na estrada.,1,manual_data,gpt,prompt2,0.9327,0.9635848999023438,0.8847892880439758,0.9496411085128784
