frase,score
chip off the old block,2973
face like thunder,2951
ants in your pants,2898
as high as a kite,2871
chew the fat,2856
behind the eight ball,2788
have a lot on your plate,2787
chip on your shoulder,2784
flying off the handle,2772
backseat driver,2751
caught red-handed,2750
close shave,2745
dressed to kill,2725
burn a hole in your pocket,2720
by the skin of your teeth,2716
beef up,2708
a snowball's chance in hell,2701
all thumbs,2681
blue in the face,2680
cat's meow,2679
bite the dust,2672
bite the bullet,2663
eat your heart out,2613
cutting corners,2608
back on your feet,2605
ace in the hole,2600
bend over backward,2594
big time,2553
crash and burn,2551
beat a hasty retreat,2537
hard as nails,2520
frog in your throat,2516
can't cut the mustard,2490
keep your chin up,2483
bring to the table,2477
coming up roses,2467
hit the sack,2466
fall through the cracks,2459
as fit as a fiddle,2443
dead in the water,2440
butter wouldn't melt,2426
couch potato,2422
give someone the cold shoulder,2406
by the book,2403
bitten by the bug,2399
blue collar,2397
blaze a trail,2359
carry a torch,2329
cooking up a storm,2314
burst your bubble,2313
blown away,2281
be on cloud nine,2278
by a long shot,2255
at the helm,2245
big picture,2237
cat nap,2234
bad egg,2232
break a leg,2229
let the cat out of the bag,2215
crying over spilled milk,2215
have the upper hand,2202
add insult to injury,2194
bad apple,2188
chained to the desk,2169
left out in the cold,2155
bolt from the blue,2143
get the ball rolling,2138
clear the air,2123
adding insult to injury,2121
another string to your bow,2111
bare bones,2109
red herring,2104
hit the ground running,2101
hit the books,2098
call the shots,2081
make waves,2070
all bark and no bite,2069
falling apart at the seams,2058
come up against a brick wall,2045
a piece of cake,2040
broken dreams,2037
at your wit’s end,2027
big shoes to fill,2012
feeling under the weather,2010
burst at the seams,2006
let sleeping dogs lie,1993
how the cookie crumbles,1974
airing dirty laundry,1961
carry the torch,1960
batten down the hatches,1918
against the grain,1910
grasp at straws,1896
bigger fish to fry,1876
cost an arm and a leg,1873
bridge the gap,1866
better safe than sorry,1849
full plate,1841
cut from the same cloth,1835
blind leading the blind,1835
as plain as day,1804
coming full circle,1783
make a mountain out of a molehill,1781
They are driving to the countryside.,1779
a far cry,1772
as smooth as silk,1760
alive and kicking,1732
black mark,1724
call it a night,1701
a taste of their own medicine,1672
dive in headfirst,1661
face the music,1660
butterflies in my stomach,1656
They are going for a run in the morning.,1648
dropping the ball,1648
bend the rules,1630
against the clock,1624
as good as gold,1621
He is going for a bike ride.,1613
blood runs cold,1604
in the same boat,1602
below the belt,1588
banging your head against a brick wall,1564
a clean slate,1564
change your tune,1558
He is taking a walk around the block.,1556
by a hair's breadth,1552
fighting a losing battle,1542
darkest before dawn,1536
as clear as day,1519
finding a needle in a haystack,1503
He is taking a nap on the couch.,1499
come down to earth,1497
cast a shadow,1481
close call,1479
pull the plug,1473
man of the hour,1456
come rain or shine,1444
bite your tongue,1441
burn the midnight oil,1440
He did some gardening in the afternoon.,1432
apple of my eye,1423
like riding a bike,1419
a leopard can't change its spots,1405
bird's eye view,1398
heart of stone,1392
as light as a feather,1392
apple of discord,1392
He is looking out the window at the rain.,1378
a tower of strength,1377
bare your soul,1374
They are jogging through the park.,1373
I did the laundry yesterday.,1357
black and blue,1341
like a fish to water,1328
dance with the devil,1311
They are taking a walk along the beach.,1284
catch lightning in a bottle,1275
"if the shoe fits, wear it",1264
icing on the cake,1258
dare to dream,1241
burnt to a crisp,1230
don't count your chickens before they hatch,1229
eyes in the back of your head,1199
He is working out in the gym.,1194
dropping like flies,1182
have a heart of stone,1174
down in the dumps,1171
"like father, like son",1167
She went to the gym for a workout.,1143
dark horse,1141
They took a bus to the city center.,1140
The dog ran across the yard.,1138
as gentle as a lamb,1119
They went hiking in the mountains.,1112
feeding the fire,1092
I took a photo of the beautiful sunset.,1085
adding fuel to the fire,1081
She is doing her hair in front of the mirror.,1072
dying to know,1062
She is shopping for groceries.,1055
busy as a bee,1052
cast in stone,1050
as busy as a bee,1049
She worked on her project all afternoon.,1033
climbing the walls,1033
He is studying for his exams.,1021
He ate his breakfast quickly.,1006
She is typing on her computer.,1000
come out of your shell,977
all in your head,963
They went on a road trip last summer.,962
He went to the gym for a workout session.,959
back to the grind,942
all's fair in love and war,939
He worked on his computer for hours.,937
call it a day,926
She enjoys walking in the park.,924
I made a cup of tea for myself.,913
They are taking a family vacation.,893
a storm in a teacup,890
live to fight another day,877
"easy come, easy go",877
eye of the storm,874
foot in the door,865
He repaired the broken chair.,864
bring home the bacon,845
They are chatting in the living room.,813
a weight on my shoulders,808
They are playing chess at the table.,807
a place in the sun,806
a drop in the ocean,800
They went to the library to borrow books.,789
built like a tank,787
She is knitting a scarf for winter.,783
I like to read books in the evening.,783
They watched the sunrise at the beach.,778
at a snail's pace,776
They are eating lunch together.,772
don’t put all your eggs in one basket,756
armed to the teeth,756
She went to the dentist for a check-up.,740
They traveled to the mountains for vacation.,739
They are playing basketball in the yard.,737
flying high,731
break the ice,727
all in a day's work,724
They are taking pictures in front of the monument.,722
smooth sailing,720
They went to the zoo with the kids.,711
I went to the store to buy some bread.,708
don't cry over spilled milk,703
calm before the storm,693
curiosity killed the cat,690
She cooked dinner for her family.,685
She is taking a picture of the flowers in the garden.,683
carved in stone,677
down to earth,675
She is making a smoothie for breakfast.,663
burning bridges,655
She took a nap after lunch.,640
all the world's a stage,631
She painted a picture of a landscape.,625
don't bite the hand that feeds you,621
They are playing volleyball at the beach.,605
He is waiting for the bus.,603
She visited the art gallery on Sunday.,598
a blessing in disguise,590
He played video games all evening.,589
back to square one,588
She is watching the stars at night.,586
She is painting a picture on the canvas.,577
He is fixing the car.,564
They are walking through the city streets.,562
They enjoyed a picnic in the park.,562
She had a meeting with her boss.,561
He took a walk in the park.,542
a shot in the dark,541
a taste of freedom,532
He is checking his email.,526
They went to a theme park for the day.,516
like a fish out of water,509
The car stopped at the red light.,508
He is watering the plants.,506
She studied for the test all week.,503
She is visiting her grandmother in the hospital.,502
She is playing with her cat.,500
They are having a family gathering at home.,496
big fish in a small pond,495
He traveled to Paris last year.,483
He sent an email to his colleague.,475
They enjoyed a family dinner together.,474
They had a barbecue in the backyard.,472
He is cleaning the garage.,469
He made a sandwich for lunch.,454
They are having a discussion in the classroom.,453
They went to the supermarket yesterday.,452
better late than never,446
They went to a concert last night.,439
They are enjoying a cup of coffee together.,439
actions speak louder than words,436
She is dancing to the music.,432
She took the train to the city.,432
I am learning how to cook.,430
She walked to the store.,428
They are visiting their friends in the city.,418
back to basics,418
They are playing board games in the living room.,414
He is drinking tea in the morning.,413
They are sitting around the campfire.,408
I worked on my computer for two hours.,406
He is writing a story for school.,403
He is playing soccer with his friends.,396
She is preparing for a job interview.,389
They are planning a trip to Europe.,388
They went to a restaurant for dinner.,381
They went for a walk in the park.,373
They met their friends at the café.,371
She played tennis with her brother.,361
The weather is very cold today.,361
She is ironing her clothes.,351
against all odds,326
They went to a museum last month.,321
She is sending a letter to her friend.,320
don't judge a book by its cover,311
She is writing a letter to her friend.,311
They are doing laundry in the basement.,304
a fish out of water,297
She cleaned the kitchen after dinner.,291
They are having a barbecue in the garden.,291
They are visiting the zoo.,289
She is wearing a red dress.,280
She is practicing yoga in the park.,277
She is organizing her closet.,273
He plays soccer every weekend.,267
from the bottom of my heart,265
They have three children.,264
She brushed her teeth before bed.,252
The dog is playing outside.,245
blood is thicker than water,241
clear as crystal,239
She is putting on her shoes.,207
They are watching TV in the living room.,205
She reads a book every night.,200
The train arrived at the station on time.,199
She is making a salad for lunch.,196
Water boils at 100°C.,52
