ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,palavra se torna uma rocha,The word becomes a rock.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
silence becomes a thunder,silêncio se torna um trovão,silence becomes a thunderbolt,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
the doctor walks to the school.,O médico caminha para a escola.,The doctor walks to the school.,Não,,,,,,,Não,Não,Não
strength becomes a diamond,força se torna diamante,Strength becomes diamond.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
time has a mountain,tempo tem uma montanha,time has a mountain,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
mind becomes a gold,mente se torna ou pensamento se torna um ouro,Mind becomes or thought becomes gold,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
word has a rock,a palavra tem um pedra,the word has a stone,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
dream has a star,sonho tem uma estrela,dream has a star,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion is a light,paixão é uma luz,Passion is a light.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
courage has a sun,coragem tem um sol,courage has a sun,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion has a light,paixão tem uma luz,passion has a light,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
the driver visits the cafe.,o motorista visita o café.,The driver visits the cafe.,Não,,,,,,,Não,Não,Não
dream is a star,sonho é uma estrela,dream is a star,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit is a storm,o espírito é uma tempestade,The spirit is a storm.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
word is a rock,palavra é uma rocha,word is a rock,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
smile becomes a wind,sorriso se torna um vento,smile becomes a breeze,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
mind has a gold,mente tem ouro,mind has gold,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
hope becomes a ice,esperança se torna gelo,hope turns to ice,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
love becomes a moon,amor se torna uma lua,love becomes a moon,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
the artist works in the library.,O artista trabalha na biblioteca.,The artist works in the library.,Não,,,,,,,Não,Não,Não
the chef writes the restaurant.,O chef escreve o restaurante.,The chef writes the restaurant.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory becomes a ocean,memória se torna um oceano,memory becomes an ocean,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
the child drinks the market.,o child drinks the market. (não faz sentido em inglês),The child drinks the market.,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
smile is a wind,sorriso é um vento,smile is a breeze,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
courage is a sun,coragem é um sol,courage is a sun,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
heart has a tree,cor tem um árvore,'the color has a tree',Sim,1,1,1,Não,Não,Sim,Não,Não,Sim
love has a moon,amor tem uma lua,love has a moon,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye is a flame,olho é uma chama,eye is a flame,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
time is a mountain,tempo é uma montanha,time is a mountain,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
courage becomes a sun,coragem se torna um sol,courage becomes a sun,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
dream becomes a star,sonho se torna uma estrela,dream becomes a star,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
he walks to the park.,Ele caminha até o parque.,He walks to the park.,Não,,,,,,,Não,Não,Não
mind is a gold,a mente é um ouro,The mind is gold.,Sim,5,4,4,Não,Sim,Não,Não,Não,Não
eye becomes a flame,olho se torna uma chama,eye becomes a flame,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
heart is a tree,coração é um árvore,heart is a tree,Sim,4,4,5,Sim,Não,Não,Não,Não,Não
soul becomes a shadow,alma se torna uma sombra,The soul becomes a shadow.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
time becomes a mountain,tempo se torna uma montanha,time becomes a mountain,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
she writes the office.,Ela escreve no escritório.,She writes in the office.,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
wisdom becomes a garden,sabedoria se torna um jardim,wisdom becomes a garden,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
soul is a shadow,alma é uma sombra,soul is a shadow,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
wisdom has a garden,Sabedoria tem um jardim.,Wisdom has a garden.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
hope is a ice,esperança é gelo,hope is ice,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit becomes a storm,o espírito se torna uma暴风雨,"""The spirit becomes a暴雨风暴.""",Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
hope has a ice,"""O esperar tem gelo.""","""The waiting has ice.""",Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
eye has a flame,olho tem uma chama,eye has a flame,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
silence is a thunder,o silêncio é um trovão,Silence is a thunder.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
passion becomes a light,paixão se torna uma luz,Passion becomes a light,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
life is a river,a vida é um rio,life is a river,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence has a thunder,o silêncio tem um trueno,silence has a thunder,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
life has a river,vida tem um rio,life is a river,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
memory is a ocean,memória é um oceano,memory is an ocean,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
voice becomes a iron,voz se torna ferro,voice becomes iron,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
smile has a wind,sorriso tem um vento,smile has a wind,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
heart becomes a tree,coração se torna uma árvore,"""Heart becomes a tree""",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
memory has a ocean,memória é um oceano,memory is an ocean,Sim,4,5,5,Não,Sim,Não,Sim,Não,Não
life becomes a river,vida se torna um rio,life becomes a river,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
my friend drinks the store.,Minha amigo bebe o estore.,My friend drank the curtain.,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
soul has a shadow,a alma tem uma sombra,the soul has a shadow,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the teacher visits the museum.,o professor visita o museu.,The teacher visits the museum.,Não,,,,,,,Não,Não,Não
the student works in the hospital.,O aluno trabalha no hospital.,The student works at the hospital.,Não,,,,,,,Não,Não,Não
strength is a diamond,força é um diamante,Strength is a diamond.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
voice has a iron,"""a voz tem ferro""","""The voice has iron.""",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear becomes a fire,medo se torna um fogo,Fear becomes a fire.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit has a storm,o espírito tem uma暴风雨,The spirit has a暴风雨 storm,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
love is a moon,amor é uma lua,love is a moon,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
voice is a iron,voz é ferro,voice is iron,Sim,3,4,5,Sim,Não,Não,Não,Não,Não
fear has a fire,medo tem um fogo,fear has a fire,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
wisdom is a garden,sabedoria é um jardim,wisdom is a garden,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
strength has a diamond,"""força tem um diamante""","""strength has a diamond""",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear is a fire,medo é um fogo,fear is a fire,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
