ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,Endurecer as rédeas,Tighten the reins.,41,52,304,467,517,425,283,2089
blow off steam,Desabafar,To vent,53,52,311,544,603,592,323,2478
let the cat out of the bag,"Revelar o segredo.
",Reveal the secret.,47,52,432,583,564,429,304,2411
They are riding bicycles in the neighborhood.,Eles estão andando de bicicleta no bairro.,They are riding their bikes in the neighborhood.,16,42,56,279,311,322,1,1027
He likes to watch movies in his free time.,Ele gosta de assistir filmes no tempo livre.,He enjoys watching movies in his free time.,23,28,46,316,160,201,1,775
She enjoys painting in her free time.,"Ela gosta de pintar nas horas vagas.
",She enjoys painting in her spare time.,10,26,33,289,189,216,1,764
bite off more than you can chew,"Morder mais do que se pode mastigar.
",To bite off more than you can chew.,3,10,153,356,401,605,260,1788
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,1,52,170,12,186,5,1,427
dime a dozen,Diga uma dúzia,Say a dozen.,25,52,281,517,499,465,188,2027
They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,They are having a picnic in the park.,1,1,3,104,33,107,1,250
leave no stone unturned,"Não deixar pedra sobre pedra.
",Leave no stone unturned.,1,52,66,8,227,506,27,887
hold the fort,"Mantenha a posição.
",Hold your position.,41,52,373,523,493,587,191,2260
He is putting the groceries away.,"Ele está guardando as compras.
",He's putting away the groceries.,25,52,98,305,297,609,123,1509
fit as a fiddle,Em perfeita forma,In perfect shape,53,52,431,493,533,409,135,2106
an iron fist,Punho de ferro,Iron fist,15,52,214,385,399,300,25,1390
beggars can’t be choosers,Quem não tem com o que pagar não pode ser exigente.,You can't be picky when you can't afford it.,39,52,303,471,545,458,177,2045
card up your sleeve,Ter um ás na manga.,To have a trick up one's sleeve.,41,52,312,622,560,444,223,2254
beating around the bush,"Enrolar a pata.
",To put one's foot in it.,53,52,410,589,678,678,377,2837
She is giving a speech at the conference.,Ela está fazendo um discurso na conferência.,She is giving a speech at the conference.,1,1,2,234,93,327,1,659
She wrote a report for work.,"Ela escreveu um relatório para o trabalho.
",She wrote a report for work.,1,1,3,130,98,484,3,720
ace up your sleeve,Um trunfo na manga.,An ace up one's sleeve.,29,52,276,489,551,575,269,2241
an open book,Um livro aberto,An open book,1,52,3,143,130,167,1,497
She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,She is giving a presentation at work.,1,1,3,123,95,150,1,374
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,3,149,50,358,1,563
color outside the lines,"Pense fora da caixa.
",Think outside the box.,33,52,314,608,447,148,56,1658
easy as pie,"Fácil como apanhar água com as mãos.
",Easy as catching water with your hands.,37,52,389,626,584,286,154,2128
blind as a bat,Cego como um morcego.,Blind as a bat.,1,52,136,5,342,491,98,1125
change of heart,Mudança de ideia,Change of heart,1,52,3,199,266,397,48,966
food for thought,Comida para reflexão,Food for thought,1,52,3,223,224,66,22,591
black as night,Preto como a noite,Black as night,1,52,4,170,14,380,6,627
a chip on your shoulder,Uma ressalva/rança,A caveat,43,52,405,581,624,525,319,2549
close to my heart,Perto do meu coração.,Close to my heart.,1,52,149,18,275,241,1,737
apple of my eye,A menina dos meus olhos,The apple of my eye,7,18,96,70,261,604,95,1151
get the show on the road,Vamos começar o show!,Let's start the show!,40,52,349,477,488,234,18,1658
easy as pie,"Fácil como descascar um ovo.
",As easy as peeling an egg.,36,52,339,511,415,40,62,1455
back to square one,"De volta à estaca zero.
",Back to square one.,1,52,135,96,161,108,1,554
devil's advocate,Defensor do diabo,Devil's advocate,1,52,3,252,295,115,1,719
She went to the library to study.,Ela foi à biblioteca para estudar.,She went to the library to study.,1,1,2,200,121,174,1,500
fit as a fiddle,Em ótima forma,In great shape,53,52,418,552,519,447,160,2201
They went to the theater to watch a play.,"Eles foram ao teatro para assistir a uma peça.
",They went to the theater to see a play.,8,20,8,299,179,135,1,650
falling through the cracks,Caindo entre as frestas,Slipping through the cracks,19,52,59,363,382,566,220,1661
She made breakfast for the family.,"Ela fez o café da manhã para a família.
",She made breakfast for the family.,1,1,2,152,115,134,1,406
She is talking on the phone.,Ela está falando ao telefone.,She is on the phone.,5,34,103,360,361,116,87,1066
all bark and no bite,Muito barulho por nada.,Much ado about nothing.,53,52,387,549,522,534,314,2411
apple of discord,Maçã da discórdia,Apple of discord,1,52,3,217,284,641,158,1356
spill the beans,"Contar tudo
",Tell everything.,53,52,442,465,511,347,258,2128
burn your bridges,Queimar as pontes.,To burn bridges.,25,52,279,445,425,351,85,1662
I need to buy groceries this afternoon.,Eu preciso comprar mantimentos esta tarde.,I need to buy groceries this afternoon.,1,1,4,43,16,75,1,141
as bold as brass,Atrevido que só ele/ela.,Bold as they come.,33,52,343,563,582,671,357,2601
close to the vest,"Em segredo, mantido em segredo, discreto.
","Secretly, kept secret, discreet.",53,52,438,599,647,405,343,2537
blood is thicker than water,O sangue é mais grosso que a água.,Blood is thicker than water.,1,35,71,13,127,52,1,300
back to the drawing board,"De volta ao ponto de partida.
",Back to square one.,35,52,288,438,462,463,141,1879
She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,She went to the post office to mail a package.,6,13,13,301,231,99,43,706
as right as rain,De volta à forma,Back in shape,53,52,496,664,586,466,375,2692
He is planning his day ahead.,Ele está planejando o dia dele.,He's planning his day.,21,52,122,431,343,415,43,1427
She took a shower in the morning.,Ela tomou banho pela manhã.,She took a bath in the morning.,10,36,25,349,246,142,1,809
best of both worlds,"O melhor dos dois mundos
",The best of both worlds,7,18,104,95,122,218,1,565
antsy as a cat on a hot tin roof,Nervoso que nem gato em telhado quente.,As nervous as a cat on a hot tin roof.,11,16,195,368,370,492,228,1680
He is building a model airplane.,Ele está construindo um avião de modelo.,He is building a model airplane.,1,1,3,51,57,185,1,299
devil's advocate,Defensor do diabo,Devil's advocate,1,52,3,252,295,115,1,719
burst your bubble,"Explodir sua bolha.
",Burst your bubble.,1,52,155,245,180,570,38,1241
all eyes on you,Todos os olhos em você.,All eyes on you.,1,52,118,10,232,323,1,737
a skeleton in the closet,Um segredo vergonhoso,A shameful secret,44,52,359,566,569,165,72,1827
