indice,ingles_original,melhor_trad,outra_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,parascore
2277,Twitter employee on last day at work deactivates Trump's account,Funcionário do Twitter desativa a conta de Trump no último dia de trabalho.,Funcionário do Twitter no último dia de trabalho desativa a conta de Trump.,gemmaX,sem_prompt,gpt,prompt2,1.0053
2277,Twitter employee on last day at work deactivates Trump's account,Funcionário do Twitter desativa a conta de Trump no último dia de trabalho.,Funcionário do Twitter no último dia de trabalho desativa a conta de Trump.,gemmaX,sem_prompt,gemma3,prompt2,1.0053
1606,Star Wars: The Last Jedi': Rian Johnson discusses the effect of Fisher's death,Star Wars: Os Últimos Jedi: Rian Johnson discute o efeito da morte de Fisher.,Rian Johnson discute o efeito da morte de Fisher.,gemini,prompt2,gemma3,prompt2,1.0013
2277,Twitter employee on last day at work deactivates Trump's account,Funcionário do Twitter desativa a conta de Trump no último dia de trabalho.,Funcionário do Twitter no último dia de trabalho fecha a conta de Trump.,gemmaX,sem_prompt,gpt,prompt4,0.9984
62,Nevada uprising leader Ryan Bundy vowed ‘whatever it takes’ to stop government,"Ryan Bundy, líder da revolta de Nevada, prometeu ""fazer o que for preciso"" para parar o governo.","O líder da revolta de Nevada, Ryan Bundy, prometeu 'o que for preciso' para parar o governo.",gemmaX,sem_prompt,gpt,prompt2,0.9956
2405,Ukraine refused to change the language article of the law on education,A Ucrânia se recusou a alterar o artigo sobre língua na lei de educação.,Ucrânia se recusou a alterar o artigo da lei sobre educação sobre o idioma.,gemma3,prompt2,gemini,prompt2,0.9951
2582,"Marc Kasowitz, Trump Lawyer, Also Represents a Russian Bank","Marc Kasowitz, advogado de Trump, também representa um banco russo.","O advogado de Trump, Marc Kasowitz, também defende um banco russo.",gpt,prompt2,gemma3,prompt4,0.9947
2155,Iran’s President Rouhani accuses US of undermining nuclear deal,"O presidente do Irã, Rouhani, acusa os EUA de minar o acordo nuclear.",Rouhani acusa os EUA de minar o acordo nuclear.,gpt,prompt2,gemini,prompt4,0.994
2456,"Voters oppose Trump's air traffic control privatization plan, poll finds","Eleitores se opõem ao plano de privatização do controle de tráfego aéreo de Trump, revela pesquisa.",Pesquisa aponta que eleitores se opõem ao plano de privatização do controle de tráfego aéreo de Trump.,gemini,prompt2,gemma3,prompt2,0.9936
2180,The Good Doctor' Spoilers: Dr. Shaun and Claire perform major operation,The Good Doctor: Spoilers: Dr. Shaun e Claire realizam uma grande operação.,Spoilers de The Good Doctor: Dr. Shaun e Claire realizam grande operação.,gemmaX,sem_prompt,gemini,prompt2,0.9927
591,PressTV-New Astana talks on Syria to be held end of month,PressTV - Novas negociações em Astana sobre a Síria serão realizadas no final do mês.,PressTV - Novas conversas sobre a Síria em Astana serão realizadas no final do mês.,gemma3,prompt2,gpt,prompt2,0.9926
62,Nevada uprising leader Ryan Bundy vowed ‘whatever it takes’ to stop government,"Ryan Bundy, líder da revolta de Nevada, prometeu ""fazer o que for preciso"" para parar o governo.","O líder da revolta em Nevada, Ryan Bundy, prometeu “o que for preciso” para impedir o governo.",gemmaX,sem_prompt,gemma3,prompt2,0.9923
