ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,dar a ordem,give the command,1,55,62,406,607,556,391,518,2595
blow off steam,dar um passeio,take a stroll,1,68,62,520,677,611,372,287,2597
let the cat out of the bag,Deixar o gato sair do saco.,Let the cat out of the bag.,1,1,12,77,34,194,222,40,580
They are riding bicycles in the neighborhood.,Eles estão passeando de bicicleta pelo bairro.,They are cycling through the neighborhood.,0,37,62,175,377,382,304,110,1447
He likes to watch movies in his free time.,Ele gosta de assistir a filmes em seu tempo livre.,He enjoys catching films in his free time.,0,39,44,130,426,302,479,400,1820
She enjoys painting in her free time.,Ela se diverte pintando em seu tempo livre.,She enjoys coloring outside the lines in her free time.,0,29,46,228,378,408,536,458,2083
bite off more than you can chew,dar um passo maior que a perna,bite off more than you can chew,1,1,1,3,14,250,687,504,1460
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,1,1,62,191,16,157,1,1,429
dime a dozen,de montão,a ton of,1,55,62,411,540,612,665,544,2889
They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,They are having a picnic in the park.,0,1,1,3,72,54,36,1,168
leave no stone unturned,Não deixar pedra sobre pedra.,Leave no stone unturned.,1,1,62,57,12,183,490,58,863
hold the fort,manter a posição,to hold the ground,1,41,62,384,598,517,575,394,2571
He is putting the groceries away.,Ele está guardando as compras.,He is holding onto the groceries.,0,31,62,279,455,516,614,308,2265
fit as a fiddle,Em forma de um violino.,In the shape of a violin.,1,63,62,421,565,505,51,157,1824
an iron fist,punho de ferro,iron fist,1,18,62,278,322,273,197,111,1261
beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",Those without options settle for what they have.,1,68,62,488,571,578,203,496,2466
card up your sleeve,ter um trunfo na manga,to have an ace up one's sleeve,1,55,62,397,570,602,456,498,2640
beating around the bush,dar voltas em torno do assunto,beat around the bush,1,24,62,51,230,424,652,439,1882
She is giving a speech at the conference.,Ela está fazendo uma apresentação na conferência.,She is making a presentation at the conference.,0,24,47,33,329,271,181,1,886
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,0,1,1,3,89,94,547,43,778
ace up your sleeve,Ter um truque na manga.,To have a card up one's sleeve.,1,55,62,432,604,609,430,480,2672
an open book,um livro aberto,an open book,1,1,62,3,95,9,183,1,354
She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,She is giving a presentation at work.,0,1,1,3,84,92,95,1,277
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday bash last night.,0,10,21,22,153,187,350,128,871
color outside the lines,pintar fora das linhas,think outside the box,1,46,62,388,624,449,383,397,2349
easy as pie,fácil como um passeio no parque,easy as pie,1,1,62,3,100,10,595,109,880
blind as a bat,cego como um morcego,blind as a bat,1,1,1,3,92,105,574,186,962
change of heart,mudança de coração,change of heart,1,1,62,3,123,82,257,25,553
food for thought,comida para pensar,food for thought,1,1,62,3,142,43,202,68,521
black as night,escuro como a noite,dark as night,1,31,62,171,246,152,377,156,1195
a chip on your shoulder,estar com um peso na consciência,to have a heavy heart,1,62,62,483,627,684,388,521,2827
close to my heart,Perto do meu coração.,Close to my heart.,1,1,62,162,28,223,167,1,644
apple of my eye,a joia dos meus olhos,the apple of my eye,1,8,13,89,56,191,507,84,948
get the show on the road,colocar a mão na massa,get your hands dirty,1,63,62,482,676,678,397,486,2844
easy as pie,Mamão com açúcar.,A piece of cake.,1,68,62,539,635,608,674,422,3008
back to square one,de volta à estaca zero,back to square one,1,1,1,3,130,24,224,39,422
devil's advocate,advogado do diabo,devil's advocate,1,1,62,3,169,57,265,31,588
She went to the library to study.,Ela foi à biblioteca para se aprofundar nos conhecimentos.,She went to the library to dive deep into knowledge.,0,29,35,234,416,430,328,208,1680
fit as a fiddle,Em plena forma.,In top shape.,1,68,62,528,592,540,565,416,2771
They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,They went to the theater to watch a play.,0,1,1,2,198,83,61,1,347
falling through the cracks,ficar à margem,to be on the sidelines,1,60,62,446,583,628,447,454,2680
She made breakfast for the family.,Ela preparou o café da manhã para a família.,She made breakfast for the family.,0,1,1,2,97,99,37,1,238
She is talking on the phone.,Ela está ao telefone.,She's on the line.,0,44,62,331,381,595,107,259,1779
all bark and no bite,"muito barulho, pouca ação",All talk and no action.,1,38,62,319,582,452,211,371,2035
apple of discord,maçã da discórdia,apple of discord,1,1,62,3,136,29,557,275,1063
spill the beans,revelar o jogo.,to reveal the game,1,57,62,465,645,591,530,475,2825
burn your bridges,queimar as pontes,burn one's bridges,1,41,62,337,375,479,509,172,1975
I need to buy groceries this afternoon.,Preciso fazer compras hoje à tarde.,I need to go shopping this afternoon.,0,28,62,102,346,363,22,1,924
as bold as brass,destemido,fearless,1,68,62,542,558,615,644,539,3028
close to the vest,jogar as cartas na mesa,lay the cards on the table,1,63,62,498,682,659,566,537,3067
blood is thicker than water,Sangue bom não se esquece.,Good blood is never forgotten.,1,52,62,409,617,581,82,507,2310
back to the drawing board,De volta à estaca zero.,Back to square one.,1,49,62,379,434,474,90,271,1759
She went to the post office to send a package.,Ela foi ao correio enviar uma encomenda.,She went to the post office to send a package.,0,1,1,3,132,131,164,1,433
as right as rain,tudo em cima,everything is set,1,68,62,526,650,607,484,470,2867
He is planning his day ahead.,Ele está traçando seu dia.,He's mapping out his day.,0,46,62,299,441,398,379,239,1864
She took a shower in the morning.,Ela tomou um banho pela manhã.,She took a morning shower.,0,31,62,123,303,219,105,70,913
best of both worlds,o melhor dos dois mundos,the best of both worlds,1,8,13,100,69,104,268,1,563
antsy as a cat on a hot tin roof,agitado como um gato em telhado de zinco quente,agitated as a cat on a hot tin roof,1,9,3,93,293,323,413,384,1518
He is building a model airplane.,Ele está montando um aviãozinho de modelo.,He's building a little model airplane.,0,23,62,194,333,230,159,79,1080
devil's advocate,advogado do diabo,devil's advocate,1,1,62,3,169,57,265,31,588
burst your bubble,estourar sua bolha,burst your bubble,1,1,62,2,173,12,425,201,876
all eyes on you,Todos os olhares estão voltados para você.,All eyes are on you.,1,8,62,252,137,211,185,41,896
a skeleton in the closet,esqueleto no armário,skeleton in the closet,1,8,6,98,300,188,123,181,904
He is attending a business meeting.,Ele está participando de uma reunião de negócios.,He is attending a business meeting.,0,1,1,2,43,65,284,1,397
cool as a cucumber,tranquilo como um pepino,cool as a cucumber,1,1,1,3,33,72,173,116,399
He took the bus to work.,Ele pegou o ônibus para o trampo.,He caught the bus to the grind.,0,37,62,270,520,601,609,465,2564
as easy as pie,fácil como um bolo.,Easy as pie.,1,11,62,318,226,174,98,64,953
butterfly effect,efeito borboleta,butterfly effect,1,1,62,3,234,15,127,1,443
They watched a TV show in the evening.,Eles assistiram a um programa de TV à noite.,They watched a TV show at night.,0,31,36,86,240,266,131,1,791
She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,She is brushing her teeth before hitting the hay.,0,24,26,263,525,513,601,483,2435
blown out of the water,derrubado do pedestal,knocked off the pedestal,1,60,62,372,546,563,648,373,2624
He is feeding his pet hamster.,Ele está alimentando seu hamster de estimação.,He is feeding his pet hamster.,0,1,1,3,79,66,148,9,307
I like to drink coffee in the morning.,Eu gosto de tomar café de manhã.,I enjoy sipping coffee in the morning.,0,31,36,97,328,277,102,85,956
"another day, another dollar","Mais um dia, mais um trocado.","Another day, another dime.",1,24,62,267,391,405,444,295,1888
actions speak louder than words,Atos falam mais alto que palavras.,Actions speak louder than words.,1,1,32,109,36,128,10,1,317
climbing up the ladder,subindo na vida,climbing the ladder of life,1,32,62,322,466,431,526,223,2062
early bird catches the worm,"Quem madruga, Deus ajuda.",The early bird catches the worm.,1,6,19,122,184,358,679,442,1810
She is baking cookies in the kitchen.,Ela está preparando doces na cozinha.,She's whipping up treats in the kitchen.,0,45,54,219,385,414,270,207,1594
bleeding heart,coração sensível,tender heart,1,46,62,340,578,584,326,436,2372
She is cleaning the kitchen after dinner.,Ela está arrumando a cozinha após o jantar.,She is tidying up the kitchen after dinner.,0,19,31,56,231,269,139,4,749
She is drinking water.,Ela está se hidratando.,She is watering her soul.,0,49,62,304,530,533,680,477,2635
They are having coffee at the café.,Eles estão tomando um café no café.,They are having a coffee at the café.,0,3,21,6,245,170,43,86,574
hard pill to swallow,peso na consciência,a weight on one's conscience,1,68,62,473,467,686,440,265,2461
a slap on the wrist,uma palmada no pulso,a slap on the wrist,1,1,1,4,11,133,195,124,469
They are visiting a museum this afternoon.,Eles estão fazendo uma visita ao museu esta tarde.,They are paying a visit to the museum this afternoon.,0,29,58,157,254,259,191,70,1018
They are swimming at the pool.,Eles estão mergulhando na piscina.,They are diving into the pool.,0,31,62,169,429,420,215,274,1600
cat on a hot tin roof,Gato em telhado quente.,Cat on a hot tin roof.,1,1,19,90,141,202,295,82,830
She is talking to her friend on the phone.,Ela está conversando com a amiga ao telefone.,She's having a chat with her friend on the phone.,0,38,38,154,266,299,18,5,818
He is walking his dog in the park.,Ele está passeando com seu cachorro no parque.,He's taking his dog for a stroll in the park.,0,34,59,243,304,378,108,53,1179
add fuel to the fire,acirrar a situação,flare up the situation,1,60,62,422,605,550,452,356,2507
in hot water,em apuros,in trouble,1,53,62,428,685,598,559,516,2901
boiling point,ponto de ebulição,boiling point,1,1,62,3,194,4,66,1,331
beat a dead horse,bater na mesma tecla,keep hitting the same note,1,68,62,477,663,680,375,526,2851
blind alley,beco sem saída,dead end,1,68,62,413,503,596,596,429,2667
cutting corners,cortar caminhos,take shortcuts,1,68,62,427,537,484,587,406,2571
actions speak louder than words,Ações falam mais alto que palavras.,Actions speak louder than words.,1,1,32,109,36,125,6,1,310
chip on the shoulder, ter um complexo de vítima,to have a victim mentality,1,68,62,555,643,653,38,543,2562
He washed his car yesterday.,Ele deu um trato no carro ontem.,He gave the car some TLC yesterday.,0,46,62,341,536,480,412,326,2203
cold as ice,fria como o gelo,cold as ice,1,1,62,3,57,11,250,1,385
He is attending a wedding.,Ele está indo a um casamento.,He's heading to a wedding.,0,44,62,268,362,372,166,103,1377
He is making a cup of coffee.,Ele está preparando um café.,He is brewing a coffee.,0,31,62,112,311,349,249,213,1327
chasing shadows,perseguindo sombras,chasing shadows,1,1,62,3,149,22,292,138,667
feast your eyes,Delicie-se com a visão.,Indulge in the sight.,1,68,62,511,482,553,378,323,2377
a diamond in the rough,um diamante bruto,a diamond in the rough,1,1,1,3,81,70,512,118,786
He is having breakfast with his family.,Ele está tomando café da manhã com sua família.,He is breaking bread with his family.,0,28,45,163,470,418,570,399,2093
blind as a bat,cego como um morcego,blind as a bat,1,1,1,3,92,105,574,186,962
light at the end of the tunnel,luz no fim do túnel,light at the end of the tunnel,1,1,1,3,150,108,97,1,361
as old as the hills,tão velho quanto as colinas,as old as the hills,1,1,1,3,93,23,333,56,510
break the ice,quebrar o gelo,break the ice,1,1,62,3,182,97,209,70,624
He went for a jog in the morning.,Ele saiu para uma corrida pela manhã.,He went out for a morning run.,0,31,62,275,353,278,226,127,1352
finding your feet,encontrar o seu caminho,find your way,1,55,62,334,440,426,262,240,1819
give someone a run for their money,dar trabalho a alguém,give someone a hard time,1,46,62,374,464,590,424,299,2259
have a bone to pick,ter uma questão a resolver,to have a problem to solve,1,44,62,385,585,538,101,338,2053
barking up the wrong tree,Estar no caminho errado.,To be off the beaten path.,1,64,62,468,579,670,280,447,2570
He enjoyed a cup of coffee in the morning.,Ele saboreou uma xícara de café pela manhã.,He savored a cup of morning magic.,0,35,62,291,545,448,577,508,2466
ball is in your court,A bola está com você.,The ball is in your court.,1,6,19,218,39,158,178,57,675
"blood, sweat, and tears","sangue, suor e lágrimas","blood, sweat, and tears",1,1,1,3,122,14,35,1,177
going down in flames,ir pro chão em chamas,to go down in flames,1,32,62,135,292,296,616,248,1681
break a leg,Quebrar a perna.,Break a leg.,1,1,62,199,73,172,646,54,1207
The kids played in the playground.,As crianças brincaram no parquinho.,The children played in the playground.,0,13,17,12,158,148,290,1,639
change of tune,mudança de tom,change of heart,1,31,62,324,468,472,419,479,2255
paint the town red,fazer a festa,party hard,1,68,62,524,675,554,668,555,3106
burnt out,queimado,burnt,1,31,62,347,462,185,319,264,1670
burning the midnight oil,Queimar a pestana.,Burning the midnight oil.,1,1,62,174,187,338,690,286,1738
come out of the woodwork,surgir do nada,to come out of thin air,1,44,62,375,569,543,600,461,2654
blessing in disguise,benção disfarçada,blessing in disguise,1,1,62,3,166,42,327,1,602
He is cutting vegetables for dinner.,Ele está picando os legumes para o jantar.,He's chopping the veggies for dinner.,0,48,62,251,380,410,241,132,1524
bigger than life,maior do que a vida,larger than life,1,31,62,32,217,206,272,52,872
cast iron stomach,estômago de ferro,iron stomach,1,18,62,249,437,456,212,414,1848
arm and a leg,custo de um olho da cara,cost an arm and a leg,1,18,32,247,463,490,638,380,2268
as hungry as a wolf,faminto como um lobo,hungry as a wolf,1,8,6,183,354,268,555,282,1656
