frase,score
She bought a new phone last week.,221
a penny for your thoughts,226
blood is thicker than water,252
a ray of hope,286
She plays the piano beautifully.,303
She made a salad for lunch.,309
I like to drink coffee in the morning.,311
I need to buy groceries this afternoon.,326
They watched a movie on the weekend.,331
She is arranging flowers in a vase.,333
He likes to watch movies in his free time.,341
I visited my parents last weekend.,342
He washed his car yesterday.,354
my hands are tied,369
a fish out of water,381
I called my friend last night.,387
He watched a football match on TV.,393
He is doing his homework in the study room.,395
The sun rises in the east.,395
calm before the storm,399
She is gardening in the backyard.,401
They planted flowers in the garden.,402
an arm and a leg,406
He took the bus to work.,417
fish out of water,421
an open book,426
a skeleton in the closet,430
He wrote a letter to his friend.,438
boiling point,450
She works as a software engineer.,452
buy a lemon,454
He went fishing with his friends.,457
She made breakfast for the family.,463
a heart of gold,468
She attended a conference last week.,468
cloud of suspicion,469
clear as mud,472
bigger than life,475
an iron fist,479
He called his parents yesterday.,484
cold as ice,486
all eyes on you,492
I met my friends for lunch.,508
She went to the post office to send a package.,519
all in the same boat,524
She is preparing dinner for the guests.,536
any port in a storm,538
She had a cup of soup for lunch.,546
She is playing with her children in the garden.,569
I am playing video games in my room.,582
She went to the library to study.,583
climbing the corporate ladder,590
He visited the museum with his class.,592
a blessing in disguise,604
black as coal,605
as old as the hills,613
She danced at the party last night.,613
a sinking ship,616
light at the end of the tunnel,617
food for thought,620
She played cards with her friends.,627
butterfly effect,634
He visited his grandmother in the hospital.,634
"blood, sweat, and tears",637
a penny saved is a penny earned,638
a mountain to climb,638
a fly on the wall,640
He went to a birthday party last night.,650
bottom of the barrel,654
heart of stone,660
breaking the mold,662
as stubborn as a mule,669
caught in the crossfire,680
He went to the airport to catch a flight.,686
as easy as pie,687
He went to the gym to lift weights.,697
a chip on your shoulder,709
They are reading a novel by the fireplace.,717
ball of fire,721
an ounce of prevention is worth a pound of cure,722
bury your head in the sand,728
let the cat out of the bag,730
She is brushing her teeth before bed.,734
She is talking on the phone.,735
change of heart,739
comfort zone,741
as easy as shooting fish in a barrel,748
ball is in your court,749
