indice,ingles_original,mediana_bertscore,limite_inferior,limite_superior,num_pares_total,num_pares_discrepantes,status,status_manual
0,Netanyahu Ditches US Jews For Alliance With Christian Evangelicals And The Alt-right – Countercurrents,0.82,0.62,1.03,21,0,consistente,
1,Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,0.86,0.65,1.08,21,0,consistente,
2,Al Gore Joins Forces With John Kerry’s Wife To Recruit Climate Warriors,0.89,0.67,1.11,21,0,consistente,
3,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,0.85,0.63,1.06,21,0,consistente,
4,Congress's DACA Bill Must Reflect Will of the People,0.91,0.68,1.14,21,0,consistente,
5,Bernie Sanders Just Gave His Best Speech in 2 Years,0.83,0.62,1.03,21,0,consistente,
6,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests",0.91,0.68,1.14,21,0,consistente,
7,"Understand the Philipppines, and you understand the new multipolar world order",0.84,0.63,1.06,21,0,consistente,
8,"Lead BLM Investigator Blows Whistle, Exposes Government Conspiracy Against The Bundy Family",0.86,0.64,1.07,21,0,consistente,
9,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,0.86,0.65,1.08,21,0,consistente,
10,Newspeak! U.N. now calls abortion part of basic 'right to life',0.88,0.66,1.1,21,0,consistente,
11,Crime drops in Phoenix after city drops sanctuary city status,0.88,0.66,1.1,21,0,consistente,
12,In case you forgot: Donald Trump still has the 'nuclear football',0.94,0.71,1.18,21,0,consistente,
13,Federico Pieraccini. Saudi-Israeli Friendship Is Driving the Rest of the Middle East Together. Strategic Culture Foundation. Оn-line journal,0.81,0.61,1.02,21,0,consistente,
14,Blog: The avalanche begins: Turkey dumps Paris Accord following US,0.91,0.69,1.14,21,0,consistente,
15,How credit scoring by companies like Equifax reinforce racial and class inequality,0.95,0.71,1.18,21,0,consistente,
16,This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,0.87,0.65,1.09,21,0,consistente,
17,Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,0.81,0.6,1.01,21,0,consistente,
18,"E.J. Dionne Challenges John McCain to Kill the GOP Tax ""Reform"" Giveaway to The Rich.",0.88,0.66,1.1,21,0,consistente,
19,"‘Liberal’ Washington Post: $$15/hour minimum wage will put people out of work, hurt poorest people",0.83,0.62,1.04,21,0,consistente,
20,Trump meet Carmen Yulin Cruz in Puerto Rico slams him for lying about hurricane.,0.93,0.7,1.17,21,0,consistente,
21,"REVEALED=> NFL Kneeler Colin Kaepernick Donated $$25,000 to Cop Killer Fund",0.79,0.6,0.99,21,0,consistente,
22,New Report Destroys Fabricated Myth of Syria’s ‘White Helmets’,0.88,0.66,1.11,21,0,consistente,
23,Vice President Pence Makes Case for Healthcare Repeal Bill in Kentucky,0.88,0.66,1.1,21,0,consistente,
24,"Bitcoin Price Will Hit $1 Million, Says Social Capital Founder",0.89,0.67,1.12,21,0,consistente,
25,YAAAS: Susan Sarandon just dropped a seriously PAINFUL truth-hammer on Hillary Clinton,0.87,0.65,1.09,21,0,consistente,
26,"We Hear You: A Thoughtful, Informative Chat With Trump Champion Sebastian Gorka",0.85,0.64,1.07,21,0,consistente,
27,"After Coup, Even Mugabe’s Own Party Is Dumping Him",0.92,0.69,1.15,21,0,consistente,
28,Can Classical Music Take a Joke? A Violinist Is Shredded,0.86,0.65,1.08,21,0,consistente,
29,US attorney general Jeff Sessions due to face Democrats’ Russia questions next week,0.93,0.7,1.16,21,0,consistente,
30,How To Totally OWN Walking Down Dark Laneways At Night,0.74,0.56,0.93,21,0,consistente,
