indice,ingles_original,portugues_traduzido,label,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil,origem,parascore
2257,"We Are the Democratic Party, How Can We Help You?","Somos o Partido Democrata, como podemos ajudar você?",0,gemma3,prompt2,1.0339,1.0,0.9566197991371156,1.145009160041809,Q1,dataset_final,
2257,"We Are the Democratic Party, How Can We Help You?","Nós somos o Partido Democrata, como podemos ajudar você?",0,gpt,prompt2,1.0158,0.9912000298500061,0.9387423396110535,1.117455005645752,Q1,parascore,0.9554
1466,Saudi Arabia Accuses Iran and Lebanon of Acts of War,Arábia Saudita acusa Irã e Líbano de atos de guerra.,0,gemini,prompt2,1.0328,1.0,0.9469954371452332,1.151277780532837,Q1,dataset_final,
1466,Saudi Arabia Accuses Iran and Lebanon of Acts of War,A Arábia Saudita acusa o Irã e o Líbano de declarar guerra por meio de atos.,0,gemma3,prompt4,0.8437,0.9600034356117249,0.8226833939552307,0.7484297752380371,Q1,parascore,0.9716
610,The president has declared war on his own country,O presidente declarou guerra ao próprio país.,0,gemma3,prompt2,1.0301,1.0,0.969076693058014,1.121143817901611,Q1,dataset_final,
610,The president has declared war on his own country,O presidente declarou guerra à sua própria terra.,0,gemma3,prompt4,0.809,0.8952422142028809,0.8659288883209229,0.6659265160560608,Q1,parascore,0.9511
610,The president has declared war on his own country,O presidente declarou guerra ao seu próprio país.,0,gpt,prompt2,1.0269,1.0,0.9694353938102722,1.1112104654312134,Q1,parascore,0.9504
610,The president has declared war on his own country,O presidente declarou guerra contra o próprio país.,0,gpt,prompt4,0.9505,1.0,0.9508731365203857,0.9006655216217041,Q1,parascore,0.9503
2527,Why is Trump moving the American embassy in Israel to Jerusalem?,Por que Trump está transferindo a embaixada americana em Israel para Jerusalém?,0,gemma3,prompt2,1.0287,1.0,0.9825714826583862,1.1033880710601809,Q1,dataset_final,
2527,Why is Trump moving the American embassy in Israel to Jerusalem?,Por que Trump fincou a bandeira americana em Jerusalém?,0,gemini,prompt4,0.8219,0.8767870664596558,0.7766863703727722,0.8121983408927917,Q1,parascore,0.9633
2527,Why is Trump moving the American embassy in Israel to Jerusalem?,Por que Trump está mudando a embaixada americana em Israel para Jerusalém?,0,gemma3,prompt4,0.5772,0.6932786703109741,0.7547928690910339,0.2836095690727234,Q1,parascore,0.9587
1381,White supremacist website Daily Stormer has a new home — Russia,O site supremacista branco Daily Stormer tem um novo lar — Rússia.,0,gpt,prompt2,1.026,1.0,0.9623057246208192,1.1157735586166382,Q1,dataset_final,
2184,Why is Amazon deleting negative reviews of Hillary Clinton’s new book?,Por que a Amazon está apagando avaliações negativas do novo livro de Hillary Clinton?,0,gemma3,prompt2,1.0243,1.0,0.9746768474578856,1.098317265510559,Q1,dataset_final,
2184,Why is Amazon deleting negative reviews of Hillary Clinton’s new book?,Por que a Amazon está a eliminar comentários negativos sobre o novo livro de Hillary Clinton?,0,gemmaX,sem_prompt,1.0131,1.0,0.9736478924751282,1.065688967704773,Q1,parascore,0.9657
2184,Why is Amazon deleting negative reviews of Hillary Clinton’s new book?,Por que a Amazon está apagando as críticas negativas do novo livro de Hillary Clinton?,0,gpt,prompt4,0.926,0.995238184928894,0.9542071223258972,0.828495979309082,Q1,parascore,0.9593
1516,"Gun Owners Need the NRA, and the NRA Needs You","Os proprietários de armas precisam da NRA, e a NRA precisa de você.",0,gemmaX,sem_prompt,1.0206,1.0,0.94707989692688,1.1147760152816772,Q1,dataset_final,
1516,"Gun Owners Need the NRA, and the NRA Needs You","Armeiros precisam da NRA, e a NRA precisa de vocês.",0,gemma3,prompt4,0.5779,0.6672390699386597,0.7129483819007874,0.35361382365226746,Q1,parascore,0.9691
1516,"Gun Owners Need the NRA, and the NRA Needs You","Os donos de armas precisam da NRA, e a NRA precisa de você.",0,gemini,prompt4,0.9302,0.9952187538146973,0.9292531609535217,0.8662562966346741,Q1,parascore,0.9607
1516,"Gun Owners Need the NRA, and the NRA Needs You","Donos de armas precisam da NRA, e a NRA precisa de você.",0,gemini,prompt2,1.0085,1.0,0.9276959300041199,1.097947597503662,Q1,parascore,0.9574
1661,Tom Steyer bought 535 copies of 'Fire and Fury'—one for each member of Congress,"Tom Steyer comprou 535 exemplares de ""Fire and Fury"" — um para cada membro do Congresso.",0,gemmaX,sem_prompt,1.0191,1.0,0.9385911822319032,1.1187965869903564,Q1,dataset_final,
2562,Only two countries think Trump is doing a better job than Obama did,Apenas dois países acham que Trump está fazendo um trabalho melhor do que Obama.,0,gemmaX,sem_prompt,1.0163,1.0,0.9726186990737916,1.0762977600097656,Q1,dataset_final,
2488,"A 9-year-old boy discovers a million-year-old fossil in Las Cruces, New Mexico","Um menino de 9 anos descobre um fóssil de um milhão de anos em Las Cruces, Novo México.",0,gemini,prompt2,1.0161,1.0,0.9571793675422668,1.0911022424697876,Q1,dataset_final,
633,There is no such thing as a good Trump voter,Não existe tal coisa como um bom eleitor de Trump.,0,gemmaX,sem_prompt,1.0159,1.0,0.9763527512550354,1.071435570716858,Q1,dataset_final,
633,There is no such thing as a good Trump voter,Não existe eleitor de Trump bom.,0,gemini,prompt2,0.9778,1.0,0.8587906360626221,1.0746058225631714,Q1,parascore,0.9547
633,There is no such thing as a good Trump voter,Não existe isso de eleitor bom do Trump.,0,gpt,prompt4,0.9291,1.0,0.9342289566993713,0.8530474305152893,Q1,parascore,0.9544
