indice,dataset,tipo_label,ingles_original,melhor_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,outra_trad,parascore
0,manual_data,metaforicas,crack the whip,Apurar o chicote.,gemma3,prompt4,gpt,prompt2,Estalar o chicote.,0.9252
0,manual_data,metaforicas,crack the whip,Apurar o chicote.,gemma3,prompt4,gpt,prompt4,dar a ordem,0.8427
0,manual_data,metaforicas,crack the whip,Apurar o chicote.,gemma3,prompt4,gemini,prompt2,Comandar com mão de ferro.,0.8642
0,manual_data,metaforicas,crack the whip,Apurar o chicote.,gemma3,prompt4,gemini,prompt4,Dar chicotadas.,0.9023
0,manual_data,metaforicas,crack the whip,Apurar o chicote.,gemma3,prompt4,gemma3,prompt2,"Endurecer, aplicar medidas rigorosas.",0.839
0,manual_data,metaforicas,crack the whip,Apurar o chicote.,gemma3,prompt4,gemmaX,sem_prompt,crack the whip,0.8507
1,manual_data,metaforicas,blow off steam,Desabafar,gemini,prompt4,gpt,prompt2,desabafar,0.8517
1,manual_data,metaforicas,blow off steam,Desabafar,gemini,prompt4,gpt,prompt4,dar um passeio,0.7606
1,manual_data,metaforicas,blow off steam,Desabafar,gemini,prompt4,gemini,prompt2,Desabafar,0.95
1,manual_data,metaforicas,blow off steam,Desabafar,gemini,prompt4,gemma3,prompt2,Desabafar.,0.8904
1,manual_data,metaforicas,blow off steam,Desabafar,gemini,prompt4,gemma3,prompt4,Soltar a pressão.,0.7709
1,manual_data,metaforicas,blow off steam,Desabafar,gemini,prompt4,gemmaX,sem_prompt,desabafar,0.8517
2,manual_data,metaforicas,let the cat out of the bag,Esparramar a pulga.,gemma3,prompt4,gpt,prompt2,Deixar o gato sair do saco.,0.8573
2,manual_data,metaforicas,let the cat out of the bag,Esparramar a pulga.,gemma3,prompt4,gpt,prompt4,Deixar o gato sair do saco.,0.8573
2,manual_data,metaforicas,let the cat out of the bag,Esparramar a pulga.,gemma3,prompt4,gemini,prompt2,Revelar o segredo.,0.8993
2,manual_data,metaforicas,let the cat out of the bag,Esparramar a pulga.,gemma3,prompt4,gemini,prompt4,Revelar o segredo.,0.8993
2,manual_data,metaforicas,let the cat out of the bag,Esparramar a pulga.,gemma3,prompt4,gemma3,prompt2,Revelar o segredo,0.877
2,manual_data,metaforicas,let the cat out of the bag,Esparramar a pulga.,gemma3,prompt4,gemmaX,sem_prompt,Deixe o gato sair da sacola,0.8235
6,manual_data,metaforicas,bite off more than you can chew,dar um passo maior que a perna,gpt,prompt4,gpt,prompt2,morder mais do que você pode mastigar,0.8579
6,manual_data,metaforicas,bite off more than you can chew,dar um passo maior que a perna,gpt,prompt4,gemini,prompt2,Morder mais do que pode mastigar.,0.8616
6,manual_data,metaforicas,bite off more than you can chew,dar um passo maior que a perna,gpt,prompt4,gemini,prompt4,Morder mais do que a boca.,0.8953
6,manual_data,metaforicas,bite off more than you can chew,dar um passo maior que a perna,gpt,prompt4,gemma3,prompt2,Morder mais do que se pode mastigar.,0.8637
6,manual_data,metaforicas,bite off more than you can chew,dar um passo maior que a perna,gpt,prompt4,gemma3,prompt4,Morder mais do que se pode mastigar.,0.8637
6,manual_data,metaforicas,bite off more than you can chew,dar um passo maior que a perna,gpt,prompt4,gemmaX,sem_prompt,tomar mais do que se pode mastigar,0.8466
8,manual_data,metaforicas,dime a dozen,de montão,gpt,prompt4,gpt,prompt2,dezena comum,0.8438
8,manual_data,metaforicas,dime a dozen,de montão,gpt,prompt4,gemini,prompt2,À dime a dúzia,0.835
8,manual_data,metaforicas,dime a dozen,de montão,gpt,prompt4,gemini,prompt4,À dime a dúzia.,0.8279
8,manual_data,metaforicas,dime a dozen,de montão,gpt,prompt4,gemma3,prompt2,Uma dúzia.,0.7924
8,manual_data,metaforicas,dime a dozen,de montão,gpt,prompt4,gemma3,prompt4,Um bando.,0.8284
8,manual_data,metaforicas,dime a dozen,de montão,gpt,prompt4,gemmaX,sem_prompt,uma dúzia de,0.8439
13,manual_data,metaforicas,fit as a fiddle,Em plena forma.,gemma3,prompt4,gpt,prompt2,em forma como um violino,0.8676
13,manual_data,metaforicas,fit as a fiddle,Em plena forma.,gemma3,prompt4,gpt,prompt4,Em forma de um violino.,0.9124
13,manual_data,metaforicas,fit as a fiddle,Em plena forma.,gemma3,prompt4,gemini,prompt2,Em perfeita forma.,0.9615
13,manual_data,metaforicas,fit as a fiddle,Em plena forma.,gemma3,prompt4,gemini,prompt4,Em plena forma.,0.95
13,manual_data,metaforicas,fit as a fiddle,Em plena forma.,gemma3,prompt4,gemma3,prompt2,Em ótima forma.,0.9426
13,manual_data,metaforicas,fit as a fiddle,Em plena forma.,gemma3,prompt4,gemmaX,sem_prompt,em forma como uma camurça,0.8484
15,manual_data,metaforicas,beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",gpt,prompt4,gpt,prompt2,"""Quem está em necessidade não pode escolher.""",0.8981
15,manual_data,metaforicas,beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",gpt,prompt4,gemini,prompt2,Quem pede não escolhe.,0.9414
15,manual_data,metaforicas,beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",gpt,prompt4,gemini,prompt4,"A quem não tem cão, caça com gato.",0.9131
15,manual_data,metaforicas,beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",gpt,prompt4,gemma3,prompt2,"Quem não tem com o que pagar, não escolhe.",0.9622
15,manual_data,metaforicas,beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",gpt,prompt4,gemma3,prompt4,"Quem não tem com o que barganhar, não pode reclamar.",0.9279
15,manual_data,metaforicas,beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",gpt,prompt4,gemmaX,sem_prompt,Os mendigos não podem ser exigentes,0.8496
16,manual_data,metaforicas,card up your sleeve,Trunfo na manga.,gemini,prompt4,gpt,prompt2,carta na manga,0.9351
16,manual_data,metaforicas,card up your sleeve,Trunfo na manga.,gemini,prompt4,gpt,prompt4,ter um trunfo na manga,0.9099
16,manual_data,metaforicas,card up your sleeve,Trunfo na manga.,gemini,prompt4,gemini,prompt2,Carta na manga,0.9397
16,manual_data,metaforicas,card up your sleeve,Trunfo na manga.,gemini,prompt4,gemma3,prompt2,Ter um ás na manga.,0.8895
16,manual_data,metaforicas,card up your sleeve,Trunfo na manga.,gemini,prompt4,gemma3,prompt4,Um trunfo na manga.,0.9338
16,manual_data,metaforicas,card up your sleeve,Trunfo na manga.,gemini,prompt4,gemmaX,sem_prompt,cartão na manga,0.8913
17,manual_data,metaforicas,beating around the bush,Ficar de rodeios.,gemini,prompt4,gpt,prompt2,Enrolando.,0.8648
17,manual_data,metaforicas,beating around the bush,Ficar de rodeios.,gemini,prompt4,gpt,prompt4,dar voltas em torno do assunto,0.8271
17,manual_data,metaforicas,beating around the bush,Ficar de rodeios.,gemini,prompt4,gemini,prompt2,Enrolar,0.8036
17,manual_data,metaforicas,beating around the bush,Ficar de rodeios.,gemini,prompt4,gemma3,prompt2,Enrolar a palha.,0.8464
17,manual_data,metaforicas,beating around the bush,Ficar de rodeios.,gemini,prompt4,gemma3,prompt4,Enrolar.,0.8449
17,manual_data,metaforicas,beating around the bush,Ficar de rodeios.,gemini,prompt4,gemmaX,sem_prompt,dar voltas ao assunto,0.8341
20,manual_data,metaforicas,ace up your sleeve,Ter um truque na manga.,gpt,prompt4,gpt,prompt2,ás na manga,0.8752
20,manual_data,metaforicas,ace up your sleeve,Ter um truque na manga.,gpt,prompt4,gemini,prompt2,Carta na manga,0.9166
20,manual_data,metaforicas,ace up your sleeve,Ter um truque na manga.,gpt,prompt4,gemini,prompt4,Um trunfo na manga,0.8911
20,manual_data,metaforicas,ace up your sleeve,Ter um truque na manga.,gpt,prompt4,gemma3,prompt2,Um trunfo na manga.,0.9248
20,manual_data,metaforicas,ace up your sleeve,Ter um truque na manga.,gpt,prompt4,gemma3,prompt4,Uma carta na manga.,0.9392
20,manual_data,metaforicas,ace up your sleeve,Ter um truque na manga.,gpt,prompt4,gemmaX,sem_prompt,um trunfo na manga,0.9078
25,manual_data,metaforicas,easy as pie,Moleza.,gemini,prompt4,gpt,prompt2,fácil como pãozinho,0.7599
25,manual_data,metaforicas,easy as pie,Moleza.,gemini,prompt4,gpt,prompt4,fácil como um passeio no parque,0.76
25,manual_data,metaforicas,easy as pie,Moleza.,gemini,prompt4,gemini,prompt2,Fácil como uma torta.,0.8071
25,manual_data,metaforicas,easy as pie,Moleza.,gemini,prompt4,gemma3,prompt2,Fácil como descascar uma laranja.,0.8082
25,manual_data,metaforicas,easy as pie,Moleza.,gemini,prompt4,gemma3,prompt4,Fácil como descascar uma laranja.,0.8082
25,manual_data,metaforicas,easy as pie,Moleza.,gemini,prompt4,gemmaX,sem_prompt,fácil como a torta,0.7668
26,manual_data,metaforicas,blind as a bat,Ir para o beleléu.,gemma3,prompt4,gpt,prompt2,cego como um morcego,0.8386
26,manual_data,metaforicas,blind as a bat,Ir para o beleléu.,gemma3,prompt4,gpt,prompt4,cego como um morcego,0.8386
26,manual_data,metaforicas,blind as a bat,Ir para o beleléu.,gemma3,prompt4,gemini,prompt2,Cego como um morcego,0.8311
26,manual_data,metaforicas,blind as a bat,Ir para o beleléu.,gemma3,prompt4,gemini,prompt4,Cego como um morcego.,0.8576
26,manual_data,metaforicas,blind as a bat,Ir para o beleléu.,gemma3,prompt4,gemma3,prompt2,Cego como um morcego.,0.8576
26,manual_data,metaforicas,blind as a bat,Ir para o beleléu.,gemma3,prompt4,gemmaX,sem_prompt,Cego como um morcego,0.8311
30,manual_data,metaforicas,a chip on your shoulder,Uma brasa acesa.,gemma3,prompt4,gpt,prompt2,Um complexo de inferioridade.,0.8801
30,manual_data,metaforicas,a chip on your shoulder,Uma brasa acesa.,gemma3,prompt4,gpt,prompt4,estar com um peso na consciência,0.8425
30,manual_data,metaforicas,a chip on your shoulder,Uma brasa acesa.,gemma3,prompt4,gemini,prompt2,Rancor.,0.9497
30,manual_data,metaforicas,a chip on your shoulder,Uma brasa acesa.,gemma3,prompt4,gemini,prompt4,Estar com a pulga atrás da orelha.,0.8632
30,manual_data,metaforicas,a chip on your shoulder,Uma brasa acesa.,gemma3,prompt4,gemma3,prompt2,Um rancor no coração.,0.8803
30,manual_data,metaforicas,a chip on your shoulder,Uma brasa acesa.,gemma3,prompt4,gemmaX,sem_prompt,um chip no seu ombro,0.8593
31,manual_data,metaforicas,close to my heart,No âmago do meu ser.,gemma3,prompt4,gpt,prompt2,perto do meu coração,0.8908
31,manual_data,metaforicas,close to my heart,No âmago do meu ser.,gemma3,prompt4,gpt,prompt4,Perto do meu coração.,0.9062
31,manual_data,metaforicas,close to my heart,No âmago do meu ser.,gemma3,prompt4,gemini,prompt2,Perto do meu coração.,0.9062
31,manual_data,metaforicas,close to my heart,No âmago do meu ser.,gemma3,prompt4,gemini,prompt4,Perto do meu coração.,0.9062
31,manual_data,metaforicas,close to my heart,No âmago do meu ser.,gemma3,prompt4,gemma3,prompt2,Perto do meu coração.,0.9062
31,manual_data,metaforicas,close to my heart,No âmago do meu ser.,gemma3,prompt4,gemmaX,sem_prompt,perto do meu coração,0.8908
33,manual_data,metaforicas,get the show on the road,Botar a mão na massa!,gemini,prompt4,gpt,prompt2,Colocar o espetáculo na estrada.,0.8811
33,manual_data,metaforicas,get the show on the road,Botar a mão na massa!,gemini,prompt4,gpt,prompt4,colocar a mão na massa,0.9306
33,manual_data,metaforicas,get the show on the road,Botar a mão na massa!,gemini,prompt4,gemini,prompt2,Começar o show.,0.862
33,manual_data,metaforicas,get the show on the road,Botar a mão na massa!,gemini,prompt4,gemma3,prompt2,Vamos começar!,0.944
33,manual_data,metaforicas,get the show on the road,Botar a mão na massa!,gemini,prompt4,gemma3,prompt4,Que comece a festa!,0.8526
33,manual_data,metaforicas,get the show on the road,Botar a mão na massa!,gemini,prompt4,gemmaX,sem_prompt,começar o espetáculo,0.8539
40,manual_data,metaforicas,falling through the cracks,ficar à margem,gpt,prompt4,gpt,prompt2,caindo entre as fendas,0.8235
40,manual_data,metaforicas,falling through the cracks,ficar à margem,gpt,prompt4,gemini,prompt2,Caindo pelas frestas,0.8467
