ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Uso inconsistente,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,a palavra se torna uma pedra,'the word becomes a stone',Sim,5,4,4,Não,Sim,Não,,Não,Não,Não
silence becomes a thunder,o silêncio se torna um trovão,Silence becomes a thunder.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
the doctor walks to the school.,O médico vai à escola.,The doctor goes to school.,Não,,,,,,,,Não,Não,Não
strength becomes a diamond,"""a força se torna um diamante""","""strength becomes a diamond""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
time has a mountain,o tempo tem uma montanha,Time has a mountain.,Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
mind becomes a gold,mente se torna ouro,mind becomes gold,Sim,4,4,4,Não,Sim,Não,,Não,Não,Não
word has a rock,a palavra tem uma pedra,the word has a stone,Sim,4,4,4,Não,Sim,Não,,Não,Não,Não
dream has a star,o sonho tem uma estrela,The dream has a star.,Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
passion is a light,A paixão é uma luz.,"""Passion is a light.""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
courage has a sun,a coragem tem um sol,courage has a sun,Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
passion has a light,A paixão tem uma luz.,Passion has a light.,Sim,4,4,4,Não,Sim,Não,,Não,Não,Não
the driver visits the cafe.,o motorista visita o café.,The driver visits the cafe.,Não,,,,,,,,Não,Não,Não
dream is a star,sonho é uma estrela,Dream is a star.,Sim,4,5,5,Sim,Não,Não,,Não,Não,Não
spirit is a storm,o espírito é uma tempestade,"""The spirit is a storm.""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
word is a rock,A palavra é uma rocha.,"""The word is a rock.""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
smile becomes a wind,sorriso se torna um vento,'smile becomes a wind',Sim,4,5,5,Sim,Não,Não,,Não,Não,Não
mind has a gold,mente tem um ouro,"""Mind has a gold""",Sim,4,4,4,Não,Sim,Não,,Não,Não,Não
hope becomes a ice,a esperança se torna gelo,hope turns to ice,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
love becomes a moon,o amor se torna uma lua,Love becomes a moon.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
the artist works in the library.,o artista trabalha na biblioteca.,The artist works in the library.,Não,,,,,,Não,,Não,Não,Não
the chef writes the restaurant.,o chef escreve o restaurante.,The chef writes the restaurant.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
memory becomes a ocean,a memória se torna um oceano,"""Memory becomes an ocean.""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
the child drinks the market.,A criança bebe o mercado.,The child drinks the market.,Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
smile is a wind,sorriso é um vento,"""smile is a wind""",Sim,4,5,5,Sim,Não,Não,,Não,Não,Não
courage is a sun,A coragem é um sol.,"""Courage is a sun.""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
heart has a tree,coração tem uma árvore,Heart has a tree.,Sim,4,5,5,Sim,Não,Não,,Não,Não,Não
love has a moon,O amor tem uma lua.,Love has a moon.,Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
eye is a flame,o olho é uma chama,the eye is a flame,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
time is a mountain,o tempo é uma montanha,Time is a mountain.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
courage becomes a sun,a coragem se torna um sol,courage becomes a sun,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
dream becomes a star,sonho se torna uma estrela,dream becomes a star,Sim,4,5,5,Sim,Não,Não,,Não,Não,Não
he walks to the park.,Ele caminha até o parque.,He walks to the park.,Não,,,,,,,,Não,Não,Não
mind is a gold,mente é ouro,Mind is gold.,Sim,4,4,4,Não,Sim,Não,,Não,Não,Não
eye becomes a flame,o olho se torna uma chama,the eye becomes a flame,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
heart is a tree,coração é uma árvore,The heart is a tree.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
soul becomes a shadow,a alma se torna uma sombra,the soul becomes a shadow,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
time becomes a mountain,o tempo se torna uma montanha,"""time becomes a mountain""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
she writes the office.,Ela escreve o escritório.,She writes the office.,Sim,1,1,1,Não,Não,Sim,,Não,Não,Não
wisdom becomes a garden,A sabedoria se torna um jardim.,Wisdom becomes a garden.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
soul is a shadow,A alma é uma sombra.,The soul is a shadow.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
wisdom has a garden,A sabedoria tem um jardim.,Wisdom has a garden.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
hope is a ice,a esperança é um gelo,Hope is an ice.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
spirit becomes a storm,o espírito se torna uma tempestade,the spirit becomes a storm,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
hope has a ice,A esperança tem um gelo.,Hope has an ice.,Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
eye has a flame,olho tem uma chama,Eye has a flame.,Sim,4,5,5,Sim,Não,Não,,Não,Não,Não
silence is a thunder,o silêncio é um trovão,Silence is a thunder.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
passion becomes a light,a paixão se torna uma luz,"""Passion becomes a light.""",Sim,4,4,5,Sim,Não,Não,,Não,Não,Não
life is a river,A vida é um rio.,Life is a river.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
silence has a thunder,o silêncio tem um trovão,silence has a thunder,Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
life has a river,A vida tem um rio.,Life has a river.,Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
memory is a ocean,A memória é um oceano.,Memory is an ocean.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
voice becomes a iron,A voz se torna ferro.,The voice becomes iron.,Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
smile has a wind,sorriso tem um vento,"""smile has a wind""",Sim,2,2,2,Não,Não,Sim,,Não,Não,Não
heart becomes a tree,coração se torna uma árvore,"""heart becomes a tree""",Sim,4,5,5,Sim,Não,Não,,Não,Não,Não
memory has a ocean,A memória tem um oceano.,"""The memory has an ocean.""",Sim,5,5,5,Sim,Não,Não,,Não,Não,Não
