indice,ingles_original,portugues_traduzido,dataset,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil
4,He likes to watch movies in his free time.,"Ele gosta de assistir filmes em seu tempo livre.
",manual_data,gemini,prompt2,1.0136,1.0,0.981781542301178,1.058876395225525,Q2
5,She enjoys painting in her free time.,Ela gosta de pintar no tempo livre.,manual_data,gemma3,prompt2,1.0173,1.0,0.9824775457382202,1.0693206787109375,Q2
9,They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,manual_data,gpt,prompt2,1.0168,1.0,0.9804415106773376,1.0700602531433105,Q2
22,She is giving a presentation at work.,"Ela está fazendo uma apresentação no trabalho.
",manual_data,gemma3,prompt2,1.014,1.0,0.9747384190559387,1.0672123432159424,Q2
39,They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,manual_data,gpt,prompt2,1.0103,1.0,0.9762416481971741,1.054599404335022,Q2
41,She made breakfast for the family.,Ela fez o café da manhã para a família.,manual_data,gemma3,prompt2,1.015,1.0,0.9728613495826721,1.0722179412841797,Q2
42,She is talking on the phone.,"Ela está falando ao telefone.
",manual_data,gemini,prompt2,1.0169,1.0,0.9783831238746643,1.0723775625228882,Q2
52,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,manual_data,gemmaX,sem_prompt,1.02,1.0,0.9687079787254333,1.0911462306976318,Q1
55,She took a shower in the morning.,Ela tomou um banho de manhã.,manual_data,gpt,prompt2,1.024,1.0,0.9790115356445312,1.0929954051971436,Q1
65,He took the bus to work.,"Ele pegou o ônibus para o trabalho.
",manual_data,gemini,prompt2,1.0113,1.0,0.9736977815628052,1.060231328010559,Q2
69,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,manual_data,gemma3,prompt2,1.0268,1.0,0.9775684475898743,1.102954626083374,Q1
72,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",manual_data,gemini,prompt2,1.029,1.0,0.9783932566642761,1.1085923910140991,Q1
79,She is cleaning the kitchen after dinner.,"Ela está limpando a cozinha depois do jantar.
",manual_data,gemini,prompt2,1.0082,1.0,0.97198885679245,1.0527286529541016,Q2
80,She is drinking water.,Ela está bebendo água.,manual_data,gpt,prompt2,1.032,1.0,0.984463632106781,1.1115353107452393,Q1
81,They are having coffee at the café.,Eles estão tomando café no café.,manual_data,gpt,prompt2,1.0174,1.0,0.9764923453330994,1.0758098363876343,Q2
84,They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,manual_data,gpt,prompt2,1.02,1.0,0.9793164134025574,1.0806715488433838,Q1
85,They are swimming at the pool.,"Eles estão nadando na piscina.
",manual_data,gemini,prompt2,1.0197,1.0,0.9542171359062195,1.1050058603286743,Q1
87,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,manual_data,gemma3,prompt2,1.029,1.0,0.9736365675926208,1.113477110862732,Q1
97,He washed his car yesterday.,"Ele lavou o carro dele ontem.
",manual_data,gemini,prompt2,1.0182,1.0,0.9817414283752441,1.0728662014007568,Q1
131,They went for a swim at the pool.,"Eles foram nadar na piscina.
",manual_data,gemini,prompt2,1.0072,1.0,0.8959540128707886,1.1255375146865845,Q2
