indice,dataset,modelo,prompt,ingles_original,portugues_traduzido,label,xcomet_xl,quartil
3,newsmet,gemma3,prompt4,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,O manuseio da morte causada pela polícia aciona inquérito do júri para investigar o promotor.,0,2575,Q1
6,newsmet,gemini,prompt4,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","O Ópio em Declínio no Colorado: A Maconha Recreativa Virando o Jogo, Aponta Estudo.
",0,2441,Q1
9,newsmet,gemini,prompt4,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,"As asas da morte da Força Aérea estão sendo preparadas para um plantão de 24 horas.
",0,2449,Q1
10,newsmet,gemma3,prompt4,Newspeak! U.N. now calls abortion part of basic 'right to life',"Agora a União proclama o aborto como extensão natural do direito à existência.
",0,2544,Q1
12,newsmet,gpt,prompt4,In case you forgot: Donald Trump still has the 'nuclear football',Caso você tenha esquecido: Donald Trump ainda tem o 'botijão nuclear'.,0,2055,Q2
13,newsmet,gemini,prompt4,Federico Pieraccini. Saudi-Israeli Friendship Is Driving the Rest of the Middle East Together. Strategic Culture Foundation. Оn-line journal,"A Amizade Saudita-Israelense Junta o Resto do Oriente Médio.
",0,2517,Q1
16,newsmet,gemma3,prompt4,This VC firm just wrote one of the most spot-on articles about Seed financing mistakes,Essa gestora de venture capital acabou de escrever um dos artigos mais certeiros sobre os erros que podem levar uma startup a dar o cano.,0,2111,Q2
17,newsmet,gpt,prompt4,Texans Owner Called Protesters 'Inmates' — Now Look What They Did in Retaliation,Proprietário dos Texans Chamou Manifestantes de 'Detentos' — Agora Veja o Que Eles Fizeram em Retaliação.,0,2103,Q2
18,newsmet,gpt,prompt4,"E.J. Dionne Challenges John McCain to Kill the GOP Tax ""Reform"" Giveaway to The Rich.","E.J. Dionne desafia John McCain a enterrar a ""reforma"" tributária que presenteia os ricos.",0,2367,Q1
19,newsmet,gpt,prompt4,"‘Liberal’ Washington Post: $$15/hour minimum wage will put people out of work, hurt poorest people","O salário mínimo de $$15/hora vai deixar pessoas na rua, prejudicando os mais pobres.",0,1917,Q2
