indice,dataset,modelo,prompt,ingles_original,portugues_traduzido,label,xcomet_xl,quartil
4,manual_data,gemma3,prompt4,He likes to watch movies in his free time.,"Ele se perde nas telonas quando o tempo é dele.
",0,636,Q1
5,manual_data,gemini,prompt4,She enjoys painting in her free time.,"Ela se entrega à pintura nos intervalos da vida.
",0,609,Q1
23,manual_data,gemini,prompt4,He went to a birthday party last night.,"Ele foi à festa de aniversário ontem à noite.
",0,651,Q1
39,manual_data,gemma3,prompt4,They went to the theater to watch a play.,Foram ao palco assistir à encenação.,0,623,Q1
42,manual_data,gemini,prompt4,She is talking on the phone.,"Ela está no fio.
",0,617,Q1
58,manual_data,gemini,prompt4,He is building a model airplane.,"Ele está arquitetando um voo.
",0,585,Q2
63,manual_data,gemini,prompt4,He is attending a business meeting.,"Ele está na arena dos negócios.
",0,612,Q1
65,manual_data,gemma3,prompt4,He took the bus to work.,"Ele pegou a carruagem para o labor.
",0,677,Q1
68,manual_data,gemma3,prompt4,They watched a TV show in the evening.,"Eles se entregaram à tela ao cair da noite.
",0,593,Q1
69,manual_data,gemini,prompt4,She is brushing her teeth before bed.,"Ela está preparando a noite para dormir.
",0,633,Q1
71,manual_data,gemma3,prompt4,He is feeding his pet hamster.,Ele nutre seu pequeno companheiro.,0,544,Q2
72,manual_data,gemma3,prompt4,I like to drink coffee in the morning.,A manhã me abraça com o aroma escuro.,0,645,Q1
77,manual_data,gemma3,prompt4,She is baking cookies in the kitchen.,Ela está aprimorando memórias no coração do lar.,0,665,Q1
79,manual_data,gemini,prompt4,She is cleaning the kitchen after dinner.,"Ela está lavando a alma da cozinha depois do jantar.
",0,527,Q2
81,manual_data,gemini,prompt4,They are having coffee at the café.,"Estão a tomar um café no ninho da conversa.
",0,648,Q1
84,manual_data,gemini,prompt4,They are visiting a museum this afternoon.,"Eles vão passear nos olhos da tarde por um museu.
",0,551,Q2
87,manual_data,gemini,prompt4,She is talking to her friend on the phone.,"Ela está tecendo confidências ao telefone.
",0,511,Q2
88,manual_data,gemma3,prompt4,He is walking his dog in the park.,"Ele passeia seu tempo no parque.
",0,617,Q1
99,manual_data,gemini,prompt4,He is attending a wedding.,"Ele está de copo cheio.
",0,638,Q1
100,manual_data,gemini,prompt4,He is making a cup of coffee.,"Ele está botando o bule pra chiar.
",0,603,Q1
104,manual_data,gemma3,prompt4,He is having breakfast with his family.,Ele está rompendo o jejum com quem o espera à mesa.,0,648,Q1
114,manual_data,gemini,prompt4,He enjoyed a cup of coffee in the morning.,"Ele tomou um gole de sol pela manhã.
",0,523,Q2
126,manual_data,gemini,prompt4,He is cutting vegetables for dinner.,"Ele está fatiando a noite.
",0,531,Q2
153,manual_data,gemma3,prompt4,They watched a movie on the weekend.,"Eles se perderam na tela do fim de semana.
",0,517,Q2
162,manual_data,gemini,prompt4,He went to the gym to lift weights.,"Ele foi à academia para inflar os músculos.
",0,564,Q2
181,manual_data,gemini,prompt4,He is cleaning the windows.,"Ele está limpando a barra.
",0,522,Q2
189,manual_data,gemma3,prompt4,He went to the doctor for a check-up.,Foi dar um trato no corpo.,0,667,Q1
190,manual_data,gemma3,prompt4,She is watching the sunset from the balcony.,Ela contempla o crepúsculo do dia a partir do vão da janela.,0,553,Q2
193,manual_data,gemma3,prompt4,He is playing the guitar in the living room.,Ele dedilha o violão na sala.,0,676,Q1
196,manual_data,gemma3,prompt4,I went to the beach for vacation.,Deixei-me levar pela orla da alma.,0,628,Q1
203,manual_data,gemini,prompt4,They are making pizza together.,"Estão botando a mão na massa juntos.
",0,530,Q2
208,manual_data,gemini,prompt4,He called his parents yesterday.,"Ele ligou para a base ontem.
",0,563,Q2
210,manual_data,gemma3,prompt4,She danced at the party last night.,Ela se entregou à dança na festa passada.,0,618,Q1
