frase,score
She is drinking water.,135
She is listening to music while cooking.,144
She bought a new phone last week.,159
I am playing video games in my room.,166
She is brushing her teeth before bed.,178
I like to drink coffee in the morning.,188
She is talking on the phone.,205
He is reading a newspaper.,220
He washed his car yesterday.,246
She plays the piano beautifully.,246
She made a salad for lunch.,248
They watched a movie on the weekend.,261
He is making tea in the kitchen.,272
I visited my parents last weekend.,272
He is writing an essay for school.,282
They are visiting a museum this afternoon.,286
a fish out of water,298
They are making pizza together.,303
She is arranging flowers in a vase.,303
"blood, sweat, and tears",304
cold as ice,308
She took a shower in the morning.,309
They are having a picnic in the park.,312
He likes to watch movies in his free time.,313
The sun rises in the east.,325
They planted flowers in the garden.,328
I called my friend last night.,328
a ray of hope,333
She is cleaning the kitchen after dinner.,335
He took the bus to work.,338
He is working on his laptop.,357
She works as a software engineer.,357
She is talking to her friend on the phone.,359
He read a book before bed.,359
an open book,383
an arm and a leg,388
He went fishing with his friends.,390
He is having breakfast with his family.,394
He wrote a letter to his friend.,395
He called his parents yesterday.,396
They are painting the walls of their house.,398
fingers crossed,400
They cleaned the house on Saturday.,406
I need to buy groceries this afternoon.,425
He is sitting on the chair.,428
She is playing with her children in the garden.,434
She attended a conference last week.,437
She made breakfast for the family.,439
He is feeding his pet hamster.,444
I met my friends for lunch.,451
She played cards with her friends.,454
He is attending a business meeting.,483
cloud of suspicion,492
She is preparing dinner for the guests.,493
light at the end of the tunnel,506
She is walking through the forest.,512
She went to the post office to send a package.,516
I went to the beach for vacation.,518
"if you can't stand the heat, get out of the kitchen",527
She is gardening in the backyard.,529
He went to a birthday party last night.,531
black as coal,542
a penny for your thoughts,543
"hope for the best, prepare for the worst",552
a sinking ship,571
She went to the library to study.,577
back to square one,588
He visited his grandmother in the hospital.,592
food for thought,609
She danced at the party last night.,611
He went to the gym to lift weights.,615
boiling point,619
as old as the hills,624
an ounce of prevention is worth a pound of cure,624
as easy as pie,627
They are swimming at the pool.,641
a voice in the wilderness,645
comfort zone,649
a penny saved is a penny earned,651
burn bridges,652
black as night,653
He is playing the guitar in the living room.,659
He visited the museum with his class.,660
He is cleaning the windows.,667
He went to the doctor for a check-up.,670
"another day, another dollar",672
They went to the theater to watch a play.,674
down to earth,676
She is watching the sunset from the balcony.,678
He enjoyed a cup of coffee in the morning.,690
curiosity killed the cat,690
He cleaned the garage on Saturday.,692
He is going to the post office.,697
a mountain to climb,700
He went to the airport to catch a flight.,702
a heart of gold,711
all that glitters is not gold,713
a blessing in disguise,716
She wrote a report for work.,734
a fly on the wall,737
They are having coffee at the café.,745
She is baking cookies in the kitchen.,758
They are riding bicycles in the neighborhood.,763
He is taking photos with his camera.,769
ball is in your court,778
leave no stone unturned,779
change of heart,791
live in a glass house,819
keep your eyes peeled,825
all eyes on you,828
She is watching a movie at the theater.,834
She enjoys painting in her free time.,838
as easy as shooting fish in a barrel,849
best of both worlds,855
feast your eyes,857
He is repairing the broken chair.,858
He is drawing a picture of his dog.,868
chasing shadows,876
I am traveling to the mountains this weekend.,883
He is building a model airplane.,887
fish out of water,888
arm and a leg,898
caught in the crossfire,917
They are attending a concert tonight.,921
He watched a football match on TV.,937
a taste of your own medicine,944
They are going to the cinema tonight.,945
She is packing her suitcase for a trip.,945
He is making a cup of coffee.,955
give the green light,967
They are reading a novel by the fireplace.,990
caught in a web,991
back to the drawing board,992
They went for a swim at the pool.,1010
color outside the lines,1013
calm before the storm,1014
bury your head in the sand,1015
He is drawing in his sketchbook.,1020
butterfly effect,1022
She is giving a speech at the conference.,1028
She had a cup of soup for lunch.,1031
He is walking his dog in the park.,1038
all in the same boat,1044
They went shopping for new clothes.,1048
going down in flames,1050
any port in a storm,1064
fall on deaf ears,1064
He went for a jog in the morning.,1082
He attended a wedding last weekend.,1084
mind over matter,1087
She is playing piano in the evening.,1096
The kids played in the playground.,1116
He is eating dinner with his family.,1124
another one bites the dust,1126
bigger than life,1138
break the mold,1151
He is cutting vegetables for dinner.,1153
change of tune,1167
close to home,1174
They are practicing their dance routine.,1179
They watched a TV show in the evening.,1185
add fuel to the fire,1193
can't see the forest for the trees,1194
He is attending a wedding.,1208
dead as a doornail,1213
don’t cry over spilled milk,1221
a rolling stone gathers no moss,1222
don't count your chickens before they hatch,1229
falling through the cracks,1232
bottom of the barrel,1234
as cool as a cucumber,1258
big league,1278
carrying the weight of the world,1284
honest as the day is long,1284
all ears,1294
hard pill to swallow,1300
hand in glove,1332
crack the code,1333
bare your soul,1337
He is putting the groceries away.,1341
follow your nose,1343
as free as a bird,1356
be a fly on the wall,1358
an old flame,1359
He is doing his homework in the study room.,1364
chase rainbows,1376
He is planning his day ahead.,1382
cat on a hot tin roof,1385
apple of discord,1391
heart of stone,1392
ace in the hole,1401
changing gears,1427
cat's out of the bag,1439
a new lease on life,1439
climbing the ladder,1440
apple of my eye,1453
between a rock and a hard place,1463
crash course,1472
burning the midnight oil,1481
cast iron stomach,1489
as clear as mud,1493
ball of fire,1511
an iron fist,1535
chase your tail,1548
chasing your tail,1555
climbing the corporate ladder,1563
hold the fort,1589
as good as done,1593
blown out of proportion,1597
diamond in the rough,1599
beggars can’t be choosers,1608
a diamond in the rough,1611
batten down the hatches,1633
antsy as a cat on a hot tin roof,1636
beating a dead horse,1643
blood from a stone,1647
burn your bridges,1674
She is giving a presentation at work.,1684
bottom line,1707
as stubborn as a mule,1718
beat a dead horse,1766
clean bill of health,1773
beyond the pale,1784
bridge the gap,1815
caught between a rock and a hard place,1833
at death's door,1847
bite off more than you can chew,1848
get the show on the road,1850
as hungry as a wolf,1851
bet the farm,1882
better half,1896
breaking the mold,1898
give someone a run for their money,1900
beat the clock,1900
bleeding heart,1910
hard nut to crack,1919
flying by the seat of your pants,1921
cut to the chase,1934
barking up the wrong tree,1952
as mad as a hatter,1954
cook up a storm,1968
a skeleton in the closet,1976
get out of hand,2073
dead in the water,2083
bite your lip,2091
bottom of the totem pole,2104
get your ducks in a row,2114
burst your bubble,2125
get cold feet,2173
as sharp as a tack,2178
happy as a clam,2179
have a bone to pick,2185
cogs in the machine,2187
as right as rain,2193
all bark and no bite,2212
close to the vest,2215
burnt out,2215
break a leg,2228
into thin air,2238
rain on your parade,2240
drive me up the wall,2272
get a grip,2273
call it quits,2276
cast the first stone,2276
broad strokes,2287
break the back of it,2294
go down in flames,2305
blind alley,2323
come apart at the seams,2351
over the moon,2354
come out of the woodwork,2358
cracking the whip,2365
a slap on the wrist,2378
paint the town red,2380
buy a lemon,2382
spill the beans,2397
bare bones,2397
crack the whip,2398
burn the candle at both ends,2405
let the cat out of the bag,2411
clear as mud,2413
once in a blue moon,2447
as bold as brass,2451
on cloud nine,2451
my hands are tied,2456
blow a fuse,2462
blood runs thicker than water,2463
finger on the pulse,2469
cut the mustardcross that bridge when you come to it,2476
dime a dozen,2479
ace up your sleeve,2484
blood is thicker than water,2484
get a second wind,2496
climbing up the ladder,2499
blow off steam,2513
blown out of the water,2523
finding your feet,2528
come hell or high water,2545
birds of a feather flock together,2548
bad blood,2563
be in hot water,2567
call it a day,2568
call a spade a spade,2580
different strokes for different folks,2582
at the end of the day,2583
cutting corners,2605
bending over backwards,2607
in hot water,2615
bite the bullet,2628
card up your sleeve,2629
all thumbs,2679
between the devil and the deep blue sea,2688
cut the mustard,2708
in the bag,2714
by the skin of your teeth,2716
caught red-handed,2750
bend over backwards,2763
by leaps and bounds,2807
chip on your shoulder,2812
chip on the shoulder,2820
a chip on your shoulder,2828
ants in your pants,2831
beating around the bush,2839
early bird catches the worm,2859
chill to the bone,2860
chomping at the bit,2861
by the seat of your pants,2862
by the book,2873
bite the big one,2882
butter wouldn’t melt in their mouth,2898
chip off the old block,2975
