indice,dataset,modelo,prompt,ingles_original,portugues_traduzido,label,xcomet_xl
230,manual_data,gemma3,prompt4,all thumbs,"Sem jeito.
",1,684
396,manual_data,gemma3,prompt4,beat a hasty retreat,Dar ré no relento.,1,683
129,manual_data,gemma3,prompt4,arm and a leg,"Ver o sono eterno.
",1,682
94,manual_data,gemma3,prompt4,cutting corners,"Fazer gambiarras.
",1,681
422,manual_data,gemma3,prompt4,They are planning a trip to Europe.,Eles estão traçando rotas para o Velho Mundo.,0,680
220,manual_data,gemma3,prompt4,ace in the hole,Ás na manga.,1,679
641,manual_data,gemma3,prompt4,They are having a family gathering at home.,"Reunião de ninhos em voo doméstico.
",0,678
65,manual_data,gemma3,prompt4,He took the bus to work.,"Ele pegou a carruagem para o labor.
",0,677
193,manual_data,gemma3,prompt4,He is playing the guitar in the living room.,Ele dedilha o violão na sala.,0,676
229,manual_data,gemma3,prompt4,blind as a bat,Ir para o beleléu.,1,675
500,manual_data,gemma3,prompt4,behind the eight ball,"Em apuros.
",1,674
334,manual_data,gemma3,prompt4,cut the mustardcross that bridge when you come to it,Não se preocupe com isso por enquanto.,1,673
541,manual_data,gemma3,prompt4,She is visiting her grandmother in the hospital.,"Ela está levando flores para a casa de repouso da avó.
",0,672
637,manual_data,gemma3,prompt4,close call,"Por um triz.
",1,671
678,manual_data,gemma3,prompt4,He did some gardening in the afternoon.,Ele cuidou do jardim na tarde.,0,670
544,manual_data,gemma3,prompt4,She took the train to the city.,Ela embarcou nos trilhos rumo à metrópole.,0,669
576,manual_data,gemma3,prompt4,They went to a museum last month.,Visitaram um espelho do tempo no mês passado.,0,668
189,manual_data,gemma3,prompt4,He went to the doctor for a check-up.,Foi dar um trato no corpo.,0,667
66,manual_data,gemma3,prompt4,as easy as pie,"Esticar o macarrão.
",1,666
77,manual_data,gemma3,prompt4,She is baking cookies in the kitchen.,Ela está aprimorando memórias no coração do lar.,0,665
178,manual_data,gemma3,prompt4,as easy as shooting fish in a barrel,Moleza.,1,664
713,manual_data,gemma3,prompt4,cat got your tongue,Que falta de palavras te pegou?,1,663
437,manual_data,gemma3,prompt4,They are playing basketball in the yard.,"Eles estão se divertindo à toa no quintal.
",0,662
483,manual_data,gemma3,prompt4,I took a photo of the beautiful sunset.,Capturei o crepúsculo em um raio de luz.,0,661
682,manual_data,gemma3,prompt4,She is ironing her clothes.,Ela está a passadeira do seu futuro.,0,660
326,manual_data,gemma3,prompt4,a rolling stone gathers no moss,"Quem não se move, não cresce.",1,659
370,manual_data,gemma3,prompt4,all thumbs,Ser desajeitado de matar.,1,658
669,manual_data,gemma3,prompt4,burn the midnight oil,"Queimar o vigília.
",1,657
111,manual_data,gemma3,prompt4,give someone a run for their money,Dar trabalho para os ossos.,1,656
672,manual_data,gemini,prompt4,She is taking a picture of the flowers in the garden.,"Ela está roubando um pedaço do jardim.
",0,655
175,manual_data,gemma3,prompt4,as mad as a hatter,Enlouquecer.,1,655
137,manual_data,gemma3,prompt4,bare bones,Entendido.,1,654
95,manual_data,gemini,prompt4,actions speak louder than words,"A prática é a prova.
",1,654
30,manual_data,gemma3,prompt4,a chip on your shoulder,Uma brasa acesa.,1,653
282,manual_data,gemma3,prompt4,bite the big one,Esticar as canelas.,1,652
23,manual_data,gemini,prompt4,He went to a birthday party last night.,"Ele foi à festa de aniversário ontem à noite.
",0,651
515,manual_data,gemma3,prompt4,They are enjoying a cup of coffee together.,Compartilham um instante de calor e aroma.,0,651
529,manual_data,gemini,prompt4,cutting corners,"Fazer gambiarras
",1,650
295,manual_data,gemma3,prompt4,an arm and a leg,"Vender a alma.
",1,650
509,manual_data,gemini,prompt4,a snowball's chance in hell,"Nenhuma chance, nem uma migalha.
",1,649
696,manual_data,gemma3,prompt4,like a fish to water,Como se estivesse em casa.,1,649
81,manual_data,gemini,prompt4,They are having coffee at the café.,"Estão a tomar um café no ninho da conversa.
",0,648
104,manual_data,gemma3,prompt4,He is having breakfast with his family.,Ele está rompendo o jejum com quem o espera à mesa.,0,648
443,manual_data,gemma3,prompt4,all in a day's work,Rotina.,1,647
288,manual_data,gemini,prompt4,She had a cup of soup for lunch.,"Ela almoçou uma caneca de sopa.
",0,647
245,manual_data,gemma3,prompt4,as clear as mud,"Entendido.
",1,646
218,manual_data,gemini,prompt4,chip off the old block,"Filho de peixe, peixinho é.
",1,646
72,manual_data,gemma3,prompt4,I like to drink coffee in the morning.,A manhã me abraça com o aroma escuro.,0,645
664,manual_data,gemini,prompt4,chip off the old block,"Filho de peixe, peixinho é.
",1,645
96,manual_data,gemma3,prompt4,chip on the shoulder,"Ter uma brasa acesa.
",1,644
53,manual_data,gemini,prompt4,as right as rain,"Em dia.
",1,644
180,manual_data,gemma3,prompt4,ants in your pants,Pulando a fralda.,1,643
206,manual_data,gemini,prompt4,birds of a feather flock together,"Deus os acerta e eles se juntam.
",1,643
385,manual_data,gemini,prompt4,close shave,"Raspar por um triz.
",1,642
314,manual_data,gemma3,prompt4,fall on deaf ears,Cair em ouvidos moucos.,1,642
105,manual_data,gemma3,prompt4,blind as a bat,"Ir para o andar dos mortos.
",1,641
428,manual_data,gemini,prompt4,He traveled to Paris last year.,"Ele flanou por Paris no ano findo.
",0,641
586,manual_data,gemma3,prompt4,They are eating lunch together.,"Compartilham um pedaço de tempo.
",0,640
690,manual_data,gemma3,prompt4,"easy come, easy go","Rápido chega, rápido se vai.",1,639
168,manual_data,gemini,prompt4,butter wouldn’t melt in their mouth,"Não ter sangue de barata.
",1,639
99,manual_data,gemini,prompt4,He is attending a wedding.,"Ele está de copo cheio.
",0,638
170,manual_data,gemma3,prompt4,by the seat of your pants,"De improviso, no fio da navalha.",1,638
281,manual_data,gemini,prompt4,dead in the water,"Aflito/a, sem saída.
",1,637
695,manual_data,gemma3,prompt4,as plain as day,"Entendido.
",1,637
4,manual_data,gemma3,prompt4,He likes to watch movies in his free time.,"Ele se perde nas telonas quando o tempo é dele.
",0,636
469,manual_data,gemma3,prompt4,She is doing her hair in front of the mirror.,Ela se ajeita diante do espelho.,0,635
523,manual_data,gemini,prompt4,go the extra mile,"Dar o braço a torcer.
",1,635
360,manual_data,gemma3,prompt4,ants in your pants,Pulando a friteira.,1,634
121,manual_data,gemini,prompt4,paint the town red,"Arrasar na noite.
",1,634
402,manual_data,gemma3,prompt4,He is checking his email.,Ele está espiando a caixa de entrada.,0,633
69,manual_data,gemini,prompt4,She is brushing her teeth before bed.,"Ela está preparando a noite para dormir.
",0,633
386,manual_data,gemma3,prompt4,a leopard can't change its spots,A natureza não muda.,1,632
629,manual_data,gemma3,prompt4,as clear as day,Na lata.,1,631
278,manual_data,gemini,prompt4,break the back of it,"Quebrar o galho.
",1,631
434,manual_data,gemma3,prompt4,He went to the gym for a workout session.,Ele foi à academia para dar um gás.,0,630
341,manual_data,gemini,prompt4,get your ducks in a row,"Colocar os pingos nos ""is"".
",1,629
196,manual_data,gemma3,prompt4,I went to the beach for vacation.,Deixei-me levar pela orla da alma.,0,628
185,manual_data,gemma3,prompt4,cat's out of the bag,"A verdade veio à tona.
",1,627
608,manual_data,gemini,prompt4,have a lot on your plate,"Estar com a corda toda.
",1,626
