indice,dataset,tipo_label,ingles_original,melhor_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,outra_trad,parascore
3,newsmet,literais,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,O manuseio da morte causada pela polícia aciona inquérito do júri para investigar o promotor.,gemma3,prompt4,gpt,prompt2,O manuseio da morte da polícia impulsiona investigação do grande júri sobre o promotor.,0.9677
3,newsmet,literais,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,O manuseio da morte causada pela polícia aciona inquérito do júri para investigar o promotor.,gemma3,prompt4,gpt,prompt4,O manejo do assassinato policial instiga uma investigação do grande júri sobre o promotor.,0.9298
3,newsmet,literais,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,O manuseio da morte causada pela polícia aciona inquérito do júri para investigar o promotor.,gemma3,prompt4,gemini,prompt2,O manejo de mortes por policiais impulsiona investigação de júri sobre promotor.,0.9306
3,newsmet,literais,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,O manuseio da morte causada pela polícia aciona inquérito do júri para investigar o promotor.,gemma3,prompt4,gemini,prompt4,O manejo da morte pela polícia deflagra um inquérito do júri sobre o promotor.,0.9426
3,newsmet,literais,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,O manuseio da morte causada pela polícia aciona inquérito do júri para investigar o promotor.,gemma3,prompt4,gemma3,prompt2,O tratamento do caso de homicídio policial impulsiona inquérito do júri para investigar promotor.,0.9524
3,newsmet,literais,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,O manuseio da morte causada pela polícia aciona inquérito do júri para investigar o promotor.,gemma3,prompt4,gemmaX,sem_prompt,O tratamento do assassinato policial estimula a investigação do Grande Júri sobre o procurador,0.904
6,newsmet,literais,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","O Ópio em Declínio no Colorado: A Maconha Recreativa Virando o Jogo, Aponta Estudo.",gemini,prompt4,gpt,prompt2,"A maconha recreativa está revertendo a crise dos opioides no Colorado, sugere estudo.",0.8718
6,newsmet,literais,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","O Ópio em Declínio no Colorado: A Maconha Recreativa Virando o Jogo, Aponta Estudo.",gemini,prompt4,gpt,prompt4,"A maconha recreativa está revertendo a crise dos opioides no Colorado, sugere estudo.",0.8718
6,newsmet,literais,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","O Ópio em Declínio no Colorado: A Maconha Recreativa Virando o Jogo, Aponta Estudo.",gemini,prompt4,gemini,prompt2,"Maconha recreativa está revertendo a crise de opioides no Colorado, sugere estudo.",0.8742
6,newsmet,literais,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","O Ópio em Declínio no Colorado: A Maconha Recreativa Virando o Jogo, Aponta Estudo.",gemini,prompt4,gemma3,prompt2,"A legalização da maconha recreativa está revertendo a crise de opioides em Colorado, sugere estudo.",0.8643
6,newsmet,literais,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","O Ópio em Declínio no Colorado: A Maconha Recreativa Virando o Jogo, Aponta Estudo.",gemini,prompt4,gemma3,prompt4,"A maconha recreativa está ressuscitando Colorado da crise dos opioides, aponta estudo.",0.8484
6,newsmet,literais,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","O Ópio em Declínio no Colorado: A Maconha Recreativa Virando o Jogo, Aponta Estudo.",gemini,prompt4,gemmaX,sem_prompt,"A maconha recreativa está revertendo a crise dos opioides no Colorado, sugere estudo",0.8637
9,newsmet,literais,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,As asas da morte da Força Aérea estão sendo preparadas para um plantão de 24 horas.,gemini,prompt4,gpt,prompt2,Não é bom: a Força Aérea está preparando os B-52 para retornar ao alerta de 24 horas.,0.9341
9,newsmet,literais,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,As asas da morte da Força Aérea estão sendo preparadas para um plantão de 24 horas.,gemini,prompt4,gpt,prompt4,Não é bom: a Força Aérea está preparando os B-52 para voltar ao alerta de 24 horas.,0.9345
