ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,a palavra se torna uma pedra,the word becomes a stone,Sim,5,4,4,Não,Sim,Não,Não,Não,Não
silence becomes a thunder,o silêncio torna-se um trovão,silence becomes a thunder,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the doctor walks to the school.,o médico caminha até a escola.,the doctor walks to school.,Não,,,,,,Não,Não,Não,Não
strength becomes a diamond,a força se torna um diamante,the strength becomes a diamond,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time has a mountain,o tempo tem uma montanha,time has a mountain,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
mind becomes a gold,a mente se torna um ouro,the mind becomes a gold,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
word has a rock,a palavra tem uma pedra,the word has a stone,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
dream has a star,O sonho tem uma estrela,The dream has a star,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion is a light,a paixão é uma luz,passion is a light,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage has a sun,a coragem tem um sol,courage has a sun,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion has a light,a paixão tem uma luz,passion has a light,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
the driver visits the cafe.,o motorista visita o café.,the driver visits the cafe.,Não,,,,,,Não,Não,Não,Não
dream is a star,O sonho é uma estrela,The dream is a star,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit is a storm,O espírito é uma tempestade,The spirit is a storm,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
word is a rock,a palavra é uma pedra,the word is a stone,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile becomes a wind,O sorriso torna-se um vento,The smile becomes a wind,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
mind has a gold,a mente tem um ouro,the mind has a gold,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
hope becomes a ice,a esperança se torna um gelo,hope becomes an ice,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love becomes a moon,o amor se torna uma lua,love becomes a moon,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the artist works in the library.,a artista trabalha na biblioteca.,The artist works in the library.,Não,,,,,,Não,Não,Não,Não
the chef writes the restaurant.,escreve o chefe do restaurante.,writes the restaurant's head chef.,Sim,1,1,1,Não,Não,Não,Sim,Não,Não
memory becomes a ocean,a memória torna-se um oceano,memory becomes an ocean,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the child drinks the market.,a criança bebe o mercado.,the child drinks the market.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
smile is a wind,O sorriso é um vento,The smile is a wind,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage is a sun,a coragem é um sol,courage is a sun,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart has a tree,O coração tem uma árvore,The heart has a tree,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love has a moon,O amor tem uma lua,Love has a moon,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye is a flame,o olho é uma chama,the eye is a flame,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time is a mountain,O tempo é uma montanha,Time is a mountain,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage becomes a sun,a coragem torna-se um sol,courage becomes a sun,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
dream becomes a star,um sonho se torna uma estrela,a dream becomes a star,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
he walks to the park.,ele vai para o parque.,he goes to the park.,Não,,,,,,,Não,Não,Não
