ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,as palavras se tornaram uma pedra .,Our words have become stone .,Sim,5,4,4,Não,Sim,Não,Sim,Não,Não
silence becomes a thunder,O silêncio torna-se trovejo,Silence becomes thunder,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
the doctor walks to the school.,a Doutora caminha até à escola.,The Doctor would walk you to school.,Não,,,,,,,Não,Não,Não
strength becomes a diamond,""" A sua força torna-se diamante "" .",Your strength becomes like diamond .,Sim,5,5,5,Não,Sim,Não,Sim,Não,Não
time has a mountain,O tempo tem uma montanha .,Time has a mountain .,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
mind becomes a gold,A mente se transforma em ouro.,The mind turns into gold.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
word has a rock,A palavra tem uma pedra,The word has a rock .,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
dream has a star,E o sonho tem uma estrela,And a star 's on the bed,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion is a light,"""A paixão é luz.","""Passion is light.",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage has a sun,a coragem tem um sol,Courage has a sun,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion has a light,A paixão tem uma luz.,Passion has a light.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
the driver visits the cafe.,O condutor visita o café.,The driver is visiting the cafeteria.,Não,,,,,,,Não,Não,Não
dream is a star,Sonho é uma estrela .,Dream is a star .,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit is a storm,Um espírito é uma tempestade .,A spirit is a storm .,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
word is a rock,A palavra é uma pedra,The word is stone,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile becomes a wind,Sorriso se torna um vento,# Smile is like a breeze #,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
mind has a gold,a mente tem ouro .,The mind has gold .,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
hope becomes a ice,A esperança transforma-se em gelo.,Hope turns into ice.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love becomes a moon,O amor converte-se em Lua .,Love becomes moon .,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the artist works in the library.,A artista trabalha na biblioteca.,The artist works in the library.,Não,,,,,,,Não,Não,Não
the chef writes the restaurant.,"""o chef do restaurante"".",The chef of the restaurant.,Sim,1,1,1,Não,Não,Não,Sim,Não,Não
memory becomes a ocean,A memória torna-se um oceano,Memory becomes an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the child drinks the market.,A criança vai beber o mercado.,The kid's gonna drink the market.,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
smile is a wind,o sorriso é um vento,""" Smile is the wind """,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage is a sun,A coragem é um sol,Courage is like a sun,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart has a tree,coração tem uma árvore,the heart has a tree,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
love has a moon,O amor tem uma lua,Love has a moon,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye is a flame,olho é uma chama,eye is a flame,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
time is a mountain,O tempo é uma montanha.,Time is a mountain.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage becomes a sun,A coragem torna-se um sol.,Courage turns into a sun.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
