ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,'Pegar o chicote'.,Pick up the whip.,32,55,310,517,508,703,296,2421
blow off steam,Esgoitar.,Sing.,61,55,474,701,663,607,398,2959
let the cat out of the bag,Deixe o gato sair do saco,Let the cat out of the bag.,1,12,74,21,208,140,1,457
They are riding bicycles in the neighborhood.,Estão pedalando bicicletas no bairro.,They are riding bikes in the neighborhood.,11,32,8,157,222,410,1,841
He likes to watch movies in his free time.,Ele gosta de assistir a filmes no seu tempo livre.,He likes to watch movies in his free time.,1,1,3,114,17,175,1,312
She enjoys painting in her free time.,Ela gosta de pintar no seu tempo livre.,She enjoys painting in her free time.,1,1,3,130,24,72,1,232
bite off more than you can chew,bater no seu nariz,Punch in your nose,61,55,426,635,705,552,405,2839
my hands are tied,Minha mão está atada,My hand is tied.,37,55,208,232,327,7,69,935
dime a dozen,diz uma dúzia,say a dozen,25,55,277,574,507,357,255,2050
They are having a picnic in the park.,Eles estão Having um piquenique no parque.,They are having a picnic in the park.,1,1,3,88,70,171,1,335
leave no stone unturned,Deixe de lado nenhuma pedra.,Leave no stone unturned.,1,55,66,6,215,686,43,1072
hold the fort,Mantenha a fortaleza.,"""Keep the strength.""",47,55,444,671,571,663,295,2746
He is putting the groceries away.,Ele está guardando os produtos do mercado.,He is storing the market products.,37,55,267,471,607,625,334,2396
fit as a fiddle,Está como novo,It's like new.,61,55,508,696,626,70,278,2294
an iron fist,punho de ferro,iron fist,15,55,212,368,300,253,93,1296
beggars can’t be choosers,Os mendigos não podem escolher.,The beggars cannot choose.,50,55,314,439,391,228,1,1478
card up your sleeve,Tem um as no mangas.,"There's a ""no"" in the manga.",61,55,518,689,709,711,408,3151
beating around the bush,Desviando do tema principal,Deviating from the main topic,50,55,449,605,660,468,128,2415
She is giving a speech at the conference.,Ela está discursando na conferência.,She is speaking at the conference.,23,43,94,335,344,359,1,1199
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,1,1,3,113,98,605,11,832
ace up your sleeve,As na cartola,In the hat,61,55,480,698,657,638,404,2993
an open book,um livro aberto,an open book,1,55,3,127,1,226,1,414
She is giving a presentation at work.,Ela está apresentando um trabalho.,She is presenting a work.,25,55,234,555,449,413,120,1851
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,3,134,55,361,1,556
color outside the lines,Fora da caixa,Out of the box,49,55,470,676,577,381,220,2428
easy as pie,Fácil como uma torta.,As easy as pie.,11,55,275,240,171,152,1,905
blind as a bat,Cego como um morcego.,Blind as a bat.,1,55,121,1,319,525,116,1138
change of heart,mudança de coração,change of heart,1,55,3,167,87,326,1,640
food for thought,'food for thought' traduzido para o português é: 'alimento para o pensamento'.,'food for thought',1,55,219,262,389,506,221,1653
black as night,Preto como a noite.,As black as night.,11,55,253,266,163,563,78,1389
a chip on your shoulder,um chip no ombro.,Um chip no ombro.,50,55,506,695,456,675,163,2600
close to my heart,Próximo ao meu coração.,Near my heart.,32,55,228,306,373,438,49,1481
apple of my eye,O olho do meu coração,"""The eye of my heart""",40,55,318,595,520,394,139,2061
get the show on the road,Pegue a festa na estrada.,Take the party to the road.,37,55,336,500,487,400,264,2079
easy as pie,Fácil como um bolo.,Easy as pie.,1,55,152,205,161,196,1,771
back to square one,De volta ao zero,Back to zero,32,55,247,512,296,194,1,1337
devil's advocate,Defensor do Diabo,Advocate of the Devil,48,55,355,456,496,467,49,1926
She went to the library to study.,Ela foi à biblioteca estudar.,She went to the library to study.,1,1,2,168,127,135,1,435
fit as a fiddle,Em forma,In shape,61,55,499,630,637,545,375,2802
They went to the theater to watch a play.,Eles foram ao teatro assistir a uma peça.,They went to the theater to watch a play.,1,1,2,231,96,124,1,456
falling through the cracks,passando pelas rachaduras,passing through cracks,32,55,160,400,505,463,49,1664
She made breakfast for the family.,Ela fez o café da manhã para a família.,She made breakfast for the family.,1,1,2,136,113,87,1,341
