indice,dataset,modelo,prompt,ingles_original,portugues_traduzido,label,xcomet_xl
1895,newsmet,gemini,prompt4,Gay Escort Found Dead of Meth Overdose at Home of Top Democrat Donor,"""Garoto de programa gay é encontrado morto por overdose de metanfetamina na casa de grande doador democrata.""
",0,2588
1814,newsmet,gemma3,prompt4,Randy Newman: And You Thought ‘Short People’ Was Controversial?,"E você achava que “Pessoas Baixas” era polêmico?

Bem, aqui vai, uma canção sobre um cara que vive na Califórnia,
Ele é um homem de negócios, ele se veste de forma estranha.
Ele tem um Cadillac e um poodle,
E ele está começando a se sentir mal.

Ele diz: ""Eu não gosto de andar de trem,
Eu não gosto de comer comida francesa,
Eu não gosto de pessoas que dizem que estão ‘em contato’ com a natureza.
Eu não gosto de crianças que me chamam de ‘você’.""

E você achava que “Pessoas Baixas” era polêmico?
Espera só até as pessoas ouvirem esta.

Eu sei que parece que estou reclamando,
Mas eu não estou, eu estou apenas observando.
Eu não estou tentando ser engraçado,
Eu só estou dizendo o que eu vejo.

E a",0,2588
2401,newsmet,gemma3,prompt4,Iowahawk’s suggestion for an angry uncle Voxsplainer updated with man who threatened Sen. Joni Ernst,"A sugestão do Iowahawk para um Voxsplainer de tio zangado atualizado com o homem que ameaçou a senadora Joni Ernst:

**O sujeito, um lobo em pele de cordeiro digital, tentou dar um tiro na reputação da senadora, mas acabou batendo as botas sozinho, antes que a justiça sequer o tocasse. Um ajuste de contas retórico que virou uma pá de cal na sua própria cara.**",0,2587
1021,newsmet,gemini,prompt4,"India: Muslim mob rampages, beats up police officers, torches homes over Facebook post “disrespectful” to Muhammad","Índia: Turbilhão muçulmano incendeia, espanca policiais e ateia fogo a casas, inflamado por post em rede social ""desrespeitoso"" a Maomé.
",0,2587
1792,newsmet,gemini,prompt4,Has NASA Lost Its Way? | 1993 Washington Post Article by Peter Carlson,"**A NASA Perdeu o Rumo?**

O futuro da NASA, outrora brilhante, parece agora nublado. A agência espacial, que já foi a queridinha da nação, está cambaleando sob o peso da burocracia, da política e de um público que parece ter perdido o brilho pelo espaço. A faísca da inspiração, que um dia lançou os foguetes em direção às estrelas, agora parece mais um brasido em brasa, lutando para se manter vivo.

A NASA está enfrentando uma crise de identidade. Depois do triunfo da Lua, a agência se viu presa em um ciclo de promessas não cumpridas e projetos subfinanciados. O ônibus espacial, outrora anunciado como o futuro do voo espacial, provou ser um pesadelo caro e perigoso. A Estação Espacial Freedom, um projeto ambicioso de colaboração internacional, definha no papel, consumida por disputas políticas e orçamentos esqueléticos.

A moral entre os trabalhadores da NASA está baixa. Engenheiros e cientistas, que uma vez foram impulsionados por uma visão audaciosa, agora se sentem frustrados pela falta de apoio e pela constante interferência política. Eles sentem que a burocracia está sufocando a criatividade e que a agência está mais preocupada em agradar aos políticos do que em explorar o espaço.

A questão que paira sobre tudo isso é: a NASA pode se recuperar? Pode ela recuperar seu brilho, sua ousadia e sua capacidade de inspirar? A resposta, como sempre, reside nas estrelas. Mas, para chegar lá, a NASA precisará de um novo rumo, uma nova visão e a coragem de abraçar o futuro.
",0,2586
2195,newsmet,gemma3,prompt4,They’re afraid of us': Immigrants aren't reporting domestic abuse to police,Eles têm medo de nós: Imigrantes não denunciam violência doméstica à polícia.,0,2586
672,newsmet,gemini,prompt4,Paypal is canceling white supremacists' accounts and the alt-right is pissed,"O PayPal está fechando as torneiras da extrema-direita, e a panela de pressão explodiu.
",0,2585
2297,newsmet,gemma3,prompt4,"One Good Guy with Gun vs 22 Unarmed Citizens stopping mass shootings, and violent crimes increased.","Um Herói de Armas Acesa contra Vinte e Dois Desarmados contendo tiroteios em massa, e a violência se alastrou.
",0,2585
2481,newsmet,gemini,prompt4,Five things restaurant servers wish they could tell you,"Cinco coisas que os garçons gostariam de te dizer:

1.  ""Se você estiver com pressa, diga. Atrasos acontecem, mas podemos acelerar o passo.""
2.  ""Se algo estiver errado, nos avise. Preferimos consertar do que ver você insatisfeito.""
3.  ""Seja gentil. Estamos no mesmo barco, remando para o mesmo objetivo.""
4.  ""Nós vemos tudo. E lembramos de quem é bom com a gente.""
5.  ""A gorjeta é como um aperto de mão. Uma forma de dizer 'obrigado', e um sinal de que o serviço valeu a pena.""
",0,2584
2055,newsmet,gemini,prompt4,FLOTUS Sends Out Well Wishes to Hurricane Irma Victims,"A Primeira-Dama estende suas preces aos afetados pelo furacão Irma.
",0,2583
893,newsmet,gemma3,prompt4,Black Man Who Wielded Flamethrower During White Nationalist Rally in Charlottesville is Arrested,Homem negro que empunhou lança-chamas durante comício de nacionalistas brancos em Charlottesville é preso.,0,2583
678,newsmet,gemma3,prompt4,"Trump Tells Reporters ""He's Not Worried"" plus He's ""Very Happy""","""Ele não se acanha."" E ""Está nas nuvens.""",0,2582
2038,newsmet,gemini,prompt4,"North Korea Does Not Threaten World Peace, the US Does","A Coreia do Norte não ameaça a paz mundial, os EUA sim.
",0,2581
2384,newsmet,gemma3,prompt4,Pennsylvania: Muslim who shot police officer arrived in US via chain migration,"Muçulmano que feriu policial chegou aos EUA por efeito cascata.
",0,2581
2135,newsmet,gemma3,prompt4,U.K. Anti-Terror Censorship Law Stupidly Used Against Guy Who Fights Terrorism,Lei Britânica de Censura Antiterrorista Usada de Forma Ridícula Contra Quem Combate o Terrorismo.,0,2580
2319,newsmet,gemini,prompt4,Judge read out names of 20 murdered cats before sentencing their killer to 16 years in prison,"O juiz leu os nomes dos 20 felinos assassinados, antes de sentenciar seu algoz a 16 anos de prisão, ecoando o luto na sala do tribunal.
",0,2580
1536,newsmet,gemma3,prompt4,Saudi 5th-grade textbook: The “Hour” will come after Muslims “kill the Jews”,O momento chegará quando os muçulmanos silenciarem os judeus.,0,2579
2051,newsmet,gemini,prompt4,WYFP? I Wish I Had Something New to Tell You,"Queria ter algo novo para te contar.
",0,2579
2415,newsmet,gemma3,prompt4,Trump Isn't Serious About Opioids If He Won't Legalize Marijuana,"Se Trump não legaliza maconha, ele não leva a sério a questão dos opioides.",0,2578
2533,newsmet,gemini,prompt4,HELLISH FLASHBACK: European royals are killing naked children for fun at human hunting parties?,,0,2578
1799,newsmet,gemma3,prompt4,W.H.O. Is Right? World Health Organisation Argues Monsanto Uses Cancerogenics,Quem está certo? Organização Mundial da Saúde argumenta que Monsanto usa cancerígenos.,0,2577
2444,newsmet,gemini,prompt4,"Told by City They Are Increasing Homelessness, Church Ordered to Stop Feeding Homeless","A cidade acusa: a mendicância infla. Igreja recebe ordem de suspender a sopa dos desvalidos.
",0,2577
312,newsmet,gemini,prompt4,Former Auburn University professor turned priest busted in massive Alabama child porn sting,"Ex-professor da Universidade de Auburn, agora padre, cai em armadilha pornográfica na ensolarada Alabama.
",0,2576
725,newsmet,gemma3,prompt4,Initiative proposed in Montana to allow suing if you see transgender folks going potty.,Proposta em Montana para processar quem flagrar pessoas trans no banheiro.,0,2576
3,newsmet,gemma3,prompt4,Handling of Police Killing Spurs Grand Jury Inquiry Into Prosecutor,O manuseio da morte causada pela polícia aciona inquérito do júri para investigar o promotor.,0,2575
870,newsmet,gemini,prompt4,"‘I Voted for Donald Trump, and I Regret It’","Votei no Trump, e agora engulo a seco.
",0,2575
1159,newsmet,gemma3,prompt4,North Korean Ballistic Missile Accidentally Hit A Local Town – Infinite Unknown,Acidente com míssil balístico norte-coreano atinge inesperadamente uma vila local – Limiar do Desconhecido.,0,2574
1083,newsmet,gemini,prompt4,Firefighter Suffers Opioid Overdose While Taking An OD Patient To The ER,"Bombeiro sucumbe à chama enquanto acode vítima da mesma labareda.
",0,2574
1025,newsmet,gemini,prompt4,‘This is brutal’! Wolf Blitzer scolds CNN reporter for using ‘not good sources’,"É de lascar!
",0,2573
826,newsmet,gemma3,prompt4,When the Boss Wants You to Do Something Unethical,Quando o patrao pede para você descer até o rio.,0,2573
