indice,ingles_original,melhor_trad,outra_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,parascore
42,She is talking on the phone.,Ela está falando ao telefone.,Ela está ao telefone.,gemini,prompt2,gpt,prompt4,0.9939
352,I called my friend last night.,Eu liguei para o meu amigo na noite passada.,Eu liguei para meu amigo ontem à noite.,gpt,prompt2,gpt,prompt4,0.9926
352,I called my friend last night.,Eu liguei para o meu amigo na noite passada.,Eu liguei para meu amigo ontem à noite.,gpt,prompt2,gemma3,prompt2,0.9926
84,They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,"Esta tarde, eles estão visitando um museu.",gpt,prompt2,gemmaX,sem_prompt,0.9896
288,She had a cup of soup for lunch.,Ela tomou uma xícara de sopa no almoço.,Ela tomou uma sopa no almoço.,gemmaX,sem_prompt,gemma3,prompt2,0.9892
516,I made a cup of tea for myself.,Eu preparei uma xícara de chá para mim.,Eu fiz uma xícara de chá para mim mesmo.,gemma3,prompt2,gpt,prompt2,0.9882
22,She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,Ela está no palco no trabalho.,gemma3,prompt2,gemini,prompt4,0.988
352,I called my friend last night.,Eu liguei para o meu amigo na noite passada.,Eu liguei para o meu amigo ontem à noite.,gpt,prompt2,gemmaX,sem_prompt,0.9879
352,I called my friend last night.,Eu liguei para o meu amigo na noite passada.,Liguei para o meu amigo ontem à noite.,gpt,prompt2,gemini,prompt4,0.9878
147,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,Ela comprou um novo telefone na semana passada.,gpt,prompt2,gemmaX,sem_prompt,0.9874
476,They went hiking in the mountains.,Eles foram fazer trilha nas montanhas.,Eles fizeram trilha nas montanhas.,gpt,prompt2,gemini,prompt2,0.9868
292,They are painting the walls of their house.,Eles estão pintando as paredes da casa deles.,Eles estão colorindo as paredes de sua casa.,gpt,prompt2,gpt,prompt4,0.9867
352,I called my friend last night.,Eu liguei para o meu amigo na noite passada.,Liguei para meu amigo ontem à noite.,gpt,prompt2,gemini,prompt2,0.9844
567,She played tennis with her brother.,Ela jogou tênis com o irmão dela.,Ela jogava tênis com seu irmão.,gemini,prompt2,gemmaX,sem_prompt,0.9839
391,He is playing soccer with his friends.,Ele está jogando futebol com os amigos dele.,Ele está em campo com os amigos.,gemini,prompt2,gemini,prompt4,0.9834
