indice,ingles_original,portugues_traduzido,label,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil,origem,parascore
2,let the cat out of the bag,Deixar o gato sair do saco.,1,gpt,prompt2,0.9755,1.0,0.9451289176940918,0.9814143776893616,Q2,dataset_final,
7,my hands are tied,Minhas mãos estão atadas.,1,gpt,prompt2,1.0327,1.0,0.958843231201172,1.13926362991333,Q1,dataset_final,
7,my hands are tied,As mãos estão atadas.,1,gemma3,prompt4,0.904,0.9766715168952942,0.8673546314239502,0.8678485155105591,Q1,parascore,0.9629
14,an iron fist,um punho de ferro.,1,gemmaX,sem_prompt,1.0196,0.9967514276504515,0.9797745943069458,1.0822917222976685,Q1,dataset_final,
21,an open book,Um livro aberto.,1,gemini,prompt2,1.0247,1.0,0.9712800979614258,1.1027737855911257,Q1,dataset_final,
24,color outside the lines,cor fora das linhas.,1,gemmaX,sem_prompt,0.9448,0.9972819089889526,0.9779171347618104,0.8593342304229736,Q2,dataset_final,
25,easy as pie,Fácil como uma torta.,1,gemini,prompt2,1.0034,1.0,0.970259130001068,1.039799690246582,Q1,dataset_final,
27,change of heart,Mudança de coração.,1,gemini,prompt2,0.9897,0.991200029850006,0.9275705218315125,1.0504688024520874,Q1,dataset_final,
28,food for thought,alimento para a reflexão.,1,gpt,prompt2,1.0223,0.9969807863235474,0.9849836826324464,1.084997057914734,Q1,dataset_final,
29,black as night,negra como a noite.,1,gpt,prompt2,0.9362,0.9946814775466919,0.9940466284751892,0.8197400569915771,Q2,parascore,0.9507
29,black as night,escuro como a noite.,1,gpt,prompt4,0.8887,0.9818158745765686,0.9597980380058289,0.7243509888648987,Q2,parascore,0.9589
29,black as night,Negro como a noite.,1,gemini,prompt2,0.9615,1.0,0.9823983311653137,0.9020784497261047,Q2,parascore,0.9522
29,black as night,preto como a noite.,1,gemmaX,sem_prompt,0.9753,1.0,0.974802315235138,0.9510487914085388,Q2,dataset_final,
30,a chip on your shoulder,um chip no seu ombro.,1,gemmaX,sem_prompt,1.0022,1.0,0.931946098804474,1.0746742486953735,Q1,dataset_final,
31,close to my heart,Perto do meu coração.,1,gemini,prompt2,1.0047,1.0,0.9360928535461426,1.077988624572754,Q1,dataset_final,
36,devil's advocate,Defensor do diabo.,1,gemma3,prompt2,0.9988,1.0,0.9298215508461,1.066589593887329,Q1,dataset_final,
46,burn your bridges,queime suas pontes.,1,gemmaX,sem_prompt,0.9901,0.991200029850006,0.9773531556129456,1.0018116235733032,Q1,dataset_final,
56,best of both worlds,O melhor dos dois mundos.,1,gemini,prompt2,1.0006,1.0,0.9637900590896606,1.0379412174224854,Q1,dataset_final,
61,all eyes on you,todos os olhares estão em você.,1,gpt,prompt2,0.9739,1.0,0.932521402835846,0.9891343116760254,Q2,dataset_final,
61,all eyes on you,Todos os olhares estão voltados para você.,1,gpt,prompt4,0.9182,0.9967845678329468,0.9391290545463562,0.818572998046875,Q2,parascore,0.965
61,all eyes on you,todos os olhos em você.,1,gemmaX,sem_prompt,0.9564,1.0,0.9848058819770813,0.8845367431640625,Q2,parascore,0.9745
62,a skeleton in the closet,um esqueleto no armário.,1,gpt,prompt2,1.0138,1.0,0.971251666545868,1.0702849626541138,Q1,dataset_final,
64,cool as a cucumber,Calmo como um pepino.,1,gemini,prompt2,0.986,1.0,0.8974834084510803,1.0605708360671997,Q1,dataset_final,
66,as easy as pie,fácil como um bolo.,1,gpt,prompt4,0.9318,0.9924094676971436,0.9520888328552246,0.8507944345474243,Q1,parascore,0.9589
66,as easy as pie,Tão fácil quanto uma torta.,1,gemini,prompt2,1.0011,0.991200029850006,0.9756783843040466,1.0365184545516968,Q1,dataset_final,
67,butterfly effect,efeito borboleta.,1,gemmaX,sem_prompt,1.0139,1.0,0.9891905188560486,1.052520990371704,Q1,dataset_final,
73,"another day, another dollar","Mais um dia, mais um dólar.",1,gpt,prompt2,1.024,1.0,0.9578486084938048,1.114096760749817,Q1,dataset_final,
73,"another day, another dollar","Outro dia, outro dólar.",1,gemmaX,sem_prompt,0.9895,1.0,0.9672822952270508,1.0011130571365356,Q1,parascore,0.9535
74,actions speak louder than words,Ações falam mais alto que palavras.,1,gpt,prompt2,1.024,1.0,0.9702354073524475,1.1017483472824097,Q1,parascore,0.9532
74,actions speak louder than words,Atos falam mais alto que palavras.,1,gpt,prompt4,0.9513,1.0,0.9696573615074158,0.884280800819397,Q1,parascore,0.9528
74,actions speak louder than words,As ações falam mais alto do que as palavras.,1,gemma3,prompt2,1.026,1.0,0.9677042365074158,1.1102709770202637,Q1,dataset_final,
74,actions speak louder than words,As ações valem mais que as promessas.,1,gemma3,prompt4,0.9448,0.9974488019943237,0.9612587094306946,0.8758113980293274,Q1,parascore,0.9705
75,climbing up the ladder,subindo a escada.,1,gpt,prompt2,0.9553,1.0,0.8607469201087952,1.0052765607833862,Q2,dataset_final,
78,bleeding heart,coração sangrante.,1,gpt,prompt2,1.0067,1.0,0.9768770933151244,1.043233036994934,Q1,dataset_final,
82,hard pill to swallow,uma pílula difícil de engolir.,1,gemmaX,sem_prompt,1.006,1.0,0.9273374676704408,1.0907284021377563,Q1,dataset_final,
83,a slap on the wrist,uma palmada no pulso.,1,gpt,prompt2,0.9869,0.991200029850006,0.968552589416504,1.001012921333313,Q1,dataset_final,
83,a slap on the wrist,Uma palmada na mão.,1,gemini,prompt4,0.9184,0.9840446710586548,0.9232878088951111,0.8478375673294067,Q1,parascore,0.953
86,cat on a hot tin roof,gato em um telhado quente de lata.,1,gpt,prompt2,0.9498,0.987639307975769,0.9775034189224244,0.8841928243637085,Q2,dataset_final,
86,cat on a hot tin roof,Gato em telhado quente.,1,gpt,prompt4,0.9024,0.9901642799377441,0.9422715902328491,0.774846076965332,Q2,parascore,0.9641
86,cat on a hot tin roof,Gato sobre um telhado de lata quente.,1,gemma3,prompt2,0.9351,0.9765740633010864,0.9431231021881104,0.8855204582214355,Q2,parascore,0.9748
86,cat on a hot tin roof,gato em um telhado de lata quente.,1,gemmaX,sem_prompt,0.9358,0.9810899496078491,0.9788593649864197,0.8474180698394775,Q2,parascore,0.9862
89,add fuel to the fire,acrescentar lenha na fogueira.,1,gpt,prompt2,0.9776,1.0,0.9807090759277344,0.9519938230514526,Q2,dataset_final,
89,add fuel to the fire,Botar mais lenha na fogueira.,1,gemini,prompt4,0.9012,0.96706223487854,0.9185568690299988,0.8178479075431824,Q2,parascore,0.9521
90,in hot water,em água quente.,1,gemmaX,sem_prompt,0.957,0.991200029850006,0.9921179413795472,0.8878034353256226,Q2,dataset_final,
91,boiling point,ponto de ebulição.,1,gemmaX,sem_prompt,1.0264,1.0,0.993129312992096,1.086027979850769,Q1,dataset_final,
98,cold as ice,Frio como gelo.,1,gemini,prompt2,1.0151,1.0,0.978050410747528,1.0672496557235718,Q1,dataset_final,
98,cold as ice,Frio como pedra.,1,gemini,prompt4,0.8739,0.9835938811302185,0.900217592716217,0.7377711534500122,Q1,parascore,0.9646
101,chasing shadows,perseguindo sombras.,1,gemmaX,sem_prompt,0.9714,0.991200029850006,0.9871227145195008,0.935800313949585,Q2,dataset_final,
102,feast your eyes,Delicie seus olhos.,1,gemini,prompt2,0.9851,0.9640318155288696,0.9715067744255066,1.0196270942687988,Q2,dataset_final,
105,blind as a bat,Cego de nascença.,1,gemma3,prompt2,0.9455,0.9947891235351562,0.6691410541534424,1.1724703311920166,Q2,dataset_final,
106,light at the end of the tunnel,Luz no fim do túnel.,1,gemini,prompt2,1.0187,1.0,0.9584968090057372,1.097502589225769,Q1,dataset_final,
106,light at the end of the tunnel,Uma luz no fim do túnel.,1,gemma3,prompt2,1.0127,1.0,0.9404628872871399,1.0977634191513062,Q1,parascore,0.9591
107,as old as the hills,Tão velho quanto as colinas.,1,gemini,prompt2,0.9797,0.99811851978302,0.976428747177124,0.9645426273345948,Q2,dataset_final,
115,ball is in your court,A bola está em seu tribunal.,1,gpt,prompt2,0.9245,0.9970401525497437,0.9576517939567566,0.81883704662323,Q2,parascore,0.9848
115,ball is in your court,A bola está com você.,1,gpt,prompt4,0.9247,0.9940018653869629,0.9587573409080505,0.8213158845901489,Q2,parascore,0.9664
115,ball is in your court,A bola está no seu campo.,1,gemini,prompt2,0.9811,0.9995623826980592,0.9586830735206604,0.9851107597351074,Q2,dataset_final,
115,ball is in your court,A bola está em seu campo.,1,gemini,prompt4,0.915,0.9975337982177734,0.9581864476203918,0.7893238067626953,Q2,parascore,0.9566
120,change of tune,Mudança de tom.,1,gemini,prompt2,0.995,0.991200029850006,0.9161967635154724,1.0776528120040894,Q1,dataset_final,
121,paint the town red,pinte a cidade de vermelho.,1,gemmaX,sem_prompt,1.0156,1.0,0.9745609760284424,1.0723670721054075,Q1,dataset_final,
122,burnt out,queimado.,1,gemmaX,sem_prompt,0.9579,0.9725841283798218,0.9015299677848816,0.9995002746582032,Q2,dataset_final,
125,blessing in disguise,benção disfarçada.,1,gpt,prompt2,0.9626,1.0,0.9833468794822693,0.9045385122299194,Q1,parascore,0.9562
125,blessing in disguise,Uma bênção disfarçada.,1,gemma3,prompt2,0.9897,1.0,0.9306445717811584,1.0383386611938477,Q1,dataset_final,
127,bigger than life,maior que a vida.,1,gpt,prompt2,0.9695,1.0,0.989450991153717,0.9189515709877014,Q2,dataset_final,
127,bigger than life,maior do que a vida.,1,gpt,prompt4,0.9067,0.9949467182159424,0.9409059882164001,0.7843772172927856,Q2,parascore,0.9564
129,arm and a leg,Um braço e uma perna.,1,gemini,prompt2,1.0049,0.9926327466964722,0.909003973007202,1.1131254434585571,Q1,dataset_final,
130,as hungry as a wolf,tão faminto quanto um lobo.,1,gpt,prompt2,0.9491,0.9823263883590698,0.9807646870613098,0.8843245506286621,Q2,dataset_final,
130,as hungry as a wolf,Faminto como um lobo.,1,gemini,prompt2,0.7703,0.9331099987030029,0.8502576947212219,0.5274185538291931,Q2,parascore,0.9695
135,any port in a storm,qualquer porto numa tempestade.,1,gemmaX,sem_prompt,1.0154,1.0,0.975788414478302,1.070267915725708,Q1,dataset_final,
145,a fly on the wall,Uma mosca na parede.,1,gemma3,prompt2,1.0019,0.9961655139923096,0.938498318195343,1.071053147315979,Q1,dataset_final,
146,as sharp as a tack,afiado como um prego.,1,gpt,prompt2,0.8718,0.9515388011932373,0.8132428526878357,0.8505943417549133,Q2,parascore,0.9593
146,as sharp as a tack,afiado como uma faca.,1,gpt,prompt4,0.8793,0.9581321477890015,0.9239460825920105,0.7557499408721924,Q2,parascore,0.9636
146,as sharp as a tack,afiado como uma agulha.,1,gemmaX,sem_prompt,0.9394,0.9791871309280396,0.8540635108947754,0.9850675463676452,Q2,dataset_final,
149,bottom of the barrel,fundo do barril.,1,gemmaX,sem_prompt,0.9643,1.0,0.9641140103340148,0.9286601543426514,Q2,dataset_final,
155,face the music,enfrentar a realidade.,1,gpt,prompt2,0.9457,0.9808765649795532,0.8109670877456665,1.0452557802200315,Q2,dataset_final,
156,a heart of gold,um coração de ouro.,1,gpt,prompt2,1.0109,0.9959825277328492,0.9810587763786316,1.0557841062545776,Q1,dataset_final,
156,a heart of gold,coração de ouro.,1,gpt,prompt4,0.9049,0.9925169944763184,0.9207122325897217,0.8014770150184631,Q1,parascore,0.9511
157,caught in a web,Preso em uma teia.,1,gemini,prompt2,0.9644,0.9808690547943116,0.8709701299667358,1.041487455368042,Q2,dataset_final,
160,as good as done,quase feito.,1,gpt,prompt2,0.9408,1.0,0.7735179662704468,1.0489503145217896,Q2,dataset_final,
160,as good as done,praticamente feito.,1,gpt,prompt4,0.8548,0.9979039430618286,0.7513666749000549,0.8150464296340942,Q2,parascore,0.9576
161,a voice in the wilderness,Uma voz no deserto.,1,gemini,prompt2,1.004,1.0,0.9591014385223388,1.052815556526184,Q1,dataset_final,
164,curiosity killed the cat,A curiosidade matou o gato.,1,gemma3,prompt2,1.0011,1.0,0.9189191460609436,1.084267258644104,Q1,dataset_final,
