indice,ingles_original,portugues_traduzido,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil,origem,parascore
4,He likes to watch movies in his free time.,Ele gosta de assistir a filmes no seu tempo livre.,gpt,prompt2,1.0066,1.0,0.9826611876487732,1.0370140075683594,Q2,parascore,0.9501
4,He likes to watch movies in his free time.,Ele gosta de assistir a filmes em seu tempo livre.,gpt,prompt4,0.8138,0.9038722515106201,0.9043962359428406,0.6330904364585876,Q2,parascore,0.9468
4,He likes to watch movies in his free time.,"Ele gosta de assistir filmes em seu tempo livre.
",gemini,prompt2,1.0136,1.0,0.981781542301178,1.058876395225525,Q2,dataset_final,
4,He likes to watch movies in his free time.,"Ele se delicia com filmes nos tempos livres.
",gemini,prompt4,0.8157,0.9490663409233093,0.8559903502464294,0.642035961151123,Q2,parascore,0.9349
4,He likes to watch movies in his free time.,Ele gosta de assistir filmes no tempo livre.,gemma3,prompt2,1.0002,1.0,0.9660385251045227,1.0345391035079956,Q2,parascore,0.9603
5,She enjoys painting in her free time.,Ela gosta de pintar em seu tempo livre.,gpt,prompt2,1.0172,1.0,0.9821787476539612,1.0695534944534302,Q2,parascore,0.9361
5,She enjoys painting in her free time.,Ela se diverte pintando em seu tempo livre.,gpt,prompt4,0.7388,0.8460196256637573,0.8303959369659424,0.5401124954223633,Q2,parascore,0.9091
5,She enjoys painting in her free time.,Ela gosta de pintar no tempo livre.,gemma3,prompt2,1.0173,1.0,0.9824775457382202,1.0693206787109375,Q2,dataset_final,
9,They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,gpt,prompt2,1.0168,1.0,0.9804415106773376,1.0700602531433103,Q2,dataset_final,
9,They are having a picnic in the park.,"Estão fazendo um piquenique na vida.
",gemini,prompt4,0.7339,0.8210592269897461,0.6675254702568054,0.7129969000816345,Q2,parascore,0.9338
9,They are having a picnic in the park.,Estão estendendo a toalha no parque da vida.,gemma3,prompt4,0.6183,0.7830026149749756,0.45752885937690735,0.6142676472663879,Q2,parascore,0.9027
9,They are having a picnic in the park.,Eles estão tendo um piquenique no parque.,gemmaX,sem_prompt,1.0115,1.0,0.9646105766296387,1.069926381111145,Q2,parascore,0.9368
22,She is giving a presentation at work.,"Ela está apresentando no trabalho.
",gemini,prompt2,0.7209,0.9899743795394897,0.8153822422027588,0.35739874839782715,Q2,parascore,0.9774
22,She is giving a presentation at work.,"Ela está no palco no trabalho.
",gemini,prompt4,0.7753,0.980513870716095,0.6820589900016785,0.6633721590042114,Q2,parascore,0.988
22,She is giving a presentation at work.,"Ela está fazendo uma apresentação no trabalho.
",gemma3,prompt2,1.014,1.0,0.9747384190559388,1.0672123432159424,Q2,dataset_final,
22,She is giving a presentation at work.,"Ela está expondo suas cartas no trabalho.
",gemma3,prompt4,0.685,0.8619949817657471,0.5545298457145691,0.6385912299156189,Q2,parascore,0.9346
22,She is giving a presentation at work.,Ela está dando uma apresentação no trabalho.,gemmaX,sem_prompt,1.005,1.0,0.94520103931427,1.069752812385559,Q2,parascore,0.9478
39,They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,gpt,prompt2,1.0103,1.0,0.976241648197174,1.054599404335022,Q2,dataset_final,
39,They went to the theater to watch a play.,"Foram ao teatro para testemunhar a encenação da vida.
",gemini,prompt4,0.6924,0.7951531410217285,0.7549780011177063,0.5271871089935303,Q2,parascore,0.9293
39,They went to the theater to watch a play.,Foram ao palco assistir à encenação.,gemma3,prompt4,0.4803,0.5152051448822021,0.5535664558410645,0.3720991015434265,Q2,parascore,0.919
41,She made breakfast for the family.,Ela preparou o café da manhã para a família.,gpt,prompt4,0.9479,1.0,0.9739371538162231,0.869783878326416,Q2,parascore,0.9578
41,She made breakfast for the family.,"Ela botou o sol na mesa para a família.
",gemini,prompt4,0.6483,0.8051143884658813,0.6326623558998108,0.5069753527641296,Q2,parascore,0.9533
41,She made breakfast for the family.,Ela fez o café da manhã para a família.,gemma3,prompt2,1.015,1.0,0.972861349582672,1.0722179412841797,Q2,dataset_final,
41,She made breakfast for the family.,Ela preparou o ninho para a família.,gemma3,prompt4,0.6363,0.7602407932281494,0.4636504352092743,0.6850394010543823,Q2,parascore,0.9578
42,She is talking on the phone.,Ela está ao telefone.,gpt,prompt4,0.7869,0.9635006189346313,0.5502799153327942,0.8467937111854553,Q2,parascore,0.9939
42,She is talking on the phone.,"Ela está falando ao telefone.
",gemini,prompt2,1.0169,1.0,0.9783831238746644,1.0723775625228882,Q2,dataset_final,
42,She is talking on the phone.,"Ela está no fio.
",gemini,prompt4,0.5836,0.5575701594352722,0.45207247138023376,0.741296648979187,Q2,parascore,0.9393
42,She is talking on the phone.,Ela está com a voz presa ao fio.,gemma3,prompt4,0.6867,0.7438876032829285,0.5772314667701721,0.738864004611969,Q2,parascore,0.9112
52,She went to the post office to send a package.,Ela foi ao correio para enviar um pacote.,gpt,prompt2,1.0187,1.0,0.9695536494255066,1.0866451263427734,Q1,parascore,0.9579
52,She went to the post office to send a package.,Ela foi ao correio enviar uma encomenda.,gpt,prompt4,0.9314,1.0,0.9686159491539001,0.8256165981292725,Q1,parascore,0.9666
52,She went to the post office to send a package.,"Ela foi aos correios para enviar um pacote.
",gemini,prompt2,1.0113,1.0,0.9685618281364441,1.0652523040771484,Q1,parascore,0.9644
52,She went to the post office to send a package.,"Ela foi aos correios despachar um pedaço de saudade.
",gemini,prompt4,0.7399,0.7953737378120422,0.7380807995796204,0.6862401962280273,Q1,parascore,0.9189
52,She went to the post office to send a package.,"Ela foi aos correios entregar um pedaço de si.
",gemma3,prompt4,0.6543,0.7492586374282837,0.4436235725879669,0.7699525356292725,Q1,parascore,0.9539
52,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,gemmaX,sem_prompt,1.02,1.0,0.9687079787254332,1.0911462306976318,Q1,dataset_final,
55,She took a shower in the morning.,Ela tomou um banho de manhã.,gpt,prompt2,1.024,1.0,0.9790115356445312,1.0929954051971436,Q1,dataset_final,
55,She took a shower in the morning.,Ela tomou um banho pela manhã.,gpt,prompt4,0.9253,0.9912000298500061,0.9372568130493164,0.8474546670913696,Q1,parascore,0.9539
55,She took a shower in the morning.,"Ela tomou banho de manhã.
",gemini,prompt2,1.0179,1.0,0.9797559380531311,1.073907732963562,Q1,parascore,0.9656
