ingles_original,portugues_traduzido,ingles_traduzido,modelo_prompt,XCOMET-XL
Jeff Sessions just put a military general in charge of our federal prison system,"Jeff Sessions colocou um general do exército no comando do nosso sistema prisional federal, como se a lei precisasse de um campo de batalha.","Jeff Sessions put a general in charge of our federal prison system, treating the law like a battlefield.",gemma3/prompt3,0.7847871780395501
Jeff Sessions just put a military general in charge of our federal prison system,"Jeff Sessions colocou um general de volta no comando da nossa prisão federal.
",Jeff Sessions has put a general back in charge of our federal gulag.,gemini/prompt3,0.8756196498870851
Jeff Sessions just put a military general in charge of our federal prison system,"Jeff Sessions colocou um comandante militar no comando do nosso sistema prisional federal.
",Jeff Sessions handed the reins of our federal prison system over to a military man.,gemma3/prompt4,0.965838551521301
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acabou de colocar um general militar em cargo do nosso sistema de prisões federais.,Jeff Sessions has just placed a military general into a position within our federal prison system.,llama/prompt1,0.9824000597000121
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions apenas colocou um general militar no comando do nosso sistema penal federal.,Jeff Sessions has merely placed a military general at the helm of our federal penal system.,mistral/prompt4,0.9831134080886841
Jeff Sessions just put a military general in charge of our federal prison system,"Jeff Sessions entregou o comando das nossas prisões federais a um general.
",Jeff Sessions handed the keys to our federal prisons to a general.,gemini/prompt4,0.98805832862854
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acabou de colocar um general militar ao cargo do nosso sistema prisional federal.,Jeff Sessions has just installed a military general in charge of our federal prison system.,llama/prompt2,0.9912000298500061
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acabou de colocar um general militar no comando do nosso sistema penitenciário federal.,Jeff Sessions just put a military general in charge of our federal penitentiary system.,marian/,0.9912000298500061
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acaba de colocar um general militar ao comando de nosso sistema penitenciário federal.,"""Jeff Sessions has just put a military general in charge of our federal prison system.""",qwen/prompt3,0.9912000298500061
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions colocou um general militar à frente do nosso sistema de prisões federais.,Jeff Sessions put a military general at the helm of our federal prison system.,llama/prompt3,0.998891711235046
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions só colocou um general militar no comando do nosso sistema prisional federal.,Jeff Sessions apenas nomeou um general militar para comandar nosso sistema penitenciário federal.,qwen/prompt4,0.9990328550338741
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions colocou um general militar ao comando de nosso sistema prisional federal.,"""Jeff Sessions put a general at the helm of our federal prison system.""",llama/prompt4,0.999585509300231
Jeff Sessions just put a military general in charge of our federal prison system,"Jeff Sessions acabou de colocar um general do Exército no comando do nosso sistema prisional federal.
",Jeff Sessions just put an Army general in charge of our federal prison system.,gemini/prompt1,1.0
Jeff Sessions just put a military general in charge of our federal prison system,"Jeff Sessions acabou de colocar um general militar no comando do nosso sistema prisional federal.
","Jeff Sessions just put a military general in charge of our federal prison system.
",gemini/prompt2,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acaba de colocar um general militar no comando do nosso sistema prisional federal.,Jeff Sessions just put a military general in charge of our federal prison system.,gemma3/prompt1,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acaba de colocar um general militar no comando do nosso sistema prisional federal.,Jeff Sessions just put a military general in charge of our federal prison system.,gemma3/prompt2,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acaba de colocar um general militar no comando do nosso sistema prisional federal,Jeff Sessions just put a military general in charge of our federal prison system,gemmaX/,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acabou de colocar um general do exército no comando do nosso sistema prisional federal.,Jeff Sessions has just put an army general in charge of our federal prison system.,gpt/prompt1,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acabou de colocar um general do exército no comando do nosso sistema penitenciário federal.,Jeff Sessions just put an army general in charge of our federal prison system.,gpt/prompt2,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acabou de colocar um general militar no comando do nosso sistema prisional federal.,Jeff Sessions just appointed a military general to lead our federal prison system.,gpt/prompt3,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions acaba de colocar um general no comando do nosso sistema penitenciário federal.,Jeff Sessions has just put a general in charge of our federal prison system.,gpt/prompt4,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions colocou um general militar à frente do nosso sistema de prisioneiros federais,Jeff Sessions put a military general in charge of our federal prison system.,meta/,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions colocou um general do exército no comando do nosso sistema penitenciário federal.,Jeff Sessions put a general from the army in charge of our federal prison system.,mistral/prompt1,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions nomeou um general militar para comandar nosso sistema penitenciário federal.,Jeff Sessions appointed a military general to oversee our federal prison system.,mistral/prompt2,1.0
Jeff Sessions just put a military general in charge of our federal prison system,Jeff Sessions colocou um general militar no comando do nosso sistema de prisões federais.,Jeff Sessions appointed a military general to oversee our federal prison system.,mistral/prompt3,1.0
