indice,ingles_original,melhor_trad,outra_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,parascore
86,cat on a hot tin roof,gato em um telhado quente de lata.,gato em um telhado de lata quente,gpt,prompt2,gemmaX,sem_prompt,0.9862
470,all the world's a stage,Todo o mundo é um palco.,O mundo é um palco.,gemmaX,sem_prompt,gemma3,prompt4,0.9858
275,all in the same boat,todos no mesmo barco.,No mesmo barco.,gpt,prompt2,gemini,prompt4,0.9854
275,all in the same boat,todos no mesmo barco.,No mesmo barco.,gpt,prompt2,gemma3,prompt4,0.9854
115,ball is in your court,A bola está no seu campo.,A bola está em seu tribunal.,gemini,prompt2,gpt,prompt2,0.9848
540,banging your head against a brick wall,bater a cabeça contra uma parede de tijolos.,Bater a cabeça contra a parede.,gemmaX,sem_prompt,gemini,prompt2,0.9799
441,give someone the cold shoulder,dar a alguém o ombro frio.,dar o ombro frio a alguém,gemmaX,sem_prompt,gpt,prompt2,0.9788
347,an old flame,uma antiga paixão.,Uma paixão antiga.,gemmaX,sem_prompt,gemma3,prompt4,0.9769
86,cat on a hot tin roof,gato em um telhado quente de lata.,Gato sobre um telhado de lata quente.,gpt,prompt2,gemma3,prompt2,0.9748
61,all eyes on you,todos os olhares estão em você.,todos os olhos em você,gpt,prompt2,gemmaX,sem_prompt,0.9745
468,all's fair in love and war,Tudo é justo no amor e na guerra.,Tudo vale em amor e guerra.,gemmaX,sem_prompt,gpt,prompt2,0.9742
540,banging your head against a brick wall,bater a cabeça contra uma parede de tijolos.,Bater a cabeça na parede.,gemmaX,sem_prompt,gemma3,prompt2,0.9738
540,banging your head against a brick wall,bater a cabeça contra uma parede de tijolos.,Bater a cabeça na parede.,gemmaX,sem_prompt,gemma3,prompt4,0.9738
423,big picture,O quadro geral.,A visão geral.,gemma3,prompt2,gemma3,prompt4,0.9734
61,all eyes on you,todos os olhares estão em você.,Todos os olhos em você.,gpt,prompt2,gemini,prompt2,0.9712
61,all eyes on you,todos os olhares estão em você.,Todos os olhos em você.,gpt,prompt2,gemini,prompt4,0.9712
61,all eyes on you,todos os olhares estão em você.,Todos os olhos em você.,gpt,prompt2,gemma3,prompt2,0.9712
630,like a fish out of water,"Como um peixe fora d""água.",Um peixe fora d'água.,gemma3,prompt2,gemma3,prompt4,0.9709
696,like a fish to water,Como um peixe na água.,como peixe na água,gemma3,prompt2,gpt,prompt2,0.9706
696,like a fish to water,Como um peixe na água.,como peixe na água,gemma3,prompt2,gpt,prompt4,0.9706
74,actions speak louder than words,As ações falam mais alto do que as palavras.,As ações valem mais que as promessas.,gemma3,prompt2,gemma3,prompt4,0.9705
130,as hungry as a wolf,tão faminto quanto um lobo.,Faminto como um lobo.,gpt,prompt2,gemini,prompt2,0.9695
130,as hungry as a wolf,tão faminto quanto um lobo.,Faminto como um lobo.,gpt,prompt2,gemini,prompt4,0.9695
130,as hungry as a wolf,tão faminto quanto um lobo.,Faminto como um lobo.,gpt,prompt2,gemma3,prompt2,0.9695
130,as hungry as a wolf,tão faminto quanto um lobo.,Faminto como um lobo.,gpt,prompt2,gemma3,prompt4,0.9695
212,"if you can't stand the heat, get out of the kitchen","Se não aguenta o calor, saia da cozinha.","Se você não aguenta a pressão, saia da cozinha.",gemini,prompt2,gpt,prompt4,0.9682
358,don't put all your eggs in one basket,Não coloque todos os seus ovos na mesma cesta.,Não coloque todos os ovos na mesma cesta.,gemma3,prompt2,gemini,prompt2,0.9678
358,don't put all your eggs in one basket,Não coloque todos os seus ovos na mesma cesta.,Não coloque todos os ovos na mesma cesta.,gemma3,prompt2,gemini,prompt4,0.9678
287,different strokes for different folks,diferentes estilos para diferentes pessoas.,Cores diferentes para pessoas diferentes.,gemmaX,sem_prompt,gpt,prompt2,0.9671
359,black as coal,Preto como carvão.,Negro como o carvão.,gemini,prompt2,gemma3,prompt4,0.9667
115,ball is in your court,A bola está no seu campo.,A bola está com você.,gemini,prompt2,gpt,prompt4,0.9664
115,ball is in your court,A bola está no seu campo.,A bola está com você.,gemini,prompt2,gemma3,prompt2,0.9664
115,ball is in your court,A bola está no seu campo.,A bola está com você.,gemini,prompt2,gemma3,prompt4,0.9664
239,live in a glass house,Morar em casa de vidro.,Viver em uma casa de vidro.,gemini,prompt2,gpt,prompt4,0.9664
540,banging your head against a brick wall,bater a cabeça contra uma parede de tijolos.,bater a cabeça na parede,gemmaX,sem_prompt,gpt,prompt2,0.9663
709,crying over spilled milk,Chorando por causa do leite derramado.,Chorando sobre leite derramado.,gemmaX,sem_prompt,gpt,prompt4,0.966
296,breaking the mold,quebrando o molde.,quebrando o padrão,gemmaX,sem_prompt,gpt,prompt2,0.9657
239,live in a glass house,Morar em casa de vidro.,viver em uma casa de vidro,gemini,prompt2,gpt,prompt2,0.9654
61,all eyes on you,todos os olhares estão em você.,Todos os olhares estão voltados para você.,gpt,prompt2,gpt,prompt4,0.965
386,a leopard can't change its spots,Um leopardo não pode mudar suas manchas.,Um leopardo não muda suas manchas.,gpt,prompt2,gemma3,prompt2,0.9647
98,cold as ice,Frio como gelo.,Frio como pedra.,gemini,prompt2,gemini,prompt4,0.9646
86,cat on a hot tin roof,gato em um telhado quente de lata.,Gato em telhado quente.,gpt,prompt2,gpt,prompt4,0.9641
408,built like a tank,construído como um tanque.,Forte como um tanque.,gemmaX,sem_prompt,gemma3,prompt2,0.9641
696,like a fish to water,Como um peixe na água.,Como peixe na água.,gemma3,prompt2,gemini,prompt2,0.9639
696,like a fish to water,Como um peixe na água.,Como peixe na água.,gemma3,prompt2,gemini,prompt4,0.9639
