ingles_original,portugues_traduzido,ingles_traduzido,modelo_prompt,XCOMET-XL
don't judge a book by its cover,Não junte o que não é seu.,Don't take something that doesn't belong to you.,llama/prompt2,0.708795666694641
don't judge a book by its cover,Não julgue um livro pela capa.,Não junte os livros pela capa.,llama/prompt4,0.8887645006179811
don't judge a book by its cover,Não julgue um livro pela capa.,"""Judge a book by its cover.""",llama/prompt1,0.916905522346496
don't judge a book by its cover,Não se deixe levar pelas aparências.,Don't be fooled by the surface.,gemma3/prompt3,0.967420578002929
don't judge a book by its cover,"As aparências enganam.
",Appearances can be deceiving.,gemini/prompt3,0.9755177497863771
don't judge a book by its cover,Não julgue um livro pela capa.,Não julgue um livro pela capa.,llama/prompt3,0.9882541894912721
don't judge a book by its cover,"Não julgue um livro pela capa.
","Don't judge a book by its cover.
",gemini/prompt1,1.0
don't judge a book by its cover,"Não julgue um livro pela capa.
","Don't judge a book by its cover.
",gemini/prompt2,1.0
don't judge a book by its cover,"Não julgue um livro pela capa.
",Don't judge a book by its cover.,gemini/prompt4,1.0
don't judge a book by its cover,"Não julgue um livro pela capa.
",Don't judge a book by its cover.,gemma3/prompt1,1.0
don't judge a book by its cover,"Não julgue um livro pela capa.
",Don't judge a book by its cover.,gemma3/prompt2,1.0
don't judge a book by its cover,Não julgue um livro pela capa.,Don't judge a book by its cover.,gemma3/prompt4,1.0
don't judge a book by its cover,Não julgue um livro pela capa,Don't judge a book by its cover,gemmaX/,1.0
don't judge a book by its cover,não julgue um livro pela capa,Don't judge a book by its cover.,gpt/prompt1,1.0
don't judge a book by its cover,Não julgue um livro pela capa.,Don't judge a book by its cover.,gpt/prompt2,1.0
don't judge a book by its cover,Não julgue um livro pela capa.,Don't judge a book by its cover.,gpt/prompt3,1.0
don't judge a book by its cover,Não julgue um livro pela capa.,Don't judge a book by its cover.,gpt/prompt4,1.0
don't judge a book by its cover,Não julgues um livro pela sua capa,Don't judge a book by its cover,marian/,1.0
don't judge a book by its cover,Não julguem um livro pela capa,Don't judge a book by its cover.,meta/,1.0
don't judge a book by its cover,Não julgue um livro pela capa.,Don't judge a book by its cover.,mistral/prompt1,1.0
don't judge a book by its cover,Não julgue um livro pela capa.,Do not judge a book by its cover.,mistral/prompt2,1.0
don't judge a book by its cover,Não julgue o livro pela capa,Don't judge a book by its cover.,mistral/prompt3,1.0
don't judge a book by its cover,Não julgue o livro pela capa.,Don't judge a book by its cover.,mistral/prompt4,1.0
don't judge a book by its cover,não julgue um livro pela capa,Don't judge a book by its cover.,qwen/prompt1,1.0
don't judge a book by its cover,não julgue um livro pela capa,don't judge a book by its cover,qwen/prompt2,1.0
don't judge a book by its cover,não julgue um livro pela capa,Don't judge a book by its cover.,qwen/prompt3,1.0
don't judge a book by its cover,não julgue um livro pela capa,Don't judge a book by its cover,qwen/prompt4,1.0
don't bite the hand that feeds you,Não esqueça da mão que lhe dá de comer.,"""Don't forget the hand that feeds you.""",qwen/prompt3,0.9278817176818841
don't bite the hand that feeds you,Não mosque a mão que o alimenta,Don 't bite the hand that feeds him !,meta/,0.9551182985305781
don't bite the hand that feeds you,Não morda a mão que te alimenta.,"Não morda a mão que te alimenta. 

Don't bite the hand that feeds you.",llama/prompt4,0.9875186681747431
don't bite the hand that feeds you,Não morda a mão que te alimenta.,"""Não morda a mão que te alimenta"" se traduz para o inglês como ""Don't bite the hand that feeds you.""",llama/prompt3,0.9888228178024291
don't bite the hand that feeds you,não morder a mão que te alimenta,"""Don't bite the hand that feeds you""",qwen/prompt4,0.9907808303833001
don't bite the hand that feeds you,"Não morda a mão que te alimenta.
","Don't bite the hand that feeds you.
",gemini/prompt1,0.9912000298500061
