indice,ingles_original,par_discrepante,modelo_a,prompt_a,trad_a,modelo_b,prompt_b,trad_b,bertscore,mediana_bertscore,limite_inferior,limite_superior
24,color outside the lines,gpt/prompt2 X gemma3/prompt4,gpt,prompt2,c colorir fora das linhas,gemma3,prompt4,Quebrar o molde.,0.61,0.86,0.65,1.08
24,color outside the lines,gpt/prompt4 X gemma3/prompt4,gpt,prompt4,pintar fora das linhas,gemma3,prompt4,Quebrar o molde.,0.63,0.86,0.65,1.08
24,color outside the lines,gemini/prompt2 X gemma3/prompt4,gemini,prompt2,Colorir fora das linhas,gemma3,prompt4,Quebrar o molde.,0.64,0.86,0.65,1.08
24,color outside the lines,gemma3/prompt4 X gemmaX/sem_prompt,gemma3,prompt4,Quebrar o molde.,gemmaX,sem_prompt,cor fora das linhas,0.63,0.86,0.65,1.08
26,blind as a bat,gpt/prompt2 X gemma3/prompt4,gpt,prompt2,cego como um morcego,gemma3,prompt4,Ir para o beleléu.,0.7,0.95,0.71,1.19
26,blind as a bat,gpt/prompt4 X gemma3/prompt4,gpt,prompt4,cego como um morcego,gemma3,prompt4,Ir para o beleléu.,0.7,0.95,0.71,1.19
222,blind as a bat,gpt/prompt2 X gemma3/prompt4,gpt,prompt2,cego como um morcego,gemma3,prompt4,Ir para o andar dos mortos.,0.69,0.92,0.69,1.15
222,blind as a bat,gpt/prompt4 X gemma3/prompt4,gpt,prompt4,cego como um morcego,gemma3,prompt4,Ir para o andar dos mortos.,0.69,0.92,0.69,1.15
222,blind as a bat,gemma3/prompt4 X gemmaX/sem_prompt,gemma3,prompt4,Ir para o andar dos mortos.,gemmaX,sem_prompt,Cego como um morcego,0.69,0.92,0.69,1.15
229,blind as a bat,gpt/prompt2 X gemma3/prompt4,gpt,prompt2,cego como um morcego,gemma3,prompt4,Ir para o beleléu.,0.7,0.95,0.71,1.19
229,blind as a bat,gpt/prompt4 X gemma3/prompt4,gpt,prompt4,cego como um morcego,gemma3,prompt4,Ir para o beleléu.,0.7,0.95,0.71,1.19
233,"hope for the best, prepare for the worst",gpt/prompt2 X gemma3/prompt4,gpt,prompt2,"espere pelo melhor, prepare-se para o pior",gemma3,prompt4,"Aposte no sol, mas carregue o guarda-chuva.",0.66,0.89,0.67,1.11
233,"hope for the best, prepare for the worst",gemma3/prompt4 X gemmaX/sem_prompt,gemma3,prompt4,"Aposte no sol, mas carregue o guarda-chuva.",gemmaX,sem_prompt,"esperar o melhor, preparar-se para o pior",0.63,0.89,0.67,1.11
353,burn the candle at both ends,gemini/prompt2 X gemini/prompt4,gemini,prompt2,Viver perigosamente,gemini,prompt4,Queimar a vela dos dois lados.,0.63,0.85,0.64,1.06
