indice,dataset,modelo,prompt,ingles_original,portugues_traduzido,label,xcomet_xl,quartil
0,manual_data,gemma3,prompt4,crack the whip,Apurar o chicote.,1,606,Q1
1,manual_data,gemini,prompt4,blow off steam,"Desabafar
",1,561,Q1
2,manual_data,gemma3,prompt4,let the cat out of the bag,"Esparramar a pulga.
",1,570,Q1
6,manual_data,gpt,prompt4,bite off more than you can chew,dar um passo maior que a perna,1,504,Q2
8,manual_data,gpt,prompt4,dime a dozen,de montão,1,544,Q2
13,manual_data,gemma3,prompt4,fit as a fiddle,Em plena forma.,1,435,Q2
15,manual_data,gpt,prompt4,beggars can’t be choosers,"Quem não tem o que escolher, se contenta com o que tem.",1,496,Q2
16,manual_data,gemini,prompt4,card up your sleeve,"Trunfo na manga.
",1,544,Q2
17,manual_data,gemini,prompt4,beating around the bush,"Ficar de rodeios.
",1,516,Q2
20,manual_data,gpt,prompt4,ace up your sleeve,Ter um truque na manga.,1,480,Q2
25,manual_data,gemini,prompt4,easy as pie,"Moleza.
",1,514,Q2
26,manual_data,gemma3,prompt4,blind as a bat,Ir para o beleléu.,1,591,Q1
30,manual_data,gemma3,prompt4,a chip on your shoulder,Uma brasa acesa.,1,653,Q1
31,manual_data,gemma3,prompt4,close to my heart,"No âmago do meu ser.
",1,491,Q2
33,manual_data,gemini,prompt4,get the show on the road,"Botar a mão na massa!
",1,500,Q2
40,manual_data,gpt,prompt4,falling through the cracks,ficar à margem,1,454,Q2
45,manual_data,gemini,prompt4,spill the beans,"Abrir o bico
",1,547,Q1
48,manual_data,gpt,prompt4,as bold as brass,destemido,1,539,Q2
49,manual_data,gpt,prompt4,close to the vest,jogar as cartas na mesa,1,537,Q2
50,manual_data,gemini,prompt4,blood is thicker than water,"Sangue do meu sangue.
",1,619,Q1
53,manual_data,gemini,prompt4,as right as rain,"Em dia.
",1,644,Q1
59,manual_data,gemma3,prompt4,devil's advocate,Defender o indefensável.,1,461,Q2
