ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,"Comandar com mão de ferro.
","To rule with an iron fist.
",1,52,46,393,577,609,388,333,2398
blow off steam,"Desabafar
","To vent
",1,52,46,301,556,602,628,328,2513
let the cat out of the bag,"Revelar o segredo.
","Reveal the secret.
",1,49,46,402,599,577,448,290,2411
They are riding bicycles in the neighborhood.,"Eles estão andando de bicicleta no bairro.
","They are riding bikes in the neighborhood.
",0,10,29,9,202,222,290,1,763
He likes to watch movies in his free time.,"Ele gosta de assistir filmes em seu tempo livre.
","He likes to watch movies in his free time.
",0,1,1,3,144,17,146,1,313
She enjoys painting in her free time.,"Ela gosta de pintar no tempo livre.
","She likes to paint in her free time.
",0,23,32,85,335,264,98,1,838
bite off more than you can chew,"Morder mais do que pode mastigar.
","Bite off more than one can chew.
",1,10,46,195,366,419,587,225,1848
my hands are tied,"Estou de mãos atadas.
","I'm hamstrung.
",1,52,46,379,613,668,513,185,2456
dime a dozen,"À dime a dúzia
","Tell me the dozen.
",1,42,46,359,612,569,557,294,2479
They are having a picnic in the park.,"Eles estão fazendo um piquenique no parque.
","They are having a picnic in the park.
",0,1,1,3,117,32,122,36,312
leave no stone unturned,"Não deixar pedra sobre pedra
","Leave no stone unturned
",1,1,46,3,10,186,510,23,779
hold the fort,"Defendam o forte
","Defend the fort
",1,23,46,130,395,379,537,79,1589
He is putting the groceries away.,"Ele está guardando as compras.
","He is putting away the groceries.
",0,11,46,41,299,228,595,121,1341
fit as a fiddle,"Em perfeita forma.
","In perfect shape.
",1,52,46,414,500,531,426,183,2152
an iron fist,"Punho de ferro
","Iron Fist
",1,14,46,204,401,492,187,191,1535
beggars can’t be choosers,"Quem pede não escolhe.
","Beggars can't be choosers.
",1,1,46,171,243,395,593,159,1608
card up your sleeve,"Carta na manga
","Ace in the hole
",1,52,46,396,546,661,601,327,2629
beating around the bush,"Enrolar
","To roll.
",1,52,46,381,671,645,658,386,2839
She is giving a speech at the conference.,"Ela está fazendo um discurso na conferência.
","She's giving a speech at the conference.
",0,9,8,118,317,225,350,1,1028
She wrote a report for work.,"Ela escreveu um relatório para o trabalho.
","She wrote a report for work.
",0,1,1,3,142,103,478,6,734
ace up your sleeve,"Carta na manga
","Ace in the hole
",1,45,46,353,472,646,601,321,2484
an open book,"Um livro aberto
","An open book
",1,1,46,3,157,135,40,1,383
She is giving a presentation at work.,"Ela está apresentando no trabalho.
","She is presenting at work.
",0,23,46,174,376,438,585,42,1684
He went to a birthday party last night.,"Ele foi a uma festa de aniversário ontem à noite.
","He went to a birthday party last night.
",0,1,1,3,163,47,315,1,531
color outside the lines,"Colorir fora das linhas
","Color outside the lines
",1,1,46,5,187,194,495,85,1013
easy as pie,"Fácil como uma torta.
","Easy as pie.
",1,1,46,168,253,146,211,1,826
blind as a bat,"Cego como um morcego
","Blind as a bat
",1,1,46,3,146,291,502,66,1055
change of heart,"Mudança de coração
","Change of heart
",1,1,46,3,213,312,180,36,791
food for thought,"Comida para pensar
","Food for thought
",1,1,46,3,237,241,80,1,609
black as night,"Negro como a noite
","Black as night
",1,1,46,4,183,12,406,1,653
a chip on your shoulder,"Rancor.
","Rancor.
",1,52,46,442,622,687,625,354,2828
close to my heart,"Perto do meu coração.
","Close to my heart.
",1,1,46,149,26,286,92,1,601
apple of my eye,"A menina dos meus olhos
","Apple of my eye
",1,1,46,3,193,350,630,230,1453
get the show on the road,"Começar o show.
","Start the show.
",1,36,46,281,484,488,357,158,1850
easy as pie,"Fácil como uma torta.
","Easy as pie.
",1,1,46,168,253,146,211,1,826
back to square one,"De volta à estaca zero
","Back to square one
",1,1,46,3,226,52,259,1,588
devil's advocate,"Advogado do diabo
","Devil's advocate
",1,1,46,3,269,315,147,1,782
She went to the library to study.,"Ela foi à biblioteca para estudar.
","She went to the library to study.
",0,1,1,3,214,124,233,1,577
fit as a fiddle,"Em ótima forma.
","In great shape.
",1,52,46,403,553,543,487,250,2334
They went to the theater to watch a play.,"Eles foram ao teatro para assistir a uma peça.
","They went to the theater to see a play.
",0,8,18,11,311,182,143,1,674
falling through the cracks,"Caindo pelas frestas
","Falling through the cracks
",1,1,46,3,218,232,607,125,1232
She made breakfast for the family.,"Ela preparou o café da manhã para a família.
","She made breakfast for the family.
",0,1,1,3,166,106,161,1,439
She is talking on the phone.,"Ela está falando ao telefone.
","She is talking on the phone.
",0,1,1,3,40,54,105,1,205
all bark and no bite,"Só ladra, mas não morde.
","She barks, but she doesn't bite.
",1,51,46,346,487,495,576,211,2212
apple of discord,"Maçã da discórdia
","Apple of discord
",1,1,46,3,231,297,637,176,1391
spill the beans,"Contar tudo
","Tell all
",1,52,46,395,486,581,474,363,2397
burn your bridges,"Queime as pontes.
","Burn the bridges.
",1,23,46,243,429,361,571,1,1674
I need to buy groceries this afternoon.,"Preciso comprar mantimentos esta tarde.
","I need to buy groceries this afternoon.
",0,1,1,3,47,26,346,1,425
as bold as brass,"Descarado como o latão.
","Brazen as brass.
",1,29,46,292,586,506,673,319,2451
close to the vest,"Guardar segredo.
","Keep a secret.
",1,52,46,424,631,566,265,231,2215
blood is thicker than water,"Sangue do meu sangue.
","Blood of my blood.
",1,46,46,316,661,607,424,384,2484
back to the drawing board,"De volta à prancheta.
","Back to the drawing board.
",1,1,28,112,17,262,523,49,992
She went to the post office to send a package.,"Ela foi aos correios para enviar um pacote.
","She went to the post office to send a package.
",0,1,1,3,228,156,126,1,516
as right as rain,"Em perfeita ordem
","In perfect order
",1,52,46,468,575,549,158,345,2193
He is planning his day ahead.,"Ele está planejando o dia dele.
","He's planning his day.
",0,20,46,131,443,364,377,1,1382
She took a shower in the morning.,"Ela tomou banho de manhã.
","She took a shower in the morning.
",0,1,1,4,162,39,101,1,309
best of both worlds,"O melhor dos dois mundos.
","The best of both worlds.
",1,7,28,198,232,170,219,1,855
