indice,ingles_original,portugues_traduzido,label,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil,origem,parascore
447,"blood, sweat, and tears","Sangue, suor e lágrimas.",1,gemma3,prompt2,1.0349,1.0,0.9736478924751282,1.1310433149337769,Q1,dataset_final,
283,buy a lemon,Compre uma limão.,1,gemma3,prompt2,1.0337,1.0,0.963250696659088,1.1379926204681396,Q1,dataset_final,
283,buy a lemon,comprar um limão.,1,gpt,prompt2,1.0214,1.0,0.9911350011825562,1.0731598138809204,Q1,parascore,0.9493
283,buy a lemon,Comprar um limão azedo.,1,gemma3,prompt4,0.781,0.9895012378692627,0.9551875591278076,0.39842450618743896,Q1,parascore,0.913
505,don't judge a book by its cover,Não julgue um livro pela capa.,1,gemma3,prompt2,1.033,1.0,0.959353506565094,1.139675259590149,Q1,dataset_final,
7,my hands are tied,Minhas mãos estão atadas.,1,gpt,prompt2,1.0327,1.0,0.958843231201172,1.13926362991333,Q1,dataset_final,
7,my hands are tied,As mãos estão atadas.,1,gemma3,prompt4,0.904,0.9766715168952942,0.8673546314239502,0.8678485155105591,Q1,parascore,0.9629
7,my hands are tied,Estou de mãos atadas.,1,gemini,prompt2,0.6727,0.945519208908081,0.41531652212142944,0.6572501063346863,Q1,parascore,0.9315
7,my hands are tied,As minhas mãos estão atadas.,1,gemma3,prompt2,1.0202,1.0,0.9558024406433105,1.1048939228057861,Q1,parascore,0.9282
706,blood is thicker than water,Sangue é mais espesso que água.,1,gemini,prompt2,1.0327,1.0,0.9753132462501526,1.122857928276062,Q1,dataset_final,
706,blood is thicker than water,Sangue do meu sangue.,1,gemini,prompt4,0.5999,0.5542014837265015,0.5030274987220764,0.7425854206085205,Q1,parascore,0.9106
400,smooth sailing,navegação tranquila.,1,gpt,prompt2,1.0294,1.0,0.9905226230621338,1.097805142402649,Q1,dataset_final,
259,cloud of suspicion,Nuvem de suspeita.,1,gemma3,prompt2,1.0291,1.0,0.9692274928092957,1.1182150840759275,Q1,dataset_final,
259,cloud of suspicion,Nuvem de suspeitas.,1,gemini,prompt2,1.0288,1.0,0.9684449434280396,1.1178139448165894,Q1,parascore,0.9003
453,black and blue,preto e azul.,1,gpt,prompt2,1.029,1.0,0.9940990805625916,1.0928452014923096,Q1,dataset_final,
91,boiling point,ponto de ebulição.,1,gemmaX,sem_prompt,1.0264,1.0,0.993129312992096,1.086027979850769,Q1,dataset_final,
644,big fish in a small pond,Peixe grande em lago pequeno.,1,gemini,prompt2,1.0264,1.0,0.9549999833106996,1.1242280006408691,Q1,dataset_final,
644,big fish in a small pond,peixe grande num pequeno lago.,1,gemmaX,sem_prompt,1.0124,0.9995615482330322,0.9613012671470642,1.0763887166976929,Q1,parascore,0.9311
644,big fish in a small pond,grande peixe em um pequeno lago.,1,gpt,prompt2,1.015,1.0,0.9755234122276306,1.0694373846054077,Q1,parascore,0.9252
644,big fish in a small pond,Peixe grande num lago pequeno.,1,gemma3,prompt4,0.9456,0.9999723434448242,0.9180728793144226,0.9188257455825806,Q1,parascore,0.9018
74,actions speak louder than words,As ações falam mais alto do que as palavras.,1,gemma3,prompt2,1.026,1.0,0.9677042365074158,1.1102709770202637,Q1,dataset_final,
74,actions speak louder than words,As ações valem mais que as promessas.,1,gemma3,prompt4,0.9448,0.9974488019943237,0.9612587094306946,0.8758113980293274,Q1,parascore,0.9705
74,actions speak louder than words,Ações falam mais alto que palavras.,1,gpt,prompt2,1.024,1.0,0.9702354073524475,1.1017483472824097,Q1,parascore,0.9532
74,actions speak louder than words,Atos falam mais alto que palavras.,1,gpt,prompt4,0.9513,1.0,0.9696573615074158,0.884280800819397,Q1,parascore,0.9528
74,actions speak louder than words,Ações valem mais que palavras.,1,gemini,prompt2,1.0158,1.0,0.9644660949707031,1.08282470703125,Q1,parascore,0.9499
655,a taste of freedom,um gosto de liberdade.,1,gemmaX,sem_prompt,1.0252,1.0,0.9796101450920104,1.0960321426391602,Q1,dataset_final,
