ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,"Palavra vira pedra
","Word turns to stone.
",Sim,4,4,4,Sim,Não,Não,Não,Não,Não
silence becomes a thunder,"O silêncio se torna um trovão.
","Silence becomes a thunder.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the doctor walks to the school.,"O médico anda para a escola.
","The doctor walks to school.
",Não,,,,,,,Não,Não,Não
strength becomes a diamond,"A força se torna um diamante.
","Strength becomes a diamond.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time has a mountain,"O tempo tem uma montanha.
","Time has a mountain.
",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
mind becomes a gold,"A mente se torna ouro.
","The mind becomes gold.
",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
word has a rock,"A palavra tem uma rocha.
","The word has a rock.
",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
dream has a star,"Sonho tem uma estrela.
","Dream has a star.
",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion is a light,"Paixão é uma luz.
","Passion is a light.
",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
courage has a sun,"A coragem tem um sol.
","Courage has a sun.
",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion has a light,"Paixão tem uma luz.
","Passion has a light.
",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
the driver visits the cafe.,"O motorista visita o café.
","The driver visits the café.
",Não,,,,,,,Não,Não,Não
dream is a star,"Sonho é uma estrela.
","A dream is a star.
",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit is a storm,"O espírito é uma tempestade.
","The spirit is a storm.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
word is a rock,"A palavra é uma rocha.
","The word is a rock.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile becomes a wind,"O sorriso vira vento
","The smile turns to wind
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
mind has a gold,"A mente tem ouro.
","The mind has gold.
",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
hope becomes a ice,"A esperança vira gelo.
","Hope turns to ice.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love becomes a moon,"O amor vira lua
","Love turns moon
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the artist works in the library.,"O artista trabalha na biblioteca.
","The artist works in the library.
",Não,,,,,,,Não,Não,Não
the chef writes the restaurant.,"O chef escreve o restaurante.
","The chef writes the restaurant.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory becomes a ocean,"A memória torna-se um oceano.
","Memory becomes an ocean.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the child drinks the market.,"A criança bebe o mercado.
","The child drinks the market.
",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
smile is a wind,"Sorriso é vento.
","A smile is wind.
",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
courage is a sun,"Coragem é um sol.
","Courage is a sun.
",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
heart has a tree,"O coração tem uma árvore.
","The heart has a tree.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love has a moon,"O amor tem uma lua.
","Love has a moon.
",Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye is a flame,"O olho é uma chama.
","The eye is a flame.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time is a mountain,"O tempo é uma montanha.
","Time is a mountain.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage becomes a sun,"A coragem se torna um sol.
","Courage becomes a sun.
",Sim,5,5,5,Sim,Não,Não,Não,Não,Não
dream becomes a star,"Sonho vira estrela
","A dream becomes a star
",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
he walks to the park.,"Ele caminha para o parque.
","He walks to the park.
",Não,,,,,,,Não,Não,Não
mind is a gold,"A mente é ouro.
","The mind is gold.
",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
