indice,dataset,ingles_original,portugues_traduzido,modelo,prompt,xcomet_xl,kiwi_xl,comet22,score_combinado,quartil
606,manual_data,Water boils at 100°C.,"A água ferve a 100°C.
",gemini,prompt2,1.0,1.1482,0.9886,1.0456,Q1
147,manual_data,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,gpt,prompt2,1.0,1.1334,0.9815,1.0383,Q1
589,manual_data,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,gpt,prompt2,1.0,1.1346,0.9705,1.035,Q1
447,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.",gemma3,prompt2,1.0,1.131,0.9736,1.0349,Q1
283,manual_data,buy a lemon,"Compre uma limão.
",gemma3,prompt2,1.0,1.138,0.9633,1.0337,Q1
382,manual_data,She is practicing yoga in the park.,"Ela está praticando ioga no parque.
",gemini,prompt2,1.0,1.1231,0.9779,1.0337,Q1
505,manual_data,don't judge a book by its cover,"Não julgue um livro pela capa.
",gemma3,prompt2,1.0,1.1397,0.9594,1.033,Q1
7,manual_data,my hands are tied,Minhas mãos estão atadas.,gpt,prompt2,1.0,1.1393,0.9588,1.0327,Q1
706,manual_data,blood is thicker than water,"Sangue é mais espesso que água.
",gemini,prompt2,1.0,1.1229,0.9753,1.0327,Q1
116,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas.
",gemma3,prompt2,1.0,1.1229,0.9736,1.0322,Q1
80,manual_data,She is drinking water.,Ela está bebendo água.,gpt,prompt2,1.0,1.1115,0.9845,1.032,Q1
158,manual_data,She made a salad for lunch.,Ela fez uma salada para o almoço.,gpt,prompt2,1.0,1.1149,0.9794,1.0314,Q1
202,manual_data,They planted flowers in the garden.,"Eles plantaram flores no jardim.
",gemma3,prompt2,1.0,1.1175,0.9764,1.0313,Q1
676,manual_data,She reads a book every night.,Ela lê um livro todas as noites.,gpt,prompt2,1.0,1.1115,0.9823,1.0313,Q1
438,manual_data,"blood, sweat, and tears","Sangue, suor e lágrimas",gemma3,prompt2,1.0,1.1174,0.9747,1.0307,Q1
177,manual_data,He is reading a newspaper.,Ele está lendo um jornal.,gpt,prompt2,1.0,1.1119,0.9776,1.0298,Q1
400,manual_data,smooth sailing,navegação tranquila,gpt,prompt2,1.0,1.0978,0.9905,1.0294,Q1
259,manual_data,cloud of suspicion,Nuvem de suspeita,gemma3,prompt2,1.0,1.1182,0.9692,1.0291,Q1
72,manual_data,I like to drink coffee in the morning.,"Eu gosto de tomar café de manhã.
",gemini,prompt2,1.0,1.1086,0.9784,1.029,Q1
453,manual_data,black and blue,preto e azul,gpt,prompt2,1.0,1.0928,0.9941,1.029,Q1
87,manual_data,She is talking to her friend on the phone.,Ela está falando com sua amiga ao telefone.,gemma3,prompt2,1.0,1.1135,0.9736,1.029,Q1
228,manual_data,She is listening to music while cooking.,"Ela está ouvindo música enquanto cozinha.
",gemini,prompt2,1.0,1.1057,0.9809,1.0289,Q1
593,manual_data,I did the laundry yesterday.,Eu fiz a lavanderia ontem.,gpt,prompt2,1.0,1.1115,0.9723,1.0279,Q1
332,manual_data,I am playing video games in my room.,"Estou jogando video games no meu quarto.
",gemini,prompt2,0.9912,1.1103,0.9819,1.0278,Q1
472,manual_data,They have three children.,Eles têm três filhos.,gpt,prompt2,1.0,1.0965,0.9865,1.0277,Q1
254,manual_data,She plays the piano beautifully.,"Ela toca piano lindamente.
",gemini,prompt2,1.0,1.1001,0.9808,1.027,Q1
567,manual_data,She played tennis with her brother.,"Ela jogou tênis com o irmão dela.
",gemini,prompt2,1.0,1.1027,0.9782,1.027,Q1
69,manual_data,She is brushing her teeth before bed.,Ela está escovando os dentes antes de dormir.,gemma3,prompt2,1.0,1.103,0.9776,1.0268,Q1
491,manual_data,The dog is playing outside.,"O cachorro está brincando lá fora.
",gemma3,prompt2,1.0,1.1043,0.9758,1.0267,Q1
294,manual_data,The sun rises in the east.,"O sol nasce no leste.
",gemini,prompt2,1.0,1.1009,0.9789,1.0266,Q1
91,manual_data,boiling point,ponto de ebulição,gemmaX,sem_prompt,1.0,1.086,0.9931,1.0264,Q1
644,manual_data,big fish in a small pond,"Peixe grande em lago pequeno
",gemini,prompt2,1.0,1.1242,0.955,1.0264,Q1
74,manual_data,actions speak louder than words,As ações falam mais alto do que as palavras.,gemma3,prompt2,1.0,1.1103,0.9677,1.026,Q1
585,manual_data,They are watching TV in the living room.,"Eles estão assistindo TV na sala.
",gemini,prompt2,1.0,1.1011,0.9759,1.0257,Q1
95,manual_data,actions speak louder than words,"As ações falam mais alto que as palavras.
",gemma3,prompt2,1.0,1.1093,0.9673,1.0255,Q1
528,manual_data,actions speak louder than words,"As ações falam mais alto que as palavras.
",gemma3,prompt2,1.0,1.1093,0.9673,1.0255,Q1
655,manual_data,a taste of freedom,um gosto de liberdade,gemmaX,sem_prompt,1.0,1.096,0.9796,1.0252,Q1
153,manual_data,They watched a movie on the weekend.,"Eles assistiram a um filme no fim de semana.
",gemini,prompt2,1.0,1.0987,0.9764,1.025,Q1
544,manual_data,She took the train to the city.,"Ela pegou o trem para a cidade.
",gemma3,prompt2,1.0,1.1042,0.9704,1.0249,Q1
311,manual_data,all that glitters is not gold,Nem tudo que brilha é ouro.,gpt,prompt2,0.9874,1.1036,0.9836,1.0249,Q1
21,manual_data,an open book,"Um livro aberto
",gemini,prompt2,1.0,1.1028,0.9713,1.0247,Q1
291,manual_data,a ray of hope,"Um raio de esperança
",gemini,prompt2,1.0,1.1014,0.9723,1.0246,Q1
209,manual_data,He wrote a letter to his friend.,"Ele escreveu uma carta para o amigo dele.
",gemini,prompt2,1.0,1.1,0.9737,1.0245,Q1
575,manual_data,I like to read books in the evening.,Eu gosto de ler livros à noite.,gpt,prompt2,1.0,1.1386,0.9348,1.0245,Q1
660,manual_data,back to basics,de volta ao básico,gpt,prompt2,1.0,1.1049,0.9681,1.0243,Q1
352,manual_data,I called my friend last night.,Eu liguei para o meu amigo na noite passada.,gpt,prompt2,1.0,1.0938,0.9791,1.0243,Q1
507,manual_data,back to the grind,De volta à rotina.,gemma3,prompt2,0.9738,1.1768,0.9216,1.0241,Q1
55,manual_data,She took a shower in the morning.,Ela tomou um banho de manhã.,gpt,prompt2,1.0,1.093,0.979,1.024,Q1
73,manual_data,"another day, another dollar","Mais um dia, mais um dólar.",gpt,prompt2,1.0,1.1141,0.9578,1.024,Q1
701,manual_data,She is making a smoothie for breakfast.,Ela está fazendo um smoothie para o café da manhã.,gpt,prompt2,1.0,1.0932,0.978,1.0237,Q1
270,manual_data,I visited my parents last weekend.,"Visitei meus pais no fim de semana passado.
",gemini,prompt2,1.0,1.0885,0.982,1.0235,Q1
601,manual_data,She is making a salad for lunch.,Ela está fazendo uma salada para o almoço.,gpt,prompt2,1.0,1.0936,0.9769,1.0235,Q1
703,manual_data,better late than never,"Antes tarde do que nunca.
",gemini,prompt2,0.9982,1.1016,0.9694,1.0231,Q1
487,manual_data,The train arrived at the station on time.,"O trem chegou à estação na hora certa.
",gemini,prompt2,1.0,1.0911,0.978,1.023,Q1
576,manual_data,They went to a museum last month.,Eles foram a um museu no mês passado.,gpt,prompt2,1.0,1.0908,0.9779,1.0229,Q1
511,manual_data,a fish out of water,"Um peixe fora d'água
",gemini,prompt2,1.0,1.1049,0.9632,1.0227,Q1
266,manual_data,a fish out of water,"Um peixe fora d'água
",gemini,prompt2,1.0,1.1049,0.9632,1.0227,Q1
28,manual_data,food for thought,alimento para a reflexão,gpt,prompt2,0.997,1.085,0.985,1.0223,Q1
430,manual_data,I am learning how to cook.,"Estou aprendendo a cozinhar.
",gemini,prompt2,1.0,1.1049,0.9614,1.0221,Q1
663,manual_data,She brushed her teeth before bed.,Ela escovou os dentes antes de dormir.,gemma3,prompt2,1.0,1.0854,0.9804,1.0219,Q1
331,manual_data,She is playing with her children in the garden.,"Ela está brincando com seus filhos no jardim.
",gemini,prompt2,1.0,1.0941,0.9712,1.0218,Q1
292,manual_data,They are painting the walls of their house.,Eles estão pintando as paredes da casa deles.,gpt,prompt2,1.0,1.0911,0.9731,1.0214,Q1
50,manual_data,blood is thicker than water,O sangue é mais grosso que a água.,gemma3,prompt2,1.0,1.0916,0.972,1.0212,Q1
316,manual_data,He is writing an essay for school.,Ele está escrevendo uma redação para a escola.,gemma3,prompt2,1.0,1.0862,0.9772,1.0211,Q1
455,manual_data,He played video games all evening.,Ele jogou video games a noite toda.,gemmaX,sem_prompt,1.0,1.0953,0.968,1.0211,Q1
581,manual_data,They met their friends at the café.,"Eles encontraram seus amigos no café.
",gemini,prompt2,1.0,1.0895,0.9728,1.0208,Q1
407,manual_data,She is putting on her shoes.,"Ela está calçando os sapatos.
",gemini,prompt2,1.0,1.0869,0.9756,1.0208,Q1
192,manual_data,a penny for your thoughts,um centavo por seus pensamentos,gemmaX,sem_prompt,1.0,1.0803,0.9811,1.0205,Q1
84,manual_data,They are visiting a museum this afternoon.,Eles estão visitando um museu esta tarde.,gpt,prompt2,1.0,1.0807,0.9793,1.02,Q1
52,manual_data,She went to the post office to send a package.,Ela foi à agência dos correios para enviar um pacote.,gemmaX,sem_prompt,1.0,1.0911,0.9687,1.02,Q1
375,manual_data,They are playing chess at the table.,Eles estão jogando xadrez na mesa.,gpt,prompt2,1.0,1.0896,0.9704,1.02,Q1
184,manual_data,burn bridges,"Queimar pontes
",gemini,prompt2,0.9912,1.1236,0.9452,1.02,Q1
85,manual_data,They are swimming at the pool.,"Eles estão nadando na piscina.
",gemini,prompt2,1.0,1.105,0.9542,1.0197,Q1
14,manual_data,an iron fist,um punho de ferro,gemmaX,sem_prompt,0.9968,1.0823,0.9798,1.0196,Q1
657,manual_data,The weather is very cold today.,"O tempo está muito frio hoje.
",gemini,prompt2,1.0,1.0797,0.9781,1.0193,Q1
401,manual_data,She is sending a letter to her friend.,Ela está enviando uma carta para sua amiga.,gemmaX,sem_prompt,1.0,1.0861,0.9707,1.019,Q1
368,manual_data,She visited the art gallery on Sunday.,Ela visitou a galeria de arte no domingo.,gpt,prompt2,1.0,1.0829,0.9735,1.0188,Q1
106,manual_data,light at the end of the tunnel,"Luz no fim do túnel
",gemini,prompt2,1.0,1.0975,0.9585,1.0187,Q1
