frase,ranking_total,quartil
Prince Harry and Meghan Markle Were Caught Kissing in Toronto,20584,Q1_melhor
"Trump says new Pennsylvania coal mine created 45,000 jobs. The actual number is 70.",27582,Q1_melhor
Trump Sharply Warns Turkey Against Military Strikes in Syria,28205,Q1_melhor
Scientists develop brain device that can increase learning by 40%,28587,Q1_melhor
Saudi Arabia Accuses Iran and Lebanon of Acts of War,28939,Q1_melhor
Trump administration wants to make it harder for lawmakers to assist their immigrant constituents,29761,Q1_melhor
Marco Rubio still harbors doubts about Jim Bridenstine for NASA administrator,34054,Q1_melhor
False charges of ‘Fake News’ are harming our free press,36630,Q1_melhor
Photogallery - Prince Harry and Meghan Markle are planning their wedding their way,38243,Q1_melhor
Russia State Media: Russians See Crimea as ‘First Step in the Reunification of Russia’,38633,Q1_melhor
Kellyanne Conway loses it on Twitter after being questioned over Trump's lies,39416,Q1_melhor
"How Shelley Worrell, Creator of CaribBeing, Spends Her Sundays",39429,Q1_melhor
BMW will be bringing a Tesla Model 3 opponent with the i5,40590,Q1_melhor
Mike Pence's chief of staff asks donors to 'purge' Republicans not loyal to Trump,40640,Q1_melhor
California man who scaled White House fence in March was sentenced Monday,42530,Q1_melhor
Aircraft Carrier Delivers Mountains Of Aid To Thousands Of Irma Victims,42550,Q1_melhor
Harvey has knocked out a significant portion of the nation’s oil refining capacity,43100,Q1_melhor
Trump blames Obama again for Russian hacking — but still refuses to do anything about it,44572,Q1_melhor
"ISIS releases new video, bragging that Las Vegas shooting is REVENGE for US attacks against their ‘caliphate’",45124,Q1_melhor
“Something Is Very Wrong With The Global Economy”: Richest 1% Made 82% Of Global Wealth In 2017,45580,Q1_melhor
Rasmussen Poll: 56 Percent of Voters Don't Believe Border Wall Should Be Built,47120,Q1_melhor
"Eagle Imports, Inc., Brings the Llama Micro Max to American Shores",48324,Q1_melhor
US military has been covering up civilian death counts from its bombing raids.,48410,Q1_melhor
Trumps Spend $$5 Million Less Than Obamas on White House Salaries,48509,Q1_melhor
North Korean foreign minister compares Trump's threat to dogs barking,49345,Q1_melhor
Why Are Our Most Important Teachers Paid the Least?,49929,Q2
BOOM! Editor-in-chief of @RT_com drops a bomb on @Jack and Twitter,50889,Q2
Can I Let My Friend Pay Off My Mortgages?,51037,Q2
"Would You Pay $$30,000 for the “World’s Most Luxurious Coloring Book”?",51164,Q2
Rep. Moylan Revives His Campaign Against Law-Abiding Firearm Owners,51178,Q2
So who’s buying CNN’s explanation for the anti-Trump tweet from @AndersonCooper,51303,Q2
The Pneumonic Plague Killed 50 Million People in the Middle Ages and Now It’s Back (VIDEO),52248,Q2
Trump appears to be serious in his efforts to defeat insufficiently loyal Republican Sen. Jeff Flake,53335,Q2
US attorney general Jeff Sessions due to face Democrats’ Russia questions next week,54120,Q2
Missing: Rex Tillerson—have you seen your Secretary of State,54396,Q2
Roy Moore Finds a Rival From Afar: Gloria Allred,54649,Q2
How the South Pacific Countries Are Selling Their Votes,54687,Q2
Daily Kos Founder Moulitsas Says NRA and Nazis 'One and the Same',55124,Q2
Nancy Pelosi releases scathing statement over these reports about Trump,55270,Q2
Police Make Disturbing Discovery Concerning Baby Whose Skull Was Crushed,56295,Q2
WITCH HUNT: Congressional Investigators Want Donald Trump Jr.'s Phone Records,56312,Q2
Cavaliers’ Derrick Rose reveals true status of his ankle injury,56700,Q2
"U.S. Hernia Mesh Repair Devices Market is Poised to Reach USD 2,061.89 Million by 2024",57748,Q2
Germany Offers Unprecedented Police Protection To Woman Behind ‘Liberal Mosque’,58049,Q2
"Celebrities are defending an Obama, but it's not the former President",58198,Q2
