ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,A palavra se torna uma pedra.,The word becomes a stone.,Sim,5,4,4,Não,Sim,Não,Não,Não,Não
silence becomes a thunder,O silêncio se torna um trovão.,Silence becomes thunder.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the doctor walks to the school.,O médico caminha para a escola.,The doctor walks to school.,Não,,,,,,,Não,Não,Não
strength becomes a diamond,A força se torna um diamante.,Force becomes a diamond.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time has a mountain,O tempo tem uma montanha.,Time has a mountain.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
mind becomes a gold,A mente se torna ouro.,The mind becomes gold.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
word has a rock,A palavra tem uma pedra.,"""The word has a stone.""",Sim,4,4,4,Não,Sim,Não,Não,Não,Não
dream has a star,O sonho tem uma estrela.,The dream has a star.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion is a light,A paixão é uma luz.,Passion is a light.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage has a sun,A coragem tem um sol.,Courage has a sun.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion has a light,A paixão tem uma luz.,Passion has a light.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
the driver visits the cafe.,O motorista visita o café.,The driver visits the café.,Não,,,,,,,Não,Não,Não
dream is a star,O sonho é uma estrela.,Dream is a star.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit is a storm,Espírito é uma tempestade.,"""Spirit is a storm.""",Sim,4,5,5,Sim,Não,Não,Não,Não,Não
word is a rock,A palavra é uma pedra.,The word is a stone.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile becomes a wind,O sorriso se torna um vento.,The smile becomes a wind.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
mind has a gold,O espírito tem um ouro.,The spirit has gold.,Sim,2,2,2,Não,Sim,Não,Não,Não,Não
hope becomes a ice,A esperança se transforma em gelo.,Hope turns to ice.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love becomes a moon,O amor se torna uma lua.,Love turns into a moon.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the artist works in the library.,O artista trabalha na biblioteca.,The artist works at the library.,Não,,,,,,,Não,Não,Não
the chef writes the restaurant.,O cozinheiro escreve o restaurante.,The chef writes the restaurant.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
memory becomes a ocean,A memória se torna um oceano.,Memory becomes an ocean.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the child drinks the market.,O filho bebe o mercado.,The son drinks the market.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
smile is a wind,Sorriso é um vento.,Smile is a wind.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
courage is a sun,A coragem é um sol.,Courage is a sun.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart has a tree,O coração tem uma árvore.,The heart has a tree.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love has a moon,O amor tem uma lua.,Love has a moon.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye is a flame,O olhar é uma chama.,The gaze is a flame.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time is a mountain,O tempo é uma montanha,Time is a mountain.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage becomes a sun,A coragem se torna um sol.,Courage becomes the sun.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
dream becomes a star,Sonho se torna uma estrela.,Dream becomes a star.,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
he walks to the park.,Ele vai até o parque a pé.,He is going to the park on foot.,Não,,,,,,,Não,Não,Não
mind is a gold,A mente é ouro.,The mind is gold.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
eye becomes a flame,O olho se torna uma chama.,The eye becomes a flame.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart is a tree,O coração é uma árvore.,The heart is a tree.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul becomes a shadow,A alma se torna uma sombra.,The soul becomes a shadow.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time becomes a mountain,O tempo se torna uma montanha.,Time becomes a mountain.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
she writes the office.,Ela escreve o escritório.,She writes the office.,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
wisdom becomes a garden,A sabedoria se torna um jardim.,Wisdom becomes a garden.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
soul is a shadow,O espírito é uma sombra.,The spirit is a shadow.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
