ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,crack the whip,crack the whip,1,50,2,274,72,629,160,1188
blow off steam,desabafar,venting,45,50,314,606,660,526,292,2493
let the cat out of the bag,Deixe o gato sair da sacola,Let the cat out of the bag,1,4,3,88,283,350,1,730
They are riding bicycles in the neighborhood.,Eles estão andando de bicicleta pelo bairro.,They're riding bikes around the neighborhood.,28,50,193,450,420,288,1,1430
He likes to watch movies in his free time.,Ele gosta de assistir filmes em seu tempo livre.,He likes to watch movies in his free time.,1,1,3,135,86,114,1,341
She enjoys painting in her free time.,Ela gosta de pintar em seu tempo livre.,She likes to paint in her free time.,21,40,90,413,395,44,1,1004
bite off more than you can chew,tomar mais do que se pode mastigar,taking more than one can chew,25,50,277,614,624,488,269,2347
my hands are tied,Minhas mãos estão atadas,My hands are tied,1,50,3,61,211,42,1,369
dime a dozen,uma dúzia de,a dozen of,21,50,294,591,628,498,234,2316
They are having a picnic in the park.,Eles estão tendo um piquenique no parque.,They're having a picnic in the park.,8,10,117,290,285,77,1,788
leave no stone unturned,não deixar pedra sobre pedra,not leave one stone on another,36,50,302,594,632,602,290,2506
hold the fort,defenda o forte,defend the fort,21,50,147,496,448,446,1,1609
He is putting the groceries away.,Ele está arrumando os mantimentos.,He's getting the groceries.,29,50,217,543,616,555,267,2277
fit as a fiddle,em forma como uma camurça,in shape as a suede,32,50,319,646,659,562,262,2530
an iron fist,um punho de ferro,an iron fist,1,50,3,229,121,46,29,479
beggars can’t be choosers,Os mendigos não podem ser exigentes,Beggars can't be choosers.,1,50,194,244,537,607,173,1806
card up your sleeve,cartão na manga,card up your sleeve,1,1,3,90,297,502,157,1051
beating around the bush,dar voltas ao assunto,beat around the bush,17,50,65,420,552,593,277,1974
She is giving a speech at the conference.,Ela está dando um discurso na conferência.,She's giving a speech at the conference.,8,10,131,394,344,336,1,1224
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,1,1,3,134,202,550,20,911
ace up your sleeve,um trunfo na manga,a trump up one's sleeve,36,50,303,629,645,471,291,2425
an open book,um livro aberto,an open book,1,50,3,149,15,207,1,426
She is giving a presentation at work.,Ela está dando uma apresentação no trabalho.,She's giving a presentation at work.,9,14,89,375,372,78,1,938
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,3,155,145,344,1,650
color outside the lines,cor fora das linhas,color outside the lines,1,1,5,177,157,415,25,781
easy as pie,fácil como a torta,easy as pie,1,50,3,162,5,469,19,709
