ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,"Fazer o chicote.
","Whip it.
",36,41,274,486,510,661,311,2319
blow off steam,"Desabafar
","To vent
",51,41,287,547,598,630,337,2491
let the cat out of the bag,"Contar o segredo
","Tell the secret
",47,41,386,627,570,258,328,2257
They are riding bicycles in the neighborhood.,"Eles estão andando de bicicleta no bairro.
","They are riding bikes in the neighborhood.
",9,27,9,198,231,301,1,776
He likes to watch movies in his free time.,"Ele gosta de assistir filmes no tempo livre.
","He likes to watch movies in his free time.
",1,1,3,142,17,149,1,314
She enjoys painting in her free time.,"Ela gosta de pintar no tempo livre.
","She likes to paint in her free time.
",22,30,76,325,265,103,1,822
bite off more than you can chew,"Morder mais do que pode mastigar
","Bite off more than you can chew.
",1,11,88,12,371,643,269,1395
my hands are tied,"Estou de mãos atadas.
","I'm in a bind.
",51,41,349,432,580,512,236,2201
dime a dozen,"Às pencas.
","By the bucketload.
",51,41,362,612,656,609,362,2693
They are having a picnic in the park.,"Eles estão fazendo um piquenique no parque.
","They are having a picnic in the park.
",1,1,3,113,32,126,32,308
leave no stone unturned,"Não poupar esforços
","Spare no effort
",41,41,285,576,532,573,215,2263
hold the fort,"Guarde o forte
","Keep the fort.
",22,41,198,383,374,389,32,1439
He is putting the groceries away.,"Ele está guardando as compras.
","He is putting away the groceries.
",10,41,36,292,232,591,126,1328
fit as a fiddle,"Em ótima forma
","In great shape
",51,41,381,556,530,473,325,2357
an iron fist,"Punho de ferro
","Iron Fist
",12,41,182,382,495,192,194,1498
beggars can’t be choosers,"A quem pede, não se escolhe.
","Ask, and you shall receive.
",51,41,411,637,647,673,405,2865
card up your sleeve,"Carta na manga
","Ace in the hole
",51,41,387,534,651,597,336,2597
beating around the bush,"Enrolar
","To roll up
",51,41,327,661,655,653,372,2760
She is giving a speech at the conference.,"Ela está fazendo um discurso na conferência.
","She is giving a speech at the conference.
",1,1,3,252,100,330,1,688
She wrote a report for work.,"Ela escreveu um relatório para o trabalho.
","She wrote a report for work.
",1,1,3,140,104,491,5,745
ace up your sleeve,"Carta na manga
","Ace in the hole
",43,41,345,458,636,597,331,2451
an open book,"Um livro aberto
","An open book
",1,41,3,155,141,42,1,384
She is giving a presentation at work.,"Ela está fazendo uma apresentação no trabalho.
","She is giving a presentation at work.
",1,1,3,130,101,133,1,370
He went to a birthday party last night.,"Ele foi a uma festa de aniversário ontem à noite.
","He went to a birthday party last night.
",1,1,3,160,49,327,1,542
color outside the lines,"Colorir fora das linhas
","Color outside the lines
",1,41,5,186,201,506,84,1024
easy as pie,"Moleza!
","Easy peasy!
",36,41,371,575,441,632,138,2234
blind as a bat,"Cego como um morcego
","Blind as a bat
",1,41,3,144,287,517,65,1058
change of heart,"Mudança de coração
","Change of heart
",1,41,3,208,305,186,32,776
food for thought,"Comida para reflexão
","Food for thought
",1,41,3,232,237,22,1,537
black as night,"Negro como a noite
","Black as night
",1,41,4,180,12,417,1,656
a chip on your shoulder,"Rancor
","Resentment
",51,41,435,516,643,532,392,2610
close to my heart,"Perto do meu coração
","Near my heart
",27,41,135,349,414,394,33,1393
apple of my eye,"Menina dos meus olhos
","Apple of my eye
",1,41,3,191,329,608,237,1410
get the show on the road,"Começar o show.
","Start the show.
",34,41,264,468,491,360,162,1820
easy as pie,"Fácil como uma torta.
","Easy as pie.
",1,41,153,249,152,221,1,818
back to square one,"De volta à estaca zero
","Back to square one
",1,41,3,221,53,271,1,591
devil's advocate,"Advogado do Diabo
","Devil's Advocate
",1,41,3,261,437,263,109,1115
She went to the library to study.,"Ela foi à biblioteca para estudar.
","She went to the library to study.
",1,1,3,209,131,242,1,588
fit as a fiddle,"Em plena forma
","In good shape
",51,41,388,462,553,560,356,2411
They went to the theater to watch a play.,"Eles foram ao teatro para assistir a uma peça.
","They went to the theater to see a play.
",7,15,11,306,194,157,1,691
falling through the cracks,"Caindo no esquecimento
","Falling into oblivion
",41,41,263,469,544,408,212,1978
She made breakfast for the family.,"Ela fez o café da manhã para a família.
","She made breakfast for the family.
",1,1,3,164,126,167,1,463
She is talking on the phone.,"Ela está falando ao telefone.
","She is talking on the phone.
",1,1,3,33,55,109,1,203
all bark and no bite,"Muito barulho e pouca ação.
","Much ado about nothing.
",51,41,352,553,550,385,334,2266
apple of discord,"Maçã da discórdia
","Apple of discord
",1,41,3,227,298,636,174,1380
spill the beans,"Contar tudo
","Tell everything
",51,41,361,460,543,404,297,2157
burn your bridges,"Queimar as pontes
","Burn the bridges
",22,41,176,414,339,576,32,1600
I need to buy groceries this afternoon.,"Preciso comprar mantimentos esta tarde.
","I need to buy groceries this afternoon.
",1,1,3,40,26,350,1,422
as bold as brass,"Descarado como o latão.
","Brass-faced.
",39,41,401,563,624,665,371,2704
