frase,score
bite the dust,2613
by the skin of your teeth,2603
batten down the hatches,2574
bolt from the blue,2556
flying off the handle,2455
beef up,2445
call the shots,2443
grasp at straws,2409
call it a day,2373
against the grain,2367
apple of my eye,2348
bad apple,2345
bad egg,2344
as fit as a fiddle,2316
hit the ground running,2309
by a hair's breadth,2294
as gentle as a lamb,2289
"easy come, easy go",2276
ace in the hole,2274
alive and kicking,2274
bend the rules,2268
come down to earth,2263
come up against a brick wall,2262
caught red-handed,2247
all bark and no bite,2244
be on cloud nine,2234
face like thunder,2230
bare your soul,2227
red herring,2217
icing on the cake,2209
hit the books,2192
burst at the seams,2183
how the cookie crumbles,2172
beat a hasty retreat,2168
carry the torch,2164
cooking up a storm,2159
chip on your shoulder,2148
blown away,2142
blaze a trail,2088
They are driving to the countryside.,2072
coming full circle,2051
dive in headfirst,2023
burnt to a crisp,2022
by a long shot,2011
another string to your bow,2002
better safe than sorry,1988
bend over backward,1982
a snowball's chance in hell,1982
burn the midnight oil,1952
get the ball rolling,1934
all thumbs,1926
dropping the ball,1923
fighting a losing battle,1915
She is ironing her clothes.,1909
have the upper hand,1892
face the music,1872
bigger fish to fry,1868
back to the grind,1867
left out in the cold,1866
cutting corners,1846
bird's eye view,1828
by the book,1819
airing dirty laundry,1793
darkest before dawn,1780
as plain as day,1762
back on your feet,1748
dropping like flies,1738
like riding a bike,1734
She is painting a picture on the canvas.,1730
catch lightning in a bottle,1719
as busy as a bee,1707
They are going for a run in the morning.,1704
below the belt,1699
a clean slate,1663
cast in stone,1633
behind the eight ball,1633
clear the air,1630
a far cry,1629
as light as a feather,1616
smooth sailing,1615
They traveled to the mountains for vacation.,1613
backseat driver,1591
don't count your chickens before they hatch,1580
back to square one,1579
They are jogging through the park.,1572
"like father, like son",1560
They enjoyed a family dinner together.,1532
keep your chin up,1530
fall through the cracks,1499
She is watching the stars at night.,1487
break a leg,1487
They are sitting around the campfire.,1486
They are visiting their friends in the city.,1459
He is studying for his exams.,1451
dare to dream,1442
carry a torch,1430
let sleeping dogs lie,1411
She is shopping for groceries.,1411
She walked to the store.,1401
She went to the gym for a workout.,1373
as clear as day,1370
as smooth as silk,1346
bite your tongue,1328
add insult to injury,1315
have a heart of stone,1304
chained to the desk,1300
butter wouldn't melt,1287
The dog ran across the yard.,1274
He is working out in the gym.,1264
blood runs cold,1255
She is dancing to the music.,1254
full plate,1250
He is watering the plants.,1242
He is taking a walk around the block.,1238
She brushed her teeth before bed.,1234
They are eating lunch together.,1229
chew the fat,1223
They went to a concert last night.,1218
dance with the devil,1216
They are walking through the city streets.,1212
a leopard can't change its spots,1199
They are taking a family vacation.,1196
They are having a family gathering at home.,1188
He is cleaning the garage.,1184
cat's meow,1179
bite the bullet,1178
They are playing chess at the table.,1166
She enjoys walking in the park.,1162
He is fixing the car.,1157
bring home the bacon,1138
break the ice,1133
bridge the gap,1133
They are chatting in the living room.,1133
ants in your pants,1129
black mark,1128
chip off the old block,1121
cat nap,1121
They are taking a walk along the beach.,1120
eat your heart out,1117
can't cut the mustard,1117
curiosity killed the cat,1108
He worked on his computer for hours.,1105
burn a hole in your pocket,1103
They are playing volleyball at the beach.,1098
pull the plug,1096
blind leading the blind,1096
big shoes to fill,1095
man of the hour,1095
They went to a theme park for the day.,1095
He repaired the broken chair.,1093
couch potato,1091
coming up roses,1089
He is writing a story for school.,1088
frog in your throat,1088
apple of discord,1087
at your wit’s end,1085
He is waiting for the bus.,1082
He went to the gym for a workout session.,1077
at the helm,1070
blue collar,1068
eyes in the back of your head,1067
big picture,1066
blue in the face,1065
They went on a road trip last summer.,1049
feeding the fire,1043
back to basics,1036
bare bones,1028
"if the shoe fits, wear it",1028
close shave,1021
come out of your shell,1021
He is looking out the window at the rain.,1021
down in the dumps,1014
He is playing soccer with his friends.,1006
I like to read books in the evening.,1001
all's fair in love and war,1000
They watched the sunrise at the beach.,999
dead in the water,996
all in your head,995
hit the sack,981
crash and burn,975
They are visiting the zoo.,973
I am learning how to cook.,973
She is visiting her grandmother in the hospital.,973
make waves,965
climbing the walls,965
I took a photo of the beautiful sunset.,960
like a fish to water,955
He is taking a nap on the couch.,948
make a mountain out of a molehill,946
close call,926
He is drinking tea in the morning.,925
burst your bubble,920
adding insult to injury,917
eye of the storm,914
She is knitting a scarf for winter.,908
foot in the door,906
He is going for a bike ride.,901
They went to the zoo with the kids.,897
live to fight another day,894
She is wearing a red dress.,894
finding a needle in a haystack,886
cut from the same cloth,882
have a lot on your plate,882
cost an arm and a leg,875
I went to the store to buy some bread.,859
flying high,857
a drop in the ocean,853
bitten by the bug,843
feeling under the weather,833
broken dreams,832
He is checking his email.,830
They are taking pictures in front of the monument.,829
a storm in a teacup,828
She is taking a picture of the flowers in the garden.,822
She is organizing her closet.,813
adding fuel to the fire,808
come rain or shine,800
She is putting on her shoes.,793
burning bridges,789
They are doing laundry in the basement.,786
call it a night,780
She is making a smoothie for breakfast.,780
down to earth,767
big time,766
They are playing board games in the living room.,766
a taste of their own medicine,754
She is doing her hair in front of the mirror.,747
crying over spilled milk,745
She is making a salad for lunch.,744
They are having a barbecue in the garden.,737
give someone the cold shoulder,733
He played video games all evening.,731
let the cat out of the bag,730
They are playing basketball in the yard.,727
bring to the table,701
a place in the sun,699
as high as a kite,696
She is playing with her cat.,694
banging your head against a brick wall,691
He did some gardening in the afternoon.,678
They went to the library to borrow books.,676
carved in stone,671
big fish in a small pond,670
She took a nap after lunch.,668
She went to the dentist for a check-up.,668
don't bite the hand that feeds you,661
heart of stone,660
She worked on her project all afternoon.,658
armed to the teeth,653
in the same boat,651
He took a walk in the park.,644
busy as a bee,643
dying to know,639
