ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,A palavra se torna uma rocha.,The word becomes a rock.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
silence becomes a thunder,O silêncio torna-se um trovão.,Silence becomes thunder.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the doctor walks to the school.,O médico vai a pé para a escola.,The doctor walks to school.,Não,,,,,,,Não,Não,Não
strength becomes a diamond,A força se transforma em diamante.,Force transforms into diamond.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time has a mountain,O tempo tem uma montanha.,Time has a mountain.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
mind becomes a gold,A mente se torna ouro.,The mind becomes gold.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
word has a rock,A palavra tem uma pedra.,The word has a stone.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
dream has a star,O sonho tem uma estrela.,The dream has a star.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion is a light,A paixão é uma luz.,Passion is a light.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage has a sun,A coragem tem um sol.,Courage has a sun.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion has a light,"A paixão tem uma luz.
",Passion has a light.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
the driver visits the cafe.,O motorista visita o café.,The driver visits the cafe.,Não,,,,,,,Não,Não,Não
dream is a star,Um sonho é uma estrela.,A dream is a star.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit is a storm,O espírito é uma tempestade.,The spirit is a storm.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
word is a rock,A palavra é uma pedra.,The word is a stone.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile becomes a wind,O sorriso se torna um vento.,The smile becomes a wind.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
mind has a gold,A mente tem ouro.,The mind has gold.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
hope becomes a ice,A esperança se transforma em gelo.,Hope turns to ice.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
