indice,dataset,tipo_label,ingles_original,melhor_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,outra_trad,parascore
4,manual_data,literais,He likes to watch movies in his free time.,Ele se perde nas telonas quando o tempo é dele.,gemma3,prompt4,gpt,prompt2,Ele gosta de assistir a filmes no seu tempo livre.,0.9019
4,manual_data,literais,He likes to watch movies in his free time.,Ele se perde nas telonas quando o tempo é dele.,gemma3,prompt4,gpt,prompt4,Ele gosta de assistir a filmes em seu tempo livre.,0.9001
4,manual_data,literais,He likes to watch movies in his free time.,Ele se perde nas telonas quando o tempo é dele.,gemma3,prompt4,gemini,prompt2,Ele gosta de assistir filmes em seu tempo livre.,0.8955
4,manual_data,literais,He likes to watch movies in his free time.,Ele se perde nas telonas quando o tempo é dele.,gemma3,prompt4,gemini,prompt4,Ele se delicia com filmes nos tempos livres.,0.9091
4,manual_data,literais,He likes to watch movies in his free time.,Ele se perde nas telonas quando o tempo é dele.,gemma3,prompt4,gemma3,prompt2,Ele gosta de assistir filmes no tempo livre.,0.9075
4,manual_data,literais,He likes to watch movies in his free time.,Ele se perde nas telonas quando o tempo é dele.,gemma3,prompt4,gemmaX,sem_prompt,Ele gosta de assistir filmes em seu tempo livre.,0.8955
5,manual_data,literais,She enjoys painting in her free time.,Ela se entrega à pintura nos intervalos da vida.,gemini,prompt4,gpt,prompt2,Ela gosta de pintar em seu tempo livre.,0.8913
5,manual_data,literais,She enjoys painting in her free time.,Ela se entrega à pintura nos intervalos da vida.,gemini,prompt4,gpt,prompt4,Ela se diverte pintando em seu tempo livre.,0.9154
5,manual_data,literais,She enjoys painting in her free time.,Ela se entrega à pintura nos intervalos da vida.,gemini,prompt4,gemini,prompt2,Ela gosta de pintar no tempo livre.,0.9106
5,manual_data,literais,She enjoys painting in her free time.,Ela se entrega à pintura nos intervalos da vida.,gemini,prompt4,gemma3,prompt2,Ela gosta de pintar no tempo livre.,0.9106
5,manual_data,literais,She enjoys painting in her free time.,Ela se entrega à pintura nos intervalos da vida.,gemini,prompt4,gemma3,prompt4,Ela se entrega à paleta quando o tempo lhe permite.,0.9142
5,manual_data,literais,She enjoys painting in her free time.,Ela se entrega à pintura nos intervalos da vida.,gemini,prompt4,gemmaX,sem_prompt,Ela gosta de pintar em seu tempo livre.,0.8913
23,manual_data,literais,He went to a birthday party last night.,Ele foi à festa de aniversário ontem à noite.,gemini,prompt4,gpt,prompt2,Ele foi a uma festa de aniversário ontem à noite.,0.9459
23,manual_data,literais,He went to a birthday party last night.,Ele foi à festa de aniversário ontem à noite.,gemini,prompt4,gpt,prompt4,Ele foi a uma festa de aniversário ontem à noite.,0.9459
23,manual_data,literais,He went to a birthday party last night.,Ele foi à festa de aniversário ontem à noite.,gemini,prompt4,gemini,prompt2,Ele foi a uma festa de aniversário ontem à noite.,0.9459
23,manual_data,literais,He went to a birthday party last night.,Ele foi à festa de aniversário ontem à noite.,gemini,prompt4,gemma3,prompt2,Ele foi a uma festa de aniversário ontem à noite.,0.9459
23,manual_data,literais,He went to a birthday party last night.,Ele foi à festa de aniversário ontem à noite.,gemini,prompt4,gemma3,prompt4,Ele se lançou à noite de celebração ontem.,0.9405
23,manual_data,literais,He went to a birthday party last night.,Ele foi à festa de aniversário ontem à noite.,gemini,prompt4,gemmaX,sem_prompt,Ele foi a uma festa de aniversário ontem à noite.,0.9459
39,manual_data,literais,They went to the theater to watch a play.,Foram ao palco assistir à encenação.,gemma3,prompt4,gpt,prompt2,Eles foram ao teatro para assistir a uma peça.,0.9423
39,manual_data,literais,They went to the theater to watch a play.,Foram ao palco assistir à encenação.,gemma3,prompt4,gpt,prompt4,Eles foram ao teatro para assistir a uma peça.,0.9423
