ingles_original,portugues_traduzido,ingles_traduzido,Contém metáfora?,Fluência,Inteligibilidade,Compreensão,Equivalência Total,Equivalência Parcial,Não-equivalência,Tradução incorreta,Erro na fonte,Não tradução
word becomes a rock,A palavra torna-se uma rocha,The word becomes a rock,Sim,5,4,4,Não,Sim,Não,Não,Não,Não
silence becomes a thunder,o silêncio torna-se um trovão,silence becomes a thunder,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the doctor walks to the school.,O médico vai até à escola.,The doctor goes to school.,Não,,,,,,,Não,Não,Não
strength becomes a diamond,a força torna-se um diamante,the force becomes a diamond,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time has a mountain,tempo tem uma montanha,Time has a mountain,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
mind becomes a gold,mente torna-se um ouro,mind becomes a gold,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
word has a rock,A palavra tem uma pedra,The word has a stone,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
dream has a star,sonho tem uma estrela,Dream has a star,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion is a light,paixão é uma luz,Passion is a light,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
courage has a sun,coragem tem um sol,courage has a sun,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
passion has a light,paixão tem uma luz,Passion has a light,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
the driver visits the cafe.,O motorista visita o café.,The driver visits the coffee.,Não,,,,,,,Não,Não,Não
dream is a star,sonho é uma estrela,Dream is a star,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit is a storm,espírito é uma tempestade,spirit is a storm,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
word is a rock,A palavra é uma pedra,The word is a stone,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile becomes a wind,sorrir torna-se um vento,♪ Smile becomes a wind ♪,Sim,2,2,2,Não,Não,Sim,Sim,Não,Não
mind has a gold,mente tem um ouro,mind has a gold,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
hope becomes a ice,a esperança torna-se um gelo,Hope becomes an ice,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
love becomes a moon,O amor torna-se uma lua,Love becomes a moon,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the artist works in the library.,o artista trabalha na biblioteca.,The artist works in the library.,Não,,,,,,,Não,Não,Não
the chef writes the restaurant.,O chef escreve o restaurante.,The chef writes the restaurant.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
memory becomes a ocean,memória torna-se um oceano,memory becomes an ocean,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
the child drinks the market.,A criança bebe o mercado.,The child drinks the market.,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
smile is a wind,sorrir é um vento,♪ Smile is a wind ♪,Sim,2,2,2,Não,Não,Sim,Sim,Não,Não
courage is a sun,coragem é um sol,courage is a sun,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart has a tree,coração tem uma árvore,heart has a tree,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
love has a moon,O amor tem uma lua,Love has a moon,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye is a flame,olho é uma chama,Eye is a flame,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
time is a mountain,o tempo é uma montanha,Time is a mountain,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
courage becomes a sun,coragem torna-se um sol,courage becomes a sun,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
dream becomes a star,sonho torna-se uma estrela,Dream becomes a star,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
he walks to the park.,Ele anda até ao parque.,He's walking to the park.,Não,,,,,,,Não,Não,Não
mind is a gold,mente é um ouro,mind is a gold,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
eye becomes a flame,olho torna-se uma chama,Eye becomes a flame,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
heart is a tree,coração é uma árvore,heart is a tree,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
soul becomes a shadow,alma torna-se uma sombra,soul becomes a shadow,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
time becomes a mountain,o tempo torna-se uma montanha,Time becomes a mountain,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
she writes the office.,Ela escreve o escritório.,She writes the office.,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
wisdom becomes a garden,sabedoria torna-se um jardim,wisdom becomes a garden,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
soul is a shadow,alma é uma sombra,soul is a shadow,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
wisdom has a garden,sabedoria tem um jardim,wisdom has a garden,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
hope is a ice,esperança é um gelo,Hope is an ice,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
spirit becomes a storm,espírito torna-se uma tempestade,spirit becomes a storm,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
hope has a ice,esperança tem um gelo,Hope has an ice,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
eye has a flame,olho tem uma chama,Eye has a flame,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
silence is a thunder,o silêncio é um trovão,Silence is a thunder,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
passion becomes a light,paixão torna-se uma luz,passion becomes a light,Sim,4,4,5,Sim,Não,Não,Não,Não,Não
life is a river,a vida é um rio,life is a river,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
silence has a thunder,o silêncio tem um trovão,The silence has a thunder,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
life has a river,a vida tem um rio,life has a river,Sim,2,2,2,Não,Não,Sim,Não,Não,Não
memory is a ocean,memória é um oceano,memory is an ocean,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
voice becomes a iron,a voz torna-se um ferro,the voice becomes an iron,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
smile has a wind,sorrir tem um vento,♪ Smile there's a wind ♪,Sim,1,1,1,Não,Não,Sim,Sim,Não,Não
heart becomes a tree,coração torna-se uma árvore,heart becomes a tree,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
memory has a ocean,memória tem um oceano,memory has an ocean,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
life becomes a river,a vida torna-se um rio,life becomes a river,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
my friend drinks the store.,O meu amigo bebe a loja.,My friend drinks the store.,Sim,1,1,1,Não,Não,Sim,Não,Não,Não
soul has a shadow,alma tem uma sombra,soul has a shadow,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
the teacher visits the museum.,o professor visita o museu.,The teacher visits the museum.,Não,,,,,,,Não,Não,Não
the student works in the hospital.,o aluno trabalha no hospital.,The student works at the hospital.,Não,,,,,,,Não,Não,Não
strength is a diamond,a força é um diamante,The force is a diamond.,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice has a iron,voz tem um ferro,voice has an iron,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear becomes a fire,O medo torna-se um fogo,Fear becomes a fire,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
spirit has a storm,espírito tem uma tempestade,spirit has a storm,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
love is a moon,O amor é uma lua,Love is a moon,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
voice is a iron,a voz é um ferro,The voice is an iron,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
fear has a fire,O medo tem um fogo,Fear has a fire,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
wisdom is a garden,sabedoria é um jardim,wisdom is a garden,Sim,4,5,5,Sim,Não,Não,Não,Não,Não
strength has a diamond,a força tem um diamante,The force has a diamond.,Sim,4,4,4,Não,Sim,Não,Não,Não,Não
fear is a fire,O medo é um fogo,Fear is a fire,Sim,5,5,5,Sim,Não,Não,Não,Não,Não
