ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,Estalar o chicote.,Crack the whip.,1,46,148,305,486,629,229,1844
blow off steam,descarregar a tensão,release tension,49,46,273,557,610,430,286,2251
let the cat out of the bag,Revelar o segredo.,Reveal the secret.,47,46,357,641,636,596,319,2642
They are riding bicycles in the neighborhood.,Eles estão andando de bicicleta no bairro.,They are biking in the neighborhood.,19,39,119,459,439,353,58,1486
He likes to watch movies in his free time.,Ele gosta de assistir a filmes em seu tempo livre.,He likes to watch movies in his free time.,1,1,3,153,75,177,1,411
She enjoys painting in her free time.,Ela gosta de pintar em seu tempo livre.,She likes to paint in her free time.,25,35,63,379,371,66,1,940
bite off more than you can chew,morder mais do que você pode mastigar,Biting off more than you can chew.,13,13,117,370,472,640,324,1949
my hands are tied,Minhas mãos estão atadas.,My hands are tied.,1,46,137,13,324,3,1,525
dime a dozen,comum,common,49,46,377,645,623,370,306,2416
They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,They are having a picnic in the park.,1,1,3,121,105,99,1,331
leave no stone unturned,não deixar pedra sobre pedra,leave no stone unturned,1,1,3,9,207,573,38,832
hold the fort,manter a posição,maintain the position,41,46,244,541,536,531,177,2116
He is putting the groceries away.,Ele está guardando as compras.,He is putting away the groceries.,14,46,36,339,341,626,130,1532
fit as a fiddle,em forma como um violino,"""in the shape of a violin""",47,46,303,605,586,218,168,1973
an iron fist,uma mão de ferro,an iron hand,25,46,97,468,505,209,236,1586
beggars can’t be choosers,Pobres não podem escolher.,The poor cannot choose.,49,46,292,498,562,28,73,1548
card up your sleeve,trunfo na manga,trump card,41,46,300,623,654,649,354,2667
beating around the bush,enchendo linguiça,filling sausages,49,46,348,679,692,655,359,2828
She is giving a speech at the conference.,Ela está fazendo um discurso na conferência.,She is giving a speech at the conference.,1,1,2,285,214,337,1,841
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,1,1,3,152,221,617,19,1014
ace up your sleeve,ás na manga,ace up your sleeve,1,1,3,317,328,674,253,1577
an open book,um livro aberto,an open book,1,46,3,168,12,226,1,457
She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,She is giving a presentation at work.,1,1,3,143,215,144,1,508
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,3,176,137,373,1,692
color outside the lines,colorir fora das linhas,color outside the lines,1,1,5,205,134,562,24,932
easy as pie,fácil como pão quente,easy as pie,1,46,3,185,8,548,29,820
blind as a bat,cego como um morcego,blind as a bat,1,1,3,156,248,631,159,1199
change of heart,mudança de coração,change of heart,1,46,3,232,188,334,1,805
food for thought,comida para pensar,food for thought,1,46,3,261,66,251,32,660
black as night,preto como a noite,black as night,1,46,4,199,3,480,28,761
a chip on your shoulder,um complexo de inferioridade,an inferiority complex,49,46,374,597,672,91,290,2119
close to my heart,próximo ao meu coração,next to my heart,20,46,103,448,521,509,49,1696
apple of my eye,a menina dos meus olhos,the apple of my eye,8,15,81,83,374,643,140,1344
get the show on the road,Vamos colocar o show na estrada.,Let's take the show on the road.,22,28,215,446,456,400,160,1727
easy as pie,fácil como um pedaço de bolo,Easy as pie.,1,46,135,280,299,606,1,1368
back to square one,de volta à estaca zero,back to square one,1,1,3,248,35,269,1,558
devil's advocate,advogado do diabo,devil's advocate,1,46,3,295,113,328,1,787
She went to the library to study.,Ela foi à biblioteca estudar.,She went to the library to study.,1,1,2,234,267,151,1,657
fit as a fiddle,em plena forma,in great shape,49,46,352,607,618,614,309,2595
They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,They went to the theater to watch a play.,1,1,2,327,192,137,1,661
falling through the cracks,caindo pelas fendas,falling through the cracks,1,1,3,241,184,608,104,1142
She made breakfast for the family.,Ela fez café da manhã para a família.,She made breakfast for the family.,1,1,2,181,237,102,1,525
She is talking on the phone.,Ela está falando ao telefone.,She is talking on the phone.,1,1,2,41,145,65,1,256
all bark and no bite,só ameaça e nenhum ataque,"""only threat and no attack""",37,46,242,562,573,349,275,2084
apple of discord,maçã da discórdia,apple of discord,1,46,3,255,46,613,205,1169
spill the beans,revelar o segredo,reveal the secret,41,46,284,545,596,192,152,1856
burn your bridges,queimar suas pontes,burn your bridges,1,46,3,325,166,546,49,1136
I need to buy groceries this afternoon.,Eu preciso comprar mantimentos esta tarde.,I need to buy groceries this afternoon.,1,1,4,48,76,75,1,206
as bold as brass,tão ousado quanto latão,as bold as brass,1,1,4,21,160,683,260,1130
close to the vest,perto do colete,near the vest,30,46,95,397,455,651,74,1748
blood is thicker than water,Sangue fala mais alto.,Blood speaks louder.,43,46,299,582,626,210,194,2000
back to the drawing board,De volta à estaca zero.,Back to square one.,34,46,262,499,558,70,151,1620
She went to the post office to send a package.,Ela foi ao correio para enviar um pacote.,She went to the post office to send a package.,1,1,3,250,287,56,1,599
as right as rain,tudo certo,all right,41,46,379,599,577,459,337,2438
He is planning his day ahead.,Ele está planejando seu dia.,He is planning his day.,6,14,50,485,378,457,43,1433
She took a shower in the morning.,Ela tomou banho de manhã.,She took a shower in the morning.,1,1,3,175,121,46,1,348
best of both worlds,o melhor dos dois mundos,the best of both worlds,8,15,87,116,236,377,1,840
antsy as a cat on a hot tin roof,nervoso como um gato em um telhado de zinco quente,nervous as a cat on a hot tin roof,9,2,79,419,420,487,241,1657
He is building a model airplane.,Ele está construindo um modelo de avião.,He is building a model airplane.,1,1,3,57,169,120,1,352
devil's advocate,advogado do diabo,devil's advocate,1,46,3,295,113,327,1,786
burst your bubble,estourar sua bolha,burst your bubble,1,46,2,299,18,517,93,976
all eyes on you,todos os olhares estão em você,All eyes are on you.,8,46,171,256,390,301,1,1173
a skeleton in the closet,um esqueleto no armário,a skeleton in the closet,1,1,3,117,268,98,1,489
He is attending a business meeting.,Ele está participando de uma reunião de negócios.,He is attending a business meeting.,1,1,2,56,140,412,1,613
cool as a cucumber,tranquilo como um pepino,cool as a cucumber,1,1,3,29,158,241,23,456
