indice,ingles_original,portugues_traduzido,label,modelo,prompt,score_combinado,xcomet_xl,comet22,kiwi_xl,quartil
1,Texas: Muslim who joined ISIS first became religious and started spending more time at the mosque,Texas: Muçulmano que se juntou ao ISIS primeiro se tornou religioso e começou a passar mais tempo na mesquita,0,gemmaX,sem_prompt,0.9936,1.0,0.9709576368331909,1.0097700357437134,Q1
6,"Recreational Marijuana Is Reversing the Opioid Crisis in Colorado, Study Suggests","A maconha recreativa está revertendo a crise dos opioides no Colorado, sugere estudo",0,gemmaX,sem_prompt,0.9694,1.0,0.9105879664421082,0.9976881146430969,Q2
9,Not Good: Airforce is preparing B-52's to return to 24 hr alert.,Não é bom: A Força Aérea está preparando os B-52 para retornar ao estado de alerta de 24 horas.,0,gemma3,prompt2,0.9646,0.9985129833221436,0.9173724055290222,0.9779231548309326,Q2
46,What factors are affecting the strength of competition in Global Dermatology Drugs Market? What will be the size of the Dermatology Drugs Market in 2024?,Quais fatores estão afetando a força da concorrência no Mercado Global de Medicamentos para Dermatologia? Qual será o tamanho do Mercado de Medicamentos para Dermatologia em 2024?,0,gemma3,prompt2,0.9709,1.0,0.9428398609161377,0.9699342250823975,Q2
56,Trump administration prepares to rob women of free birth control provided by health insurance,Administração Trump prepara-se para privar as mulheres do controlo de natalidade gratuito fornecido pelo seguro de saúde,0,gemmaX,sem_prompt,0.9907,1.0,0.9589372277259827,1.0131568908691406,Q1
58,VA-Sen: Tim Kaine (D) Refuses To Let Congress Help Trump Destroy The Iran Nuclear Deal,VA-Sen: Tim Kaine (D) se Recusa a Deixar o Congresso Ajudar Trump a Destruir o Acordo Nuclear Iraniano,0,gemini,prompt2,0.9737,0.9912000298500061,0.9478728175163269,0.9820137619972229,Q2
62,Nevada uprising leader Ryan Bundy vowed ‘whatever it takes’ to stop government,"Ryan Bundy, líder da revolta de Nevada, prometeu ""fazer o que for preciso"" para parar o governo",0,gemmaX,sem_prompt,0.9683,0.9998935461044312,0.9268458485603333,0.9781786203384399,Q2
64,Fox News allegedly published a fake article in favor of Trump,A Fox News supostamente publicou um artigo falso em favor de Trump.,0,gemini,prompt2,1.0129,1.0,0.9603294730186462,1.078232765197754,Q1
67,Photogallery - Friend of Joy-Anna Duggar reveals shocking secret about her pregnancy,Fotogaleria - Uma amiga de Joy-Anna Duggar revela um segredo chocante sobre a sua gravidez,0,gemmaX,sem_prompt,0.9653,1.0,0.9173328280448914,0.9784414768218994,Q2
71,What Christian Artifacts of the Middle East Can Show Us About Tolerance,O que os artefatos cristãos do Oriente Médio podem nos mostrar sobre tolerância,0,gemmaX,sem_prompt,0.9871,1.0,0.9055764079093933,1.0557650327682495,Q1
76,Pokemon Go' APK update reveals major boost to 'Pokemon Go Plus device,"A atualização do APK do Pokemon Go revela um grande impulso para o dispositivo ""Pokemon Go Plus""",0,gemmaX,sem_prompt,0.9765,1.0,0.939501941204071,0.990075409412384,Q2
78,or Why Tax Cuts for Wealthy Corporations Won't Create Jobs,ou Por que os cortes de impostos para corporações ricas não criam empregos,0,gemmaX,sem_prompt,0.9824,1.0,0.9027759432792664,1.0443440675735474,Q1
82,Stunning Interactive 3-D Graphic Tells 2016 Election Story in A Single Image…,Gráfica 3-D interativa impressionante conta a história da eleição de 2016 em uma única imagem…,0,gpt,prompt2,0.9852,1.0,0.8755863904953003,1.0799921751022339,Q1
193,California man who scaled White House fence in March was sentenced Monday,Homem da Califórnia que escalou a cerca da Casa Branca em março foi condenado na segunda-feira,0,gemmaX,sem_prompt,0.9746,1.0,0.9271314740180969,0.9966890811920166,Q2
239,"ADHD drug use has skyrocketed 345% among young women in 12 years according to the CDC, increasing birth defects","O uso de medicamentos para o TDAH disparou 345% entre as jovens em 12 anos, de acordo com o CDC, aumentando os defeitos de nascimento",0,gemmaX,sem_prompt,0.9733,0.9801173210144043,0.9197360277175903,1.0199735164642334,Q2
240,"Alan Sagner, Who Revitalized the Port Authority, Dies at 97","Alan Sagner, que revitalizou a Autoridade Portuária, morre aos 97 anos",0,gemmaX,sem_prompt,0.978,1.0,0.9528995156288147,0.9810091257095337,Q2
241,Josh Mandel ends campaign against Democratic Sen. Sherrod Brown a month before Ohio filing deadline,Josh Mandel encerra campanha contra o senador democrata Sherrod Brown um mês antes do prazo final de inscrição em Ohio.,0,gemini,prompt2,0.9746,1.0,0.9346421957015991,0.9892510175704956,Q2
244,Senate Tax Reform Plan Fails to Protect American Family Businesses,Plano de Reforma Tributária do Senado Falha em Proteger Empresas Familiares Americanas.,0,gemini,prompt2,0.9928,0.9998365640640259,0.9694676399230957,1.009192705154419,Q1
248,Bernie Sanders says Democrats are ready to help Republicans fix Obamacare,Bernie Sanders diz que os democratas estão prontos para ajudar os republicanos a consertar o Obamacare.,0,gemini,prompt2,1.0064,1.0,0.971054196357727,1.0480949878692627,Q1
249,Trump on Report He Ordered Mueller's Firing: 'Fake News',Trump sobre a reportagem de que ordenou a demissão de Mueller: 'Notícia falsa'.,0,gpt,prompt2,0.9815,1.0,0.9332138895988464,1.0112199783325195,Q1
252,‘Wild West of sexual harassment’: Eric Bolling’s accuser tells Joy Reid about the despicable culture at Fox News,“O Velho Oeste do assédio sexual”: A acusadora de Eric Bolling conta a Joy Reid sobre a cultura desprezível na Fox News.,0,gemma3,prompt2,0.9677,0.9839032888412476,0.9131616950035095,1.006131649017334,Q2
253,"More than a week later, we still don't know who joined the conspiracy at Trump Tower","Mais de uma semana depois, ainda não sabemos quem se juntou à conspiração na Trump Tower",0,gemmaX,sem_prompt,0.985,1.0,0.9701661467552185,0.9849745035171509,Q1
254,Cernovich Promises to Expose Top Democrat Accused of Sexual Harassment Tonight,Cernovich promete expor hoje um democrata de topo acusado de assédio sexual,0,gemmaX,sem_prompt,0.9775,1.0,0.9019846320152283,1.030475378036499,Q2
258,Trump is reasserting his role as the ultimate Zionist pawn,Trump está reafirmando seu papel como o último peão sionista.,0,gemini,prompt2,0.9831,1.0,0.9504388570785522,0.9989283084869385,Q1
270,Hungary confronts Soros in battle for future of the West,A Hungria confronta Soros na batalha pelo futuro do Ocidente.,0,gpt,prompt2,0.97,1.0,0.9368661046028137,0.9730234146118164,Q2
