frase,ranking_total,quartil
don't judge a book by its cover,16248,Q1_melhor
don't bite the hand that feeds you,17022,Q1_melhor
curiosity killed the cat,17040,Q1_melhor
big fish in a small pond,17749,Q1_melhor
an open book,19061,Q1_melhor
my hands are tied,20466,Q1_melhor
She visited the art gallery on Sunday.,22202,Q1_melhor
break the ice,22684,Q1_melhor
They are planning a trip to Europe.,23423,Q1_melhor
She bought a new phone last week.,23725,Q1_melhor
close to my heart,24647,Q1_melhor
She is writing a letter to her friend.,24727,Q1_melhor
She is knitting a scarf for winter.,25653,Q1_melhor
She is preparing dinner for the guests.,26467,Q1_melhor
"hope for the best, prepare for the worst",26575,Q1_melhor
back to square one,26652,Q1_melhor
She is visiting her grandmother in the hospital.,27343,Q1_melhor
They are having a barbecue in the garden.,27534,Q1_melhor
She plays the piano beautifully.,27560,Q1_melhor
They cleaned the house on Saturday.,27822,Q1_melhor
a voice in the wilderness,28556,Q1_melhor
break the mold,28556,Q1_melhor
She is watching the sunset from the balcony.,28584,Q1_melhor
ball is in your court,29031,Q1_melhor
She played cards with her friends.,29407,Q1_melhor
She went to the dentist for a check-up.,30834,Q2
He washed his car yesterday.,31007,Q2
live to fight another day,31090,Q2
They are sitting around the campfire.,31327,Q2
They are visiting their friends in the city.,31445,Q2
like a fish out of water,31672,Q2
She is dancing to the music.,32151,Q2
They have three children.,32359,Q2
back to basics,33238,Q2
She is watching a movie at the theater.,33326,Q2
at a snail's pace,33333,Q2
They are going to the cinema tonight.,33348,Q2
She took a nap after lunch.,33630,Q2
She is baking cookies in the kitchen.,33683,Q2
He is fixing the car.,33997,Q2
a leopard can't change its spots,35780,Q2
They are doing laundry in the basement.,35954,Q2
He is planning his day ahead.,36010,Q2
He is cleaning the windows.,36227,Q2
caught in a web,36234,Q2
a tower of strength,36322,Q2
The kids played in the playground.,37493,Q2
blessing in disguise,37880,Q2
born with a silver spoon,37956,Q2
come out of your shell,38707,Q2
climbing the ladder,40086,Q3
dark horse,40740,Q3
as stubborn as a mule,40829,Q3
He is cutting vegetables for dinner.,41186,Q3
feeding the fire,41559,Q3
blood runs cold,41698,Q3
bridge the gap,42922,Q3
They are driving to the countryside.,43122,Q3
dying to know,44844,Q3
better safe than sorry,44906,Q3
foot in the door,44946,Q3
bring to the table,45002,Q3
happy as a clam,45281,Q3
carry the torch,45338,Q3
catch lightning in a bottle,45534,Q3
better half,48357,Q3
dropping like flies,48712,Q3
clean bill of health,48761,Q3
have the upper hand,49075,Q3
dead in the water,49084,Q3
paint the town red,49137,Q3
at death's door,51075,Q3
chasing your tail,51743,Q3
break a leg,51901,Q3
chase your tail,52510,Q3
burnt out,54034,Q4_pior
cat got your tongue,54672,Q4_pior
face the music,54818,Q4_pior
get out of hand,55348,Q4_pior
call a spade a spade,55525,Q4_pior
call it a night,56023,Q4_pior
in hot water,57286,Q4_pior
broad strokes,57682,Q4_pior
spill the beans,58050,Q4_pior
early bird catches the worm,58264,Q4_pior
butter wouldn’t melt in their mouth,59887,Q4_pior
go down in flames,59901,Q4_pior
call the shots,60752,Q4_pior
blowing off steam,61712,Q4_pior
by a long shot,62127,Q4_pior
ants in your pants,62194,Q4_pior
as good as done,63968,Q4_pior
hold your horses,64156,Q4_pior
chip on your shoulder,64770,Q4_pior
blown away,65048,Q4_pior
by the skin of your teeth,66367,Q4_pior
beat around the bush,66391,Q4_pior
flying by the seat of your pants,66473,Q4_pior
cut the mustard,67368,Q4_pior
cut the mustardcross that bridge when you come to it,67905,Q4_pior
