indice,dataset,ingles_original,melhor_trad,melhor_modelo,melhor_prompt,outro_modelo,outro_prompt,outra_trad,parascore
606,manual_data,Water boils at 100°C.,"A água ferve a 100°C.
",gemini,prompt2,gpt,prompt2,A água ferve a 100°C.,0.9588
606,manual_data,Water boils at 100°C.,"A água ferve a 100°C.
",gemini,prompt2,gpt,prompt4,A água ferve a 100°C.,0.9588
606,manual_data,Water boils at 100°C.,"A água ferve a 100°C.
",gemini,prompt2,gemini,prompt4,A água ferve a 100°C.,0.9588
606,manual_data,Water boils at 100°C.,"A água ferve a 100°C.
",gemini,prompt2,gemma3,prompt2,A água ferve a 100°C.,0.9588
606,manual_data,Water boils at 100°C.,"A água ferve a 100°C.
",gemini,prompt2,gemma3,prompt4,A água ferve aos cem graus.,0.9411
606,manual_data,Water boils at 100°C.,"A água ferve a 100°C.
",gemini,prompt2,gemmaX,sem_prompt,A água ferve a 100°C.,0.9588
147,manual_data,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,gpt,prompt2,gpt,prompt4,Ela comprou um telefone novo na semana passada.,0.95
147,manual_data,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,gpt,prompt2,gemini,prompt2,Ela comprou um telefone novo na semana passada.,0.95
147,manual_data,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,gpt,prompt2,gemini,prompt4,Ela estreou um celular novo semana passada.,0.9448
147,manual_data,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,gpt,prompt2,gemma3,prompt2,Ela comprou um celular novo na semana passada.,0.9673
147,manual_data,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,gpt,prompt2,gemma3,prompt4,Ela trocou de aparelho na semana passada.,0.9666
147,manual_data,She bought a new phone last week.,Ela comprou um telefone novo na semana passada.,gpt,prompt2,gemmaX,sem_prompt,Ela comprou um novo telefone na semana passada.,0.9874
589,manual_data,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,gpt,prompt2,gpt,prompt4,Ele enviou uma mensagem ao seu colega.,0.9719
589,manual_data,He sent an email to his colleague.,Ele enviou um e-mail para seu colega.,gpt,prompt2,gemini,prompt2,Ele enviou um email para o colega dele.,0.9663
