ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,Acordar a ferinha,Wake the sleepyhead.,1,67,91,478,692,576,471,455,2830
blow off steam,descansar a mente,"""descansar a mente"" em inglês é ""rest the mind"".",1,94,91,586,592,650,343,355,2711
let the cat out of the bag,deitar o gato fora do saco,"""Put the cat out of the bag.""",1,8,35,158,165,219,238,123,946
They are riding bicycles in the neighborhood.,"They are riding bicycles in the neighborhood.
Eles estão pedindo bicicletas no bairro.",'Eles estão pedindo bicicletas no bairro.',0,94,91,640,586,503,641,464,3019
He likes to watch movies in his free time.,Ele gosta de assistir a filmes em seu tempo livre.,He likes to kick back and watch movies during his free time.,0,19,72,71,258,160,142,5,727
She enjoys painting in her free time.,Ela gosta de pintar na sua hora livre.,She enjoys painting in her free time.,0,1,1,3,43,13,17,1,79
bite off more than you can chew,morder mais do que pode mastigar,bite off more than one can chew,1,8,38,101,134,214,503,369,1367
my hands are tied,Meus pés estão amarrados,My feet are tied.,1,20,91,179,239,195,63,180,967
dime a dozen,duas dúzias,two dozen,1,56,91,353,406,451,357,235,1949
They are having a picnic in the park.,Estão fazendo uma piquenique no parque.,Are having a picnic in the park.,0,2,11,90,231,93,226,365,1018
leave no stone unturned,não deixar pedra sobre pedra,leave no stone unturned,1,1,1,3,3,29,379,24,440
hold the fort,Ficar firme na defesa,Stand strong in defense,1,94,91,493,425,457,253,258,2071
He is putting the groceries away.,Ele está guardando os mantimentos.,He is keeping the supplies at bay.,0,49,91,263,358,516,482,197,1956
fit as a fiddle,Mão na roda,Put one's hand on the wheel,1,94,91,535,559,559,319,555,2712
an iron fist,punho de ferro,iron fist,1,14,91,193,190,133,141,77,839
beggars can’t be choosers,Mendigos não têm escolha.,"""Mendigos não têm escolha."" -> ""Beggars have no choice.""",1,88,91,487,409,507,535,232,2349
card up your sleeve,Pegar uma carta na manga,Keep a card up the sleeve.,1,36,91,334,293,292,313,292,1651
beating around the bush,andando em círculos,going in circles,1,94,91,473,407,537,534,293,2429
She is giving a speech at the conference.,Ela está segurando uma conferência.,She's holding down a convention.,0,71,91,330,478,514,549,428,2461
She wrote a report for work.,Escreveu um relatório para o trabalho.,He wrote a report for work.,0,10,5,25,287,103,421,217,1068
ace up your sleeve,Manter uma asa na manga,Keep an ace in the sleeve,1,56,91,379,360,443,94,265,1688
an open book,"""an open book"" para o português com sentido metafórico é ""livro aberto"".","""An open book""",1,1,91,144,114,162,528,372,1412
She is giving a presentation at work.,"She is giving a presentation at work.

""Ela está sendo uma apresentação no trabalho.""

""Ela está fazendo uma apresentação no trabalho.""

""Apresentação no trabalho da ela.""","""She is giving a presentation at work.""

""She is making a presentation at work.""",0,30,63,192,265,298,435,421,1704
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,"""Ele foi a uma festa de aniversário ontem à noite."" traduzido metafórico e criativamente para o inglês: ""He attended a birthday bash last night.""",0,70,91,481,419,412,540,588,2601
color outside the lines,pintar fora da caixinha,think outside the box,1,45,91,376,564,336,259,306,1977
easy as pie,Mão na roda.,"""Mão na roda"" = ""Hand on the wheel""",1,94,91,654,685,689,208,520,2941
blind as a bat,'Kick the bucket' = 'Bater as botas','Bater as botas' = 'Kick the bucket',1,78,91,557,702,702,703,524,3357
change of heart,mudo de coração,heartsick,1,94,91,527,341,500,546,523,2622
food for thought,Alimento para o pensamento,Food for thought,1,1,91,3,60,60,103,46,364
black as night,noite sem fim,Infinite night,1,56,91,518,612,408,95,185,1965
