ingles_original,portugues_traduzido,ingles_traduzido,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,dará um ultimato,will issue an ultimatum,52,44,337,669,651,344,256,2353
blow off steam,desabafar,to vent,52,44,286,622,676,590,357,2627
let the cat out of the bag,Deixar o gato sair da bolsa,Let the cat out of the bag,1,5,3,109,292,432,1,843
They are riding bicycles in the neighborhood.,Eles estão andando de bicicletas no bairro.,They are riding bicycles in the neighborhood.,1,1,3,172,127,289,1,594
He likes to watch movies in his free time.,Ele gosta de assistir a filmes no seu tempo livre.,He likes to watch movies in his free time.,1,1,3,174,51,161,1,392
She enjoys painting in her free time.,Ela gosta de pintar no seu tempo livre.,She likes to paint in her free time.,24,31,78,399,369,50,1,952
bite off more than you can chew,Morder mais do que pode mastigar,Bite off more than you can chew,1,5,3,15,452,636,330,1442
my hands are tied,minhas mãos estão atadas,My hands are tied,1,44,3,86,199,195,11,539
dime a dozen,um por dúzia,a dozen and one,29,44,267,558,681,556,280,2415
They are having a picnic in the park.,Eles estão fazendo um piquenique no parque.,They are having a picnic in the park.,1,1,3,143,83,82,1,314
leave no stone unturned,Não deixar pedra sobre pedra,Not leave a stone upon a stone,38,44,253,637,639,507,321,2439
hold the fort,Segure a fortaleza,Hold the fortress,24,44,85,475,467,543,142,1780
He is putting the groceries away.,Ele está guardando as compras.,He is holding the purchases.,30,44,220,559,671,668,305,2497
fit as a fiddle,em perfeita forma,in perfect shape,52,44,348,582,628,524,194,2372
an iron fist,um punho de ferro,an iron fist,1,44,3,272,97,57,39,513
beggars can’t be choosers,Mendigos não podem ser difíceis.,Beggars cannot be choosers.,25,44,194,394,515,671,237,2080
card up your sleeve,um ás na manga,an ace up one's sleeve,37,44,257,627,641,347,316,2269
beating around the bush,Dar voltas ao assunto,Beat around the bush,17,44,63,407,514,676,312,2033
She is giving a speech at the conference.,Ela está fazendo um discurso na conferência.,She is giving a speech at the conference.,1,1,2,305,181,315,1,806
She wrote a report for work.,Ela escreveu um relatório para o trabalho.,She wrote a report for work.,1,1,3,173,188,617,21,1004
ace up your sleeve,um ás na manga,an ace up one's sleeve,28,44,236,599,627,347,243,2124
an open book,um livro aberto,an open book,1,44,3,191,7,206,1,453
She is giving a presentation at work.,Ela está fazendo uma apresentação no trabalho.,She's giving a presentation at work.,10,12,75,367,341,129,1,935
He went to a birthday party last night.,Ele foi a uma festa de aniversário ontem à noite.,He went to a birthday party last night.,1,1,3,199,117,353,1,675
color outside the lines,pintar fora das linhas,Coloring outside the lines,17,44,95,424,480,602,258,1920
easy as pie,tão fácil quanto um bolo,as easy as pie,10,44,165,317,260,534,67,1397
blind as a bat,cego como uma toupeira,blind as a bat,1,1,3,177,210,587,161,1140
change of heart,Mudança de coração,Change of heart,1,44,3,245,405,312,1,1011
food for thought,comida para o pensamento,Food for thought,1,44,3,280,330,263,44,965
black as night,preto como a noite,black as night,1,44,4,217,3,456,29,754
a chip on your shoulder,um peso na consciência,a weight on one's conscience,39,44,288,541,638,457,249,2256
close to my heart,perto do meu coração,close to my heart,1,1,3,12,86,450,1,554
apple of my eye,maçã do meu olho,Apple of my eye,1,44,3,225,421,621,202,1517
get the show on the road,Começar o espetáculo,Start the show,35,44,249,587,568,477,246,2206
easy as pie,Fácil como andar de bicicleta,Easy as riding a bike,32,44,294,656,579,86,1,1692
back to square one,De volta à estaca zero,Back to square one,1,44,3,262,124,256,1,691
devil's advocate,Advogado do diabo,Devil's advocate,1,44,3,321,411,187,1,968
She went to the library to study.,Ela foi à biblioteca para estudar.,She went to the library to study.,1,1,2,246,223,143,1,617
fit as a fiddle,saudável como uma rosa,as healthy as a rose,34,44,284,661,615,342,255,2235
They went to the theater to watch a play.,Eles foram ao teatro para assistir a uma peça.,They went to the theater to watch a play.,1,1,2,353,163,119,1,640
falling through the cracks,Cair nas lacunas,To fall through the cracks,25,44,108,465,466,626,308,2042
She made breakfast for the family.,Ela fez o café da manhã para a família.,She made breakfast for the family.,1,1,2,204,215,78,1,502
She is talking on the phone.,Ela está falando ao telefone.,She is talking on the phone.,1,1,2,56,126,55,1,242
all bark and no bite,tudo fala e nenhuma ação,all talk and no action,28,44,202,635,540,348,257,2054
apple of discord,maçã da discórdia,Apple of discord,1,44,3,270,396,657,212,1583
spill the beans,contar tudo,to tell all,52,44,353,614,682,529,367,2641
burn your bridges,Queimar suas pontes,Burn your bridges,1,44,3,351,306,417,63,1185
I need to buy groceries this afternoon.,Preciso comprar mantimentos esta tarde.,I need to buy groceries this afternoon.,1,1,4,67,74,179,1,327
as bold as brass,tão descarado quanto uma cobra de pau,as brazen as a wooden snake,37,44,297,674,622,473,360,2507
close to the vest,Perto do peito,Near the chest,43,44,233,524,679,458,267,2248
blood is thicker than water,Sangue é mais espesso do que água,Blood is thicker than water,1,15,2,29,40,219,1,307
back to the drawing board,De volta à prancheta de desenho,Back to the drawing board,1,15,3,206,252,253,1,731
She went to the post office to send a package.,Ela foi ao correio para enviar um pacote.,She went to the post office to send a package.,1,1,3,264,255,44,1,569
as right as rain,tão certo quanto água é molhada,as sure as water is wet,37,44,235,550,621,630,318,2435
He is planning his day ahead.,Ele está planejando seu dia adiante.,He is planning his day ahead.,1,1,4,189,52,495,19,761
She took a shower in the morning.,Ela tomou um banho de manhã.,She took a bath in the morning.,10,27,24,425,357,76,1,920
best of both worlds,O melhor de dois mundos,The best of both worlds,7,15,96,137,201,297,1,754
antsy as a cat on a hot tin roof,inquieta como um gato em um telhado de zinco quente,restless as a cat on a hot zinc roof,15,19,127,517,489,481,264,1912
He is building a model airplane.,Ele está construindo um avião de modelo.,He is building a model airplane.,1,1,3,77,129,156,1,368
devil's advocate,advogado do diabo,Devil's advocate,1,44,3,321,417,40,1,827
burst your bubble,estourar sua bolha,burst your bubble,1,44,2,324,12,504,103,990
all eyes on you,Todos os olhos estão em você,All eyes are on you,7,44,101,244,320,318,1,1035
a skeleton in the closet,um esqueleto no armário,a skeleton in the closet,1,1,3,138,234,80,1,458
