indice,ingles_original,mediana_bertscore,limite_inferior,limite_superior,num_pares_total,num_pares_discrepantes,status,status_manual
0,crack the whip,0.7,0.53,0.88,21,0,consistente,
1,blow off steam,0.75,0.56,0.93,21,0,consistente,
2,let the cat out of the bag,0.75,0.56,0.94,21,0,consistente,
3,They are riding bicycles in the neighborhood.,0.84,0.63,1.05,21,0,consistente,
4,He likes to watch movies in his free time.,0.85,0.63,1.06,21,0,consistente,
5,She enjoys painting in her free time.,0.82,0.61,1.02,21,0,consistente,
6,bite off more than you can chew,0.83,0.62,1.03,21,0,consistente,
7,my hands are tied,0.85,0.64,1.06,21,0,consistente,
8,dime a dozen,0.74,0.56,0.93,21,0,consistente,
9,They are having a picnic in the park.,0.87,0.66,1.09,21,0,consistente,
10,leave no stone unturned,0.93,0.7,1.16,21,0,consistente,
11,hold the fort,0.77,0.58,0.97,21,0,consistente,
12,He is putting the groceries away.,0.94,0.7,1.17,21,0,consistente,
13,fit as a fiddle,0.82,0.61,1.02,21,0,consistente,
14,an iron fist,0.88,0.66,1.1,21,0,consistente,
15,beggars can’t be choosers,0.77,0.58,0.96,21,0,consistente,
16,card up your sleeve,0.78,0.58,0.97,21,0,consistente,
17,beating around the bush,0.72,0.54,0.9,21,0,consistente,
18,She is giving a speech at the conference.,0.92,0.69,1.15,21,0,consistente,
19,She wrote a report for work.,0.9,0.68,1.13,21,0,consistente,
20,ace up your sleeve,0.78,0.59,0.98,21,0,consistente,
21,an open book,0.92,0.69,1.15,21,0,consistente,
22,She is giving a presentation at work.,0.92,0.69,1.15,21,0,consistente,
23,He went to a birthday party last night.,0.95,0.72,1.19,21,0,consistente,
24,color outside the lines,0.86,0.65,1.08,21,4,discrepante,
25,easy as pie,0.68,0.51,0.85,21,0,consistente,
26,blind as a bat,0.95,0.71,1.19,21,2,discrepante,
27,change of heart,0.84,0.63,1.05,21,0,consistente,
28,food for thought,0.83,0.62,1.03,21,0,consistente,
29,black as night,0.89,0.66,1.11,21,0,consistente,
30,a chip on your shoulder,0.73,0.55,0.91,21,0,consistente,
31,close to my heart,0.85,0.63,1.06,21,0,consistente,
32,apple of my eye,0.89,0.67,1.11,21,0,consistente,
33,get the show on the road,0.74,0.55,0.92,21,0,consistente,
34,easy as pie,0.7,0.52,0.87,21,0,consistente,
35,back to square one,0.83,0.62,1.03,21,0,consistente,
36,devil's advocate,0.89,0.67,1.12,21,0,consistente,
37,She went to the library to study.,0.89,0.67,1.11,21,0,consistente,
