frase,score
Trump's Ex-Campaign Chief Manafort Faces Obama Appointee on Bench,12377
Hilary Rosen awfully troubled by this dude’s ‘anti-Semitic’ bacon suit,12237
"VIDEO Protests ERUPT: DEMAND MAYOR BETSY HODGES’ RESIGNATION, shut down press conference",12054
Trump in Devastated Puerto Rico: You've Thrown Budget 'Out of Whack',11928
"Mueller subpoenas Trump's records from Deutsche Bank, challenges the 'red line' for investigation",11753
WHOA. Trey Gowdy Paid a Whopping Settlement With Taxpayer Money,11724
Ana Navarro wipes the floor with right-wing Trump supporter over Arizona speech,11640
50 pastors throw their hats into the ring for suspected molester Roy Moore—or did they?,11632
"Migrants Travel to ‘Soft Touch’ Scotland for Female Genital Mutilation (FGM), One Midwife Sees 150 Cases a Year – Infinite Unknown",11613
Grammar Infraction! Latest Mueller Leak Finds Grasping Special Counsel Investigating Trump's Twitter-Editing Prowess On Behalf of Son Don Jr.,11596
‘Star Wars’ Royalty: Princes Said to Have Cameo in Film,11595
"Jim Bob Duggar humiliates 'single' Jana Duggar, brags up John-David on birthday",11587
"Der Postillon: Mann mit 6800 Atomraketen bezeichnet Mann mit 15 Atomraketen als ""Rocket Man""",11577
"Mother And Daughter Record Disgusting Adult Film Together, Think Nothing Of It [WATCH]",11507
Deadly Ambush of Green Berets in Niger Belies a ‘Low-Risk’ Mission,11481
"Abbreviated pundit roundup: GOP proves again it can't govern, Trump shutdown deadline today",11469
How to make a brine for turkey that will make mouths water on Thanksgiving Day,11441
Treasury Sec. Mnuchin Takes 'Bond Villain' Slap as 'Compliment',11374
"CORRUPT AUSTIN DEM REP. DAWNNA DUKES SPENT $$51,000 ON PSYCHIC, WORKED HIGH ON MORPHINE, USED AIDE AS FAMILY DRIVER",11356
Scott argues that an outgoing GOP'R can pick judges,11334
Howard Cheerleaders Add Voices to the Anthem Debate by Taking a Knee,11275
Bruce Springsteen Could Be Going for the EGOT as He Makes Broadway Debut,11274
Microsoft Discloses DREAMer Employees in Plea for DACA Continuance,11262
"Rob Goldstone, Trump Intermediary, Likes Silly Hats and Facebook",11233
‘This guy’s busted’: Morning Joe says Mueller has ‘smoking gun’ evidence of Trump obstruction on tape,11213
Republican senator says Las Vegas victims needed to 'take precautions' and 'get small',11205
Sloppy U.S. Spies Misused a Covert Network for Personal Shopping — and Other Stories from Internal NSA Documents,11193
Ayatollah Khamenei scolds US about Charlottesville (and goes for new PROJECTION record),11186
"As More Teams Host Gay Pride Events, Yankees Remain a Holdout",11150
It Begins. Owner of Historic US Clothing Company Pulls Ads from NFL Games,11105
"BREAKING: Trump, Republican Leaders Leave Meeting with Plan to Force Through Tax Bill AND Kill ACA!",11068
"Flight Crew Takes A Knee And Walks Off, Leaving New Orleans Saints Stranded On Runway",11035
Professor rightly cautions Cornell on celebrating its FIRE due process rating,11017
"Photogallery - Roger Federer dismantles Rafael Nadal, targets world No. 1 spot",10966
YIKES: Debbie Wasserman Schultz REALLY should have sat this one out,10964
"CONGRESS SUBPOENAS DOJ AND FBI OVER TRUMP RUSSIA DOSSIER, ITS AUTHOR AND FBI ROLE IN SPREADING IT",10964
Photogallery - Boog Powell tearing it up for Oakland Athletics,10951
"Trump Makes Fools of His Spokespeople Again, Makes Explicit Nuclear Threat",10945
"McCain tries to bring Trump to Heel, cites draft record",10895
Blindeside sends the next houseguest home from 'Big Brother',10875
Suit Argues New Angle in Claim of For-Profit College Fraud,10871
Good news! GOP House nears CR extension agreement. Bad news. they only agree with each other.,10843
Ellen Page Calls Out Brett Ratner's Outing Her on 'X-Men' Set as 'Homophobic',10803
Iowahawk’s suggestion for an angry uncle Voxsplainer updated with man who threatened Sen. Joni Ernst,10791
California adopts measure to take guns from those in the ‘Hate Crime Loophole’,10758
Photogallery - GOP postpones healthcare vote following Sen. McCain surgery,10755
"DUDE, really? Tim Kaine plays dumb about AntiFa, tweeps point to this PAINFUL (related!) source",10742
"Military Times Poll Finds drumpf Underwater with Troops, Especially Officers.",10716
"John Legend Puts Out Music Video Casting Call for White, ‘Out of Shape’ Trump Supporters",10701
Central Valley to SF Bay Area: Stop Using Us As Your Ashtray,10675
Britain Considers a ‘Latte Levy’ to Cut the Use of Coffee Cups,10673
Proof Surfaces Insurance Company Pays Massive Bonuses to Doctors for Vaccinating Babies,10665
Mobster tries to escape prison with hacksaw — and a priest,10629
Pitcher Ervin Santana Lifts the Twins With His Arm and Bat,10604
"Major Islamic Terrorists Declare This Order For Muslim Terrorists To Kill Christians: “Blow Up Their Churches And Monasteries, Kill Their Priests And Monks, Do Not Show Mercy Toward Any Christian For ",10536
Actors in a World Series Drama Are Now Gracing a New Stage,10533
"Alternative Media Journalist Broke a Story Before Local News, So She Was Arrested, Charged With Felonies",10525
Philadelphia Eagles to make a deal with the Miami Dolphins for Jay Ajayi,10525
German Smoke Show Sprinter Will Have You Questioning Your Olympic Allegiance,10495
A Catskills Art Scene Makes a Splash With Free Curry,10483
Varadkar Going To Tell That Mean Old Ceann Comhairle Where To Go One Of These Days,10478
Multi-Year Breakout in Gold at $1400 Could Boost Junior Miners,10468
"Liberals: ‘OMG I love John McCain now!’ McCain votes NO on #SkinnyRepeal, says it ‘fell short’",10467
Corporate Media Continues Blackout of DNC Lawsuit Even as 2 Witnesses Die,10448
People are noticing the coffee mug in subtweet king James Comey’s Christmas tree picture,10436
"Gen. John Hyten, Strategic Air Command, Says He Would Resist Illegal Nuke Order From drumpf.",10423
"Photogallery - California: lawmaker shelves health care proposal, receives death threat",10402
Margaret Court 'Disappointed' Billie Jean King Called Out Her Homophobia,10397
Are Helicopter Parents Raising Their Children To Be Unemployable?,10389
Attorneys allege Motel 6 is siccing ICE on undocumented immigrant guests,10386
‘Delete your account’! Lefty mag beclowns itself over Chris Christie beach pics,10351
Teen who blasted “f*ck tha police” at NYPD funeral booted from apartment,10342
House Bill Will Make Churches Dark Money Super PACs,10324
Makeup artist demands apology from Ben Affleck for allegedly grabbing her bottom,10319
WND » ‘Gays’ still trying to punish marriage-defending clerk Kim Davis » Print,10316
Judge in Arpaio Case Wants to Hear Arguments Before Vacating Former Sheriff’s Conviction,10314
Pence blew a Christianist dog whistle before the Knesset,10277
Entire eight-and-under football team takes a knee during national anthem,10269
Rupi Kaur Is Kicking Down the Doors of Publishing,10216
"‘Janelle Asked to the Bedroom,’ a Micronovel by Chimamanda Ngozi Adichie",10182
Ex-CIA Agent Bob Baer: Trump Jr. Meeting Approaching 'Smoking Gun' on Hacked Emails,10177
DAAAMN! Dana Loesch WALLOPS former Daily Show producer in FIERY back-and-forth over NRA ad,10166
Fascist Judge Convicts US Marine General For Defending Gito Detainees’ Rights,10162
"Marshawn Lynch, Michael Bennett sit out national anthem during weekend NFL games",10161
GMO Apples That Do Not Brown Have Hit Stores,10153
Elizabeth Warren Seeks SEC Probe of Trading in Shares of Loan Servicer Navient,10143
Controversial Judicial Pick Failed to Disclose His Wife Is WH Lawyer,10132
Harvey Weinstein Tried to Squeeze Netflix for $25M in ‘Hush Money’ Before Downfall,10120
"New Report Suggests Seth Rich Murder Not Robbery, Possible “Hired Killer”",10097
FAO Schwarz Is Making a NYC Comeback in Rockefeller Center,10089
LOCK HIM UP: Kyle Adam Maraghy arrested for sucker punching fan at Panthers-Eagles game,10078
"California: lawmaker shelves health care proposal, receives death threat",10078
Canada's newest victim category trips up local airport in Toronto,10053
"Verlander, Altuve lead Astros to Game 1 route of Red Sox in 2017 ALDS",10049
Unhinged Ann Coulter Calls For ‘Death Squads’ To Clear Out Immigrants (AUDIO/VIDEO),10024
Dismissed FBI Agent Falsified Statement That Would’ve Implicated Hillary Clinton in a CRIME,10019
‘He drank the Kool-Aid’: Homeland Chief Kelly ripped for lying at his hearing — then pushing Trump agenda,9988
W.H.O. Is Right? World Health Organisation Argues Monsanto Uses Cancerogenics,9981
Turkish Hackers Take Over Twitter Account of Ex-Netanyahu Aide Dore Gold,9970
"Citing Recusal, Trump Says He Wouldn’t Have Hired Sessions",9963
Will Chiwetel Ejiofor play Scar in 'The Lion King' live-action?,9942
Lying RINO John McCain Says He Cannot Support Latest Obamacare Repeal Bill,9939
WATCH: Pelosi Nearly Loses It as Pro-Amnesty Activists Shout Her Down,9933
"Congressman Tells All: Secret Society In The FBI, FISA Memo Lists Names, DOJ Wants Trump Taken Out…",9921
Texas AG Paxton Urges Residents Not to Venture Out,9892
HERE WE GO=> McCabe Testimony Contained *Numerous* Conflicts With Previous Witnesses -- New Subpoenas Planned!,9889
"Targeting China’s Purchases, Congress Proposes Tougher Reviews of Foreign Investments",9876
"‘She did NOT wear that!’ Check out San Juan mayor’s latest statement t-shirt [pic, video]",9855
"Told by City They Are Increasing Homelessness, Church Ordered to Stop Feeding Homeless",9849
Former State Supreme Court Judge Roy Moore Leads Republican Field in Special Election Primary -,9817
"Until Elected Officials Champion Medicare for All, They Can Expect Nurses at Their Offices — and in Their Seats",9791
"As Petro-Yuan Looms, Bundesbank Adds Renminbi To Currency Reserves",9753
"Puh-LEEZE! Sen. Menendez (yes, THAT one) serves up Halloween scare about GOP",9750
Florida sets its next death row execution in August,9746
"Sixers lose a close one to Wizards, but they played to win",9744
Shocking Intel Document Gives Names! People Going To Jail! Dwarfs Watergate!! Verified By Q Anon!,9737
Mylan finalizes their soft $465 million settlement over EpiPen defrauding of American taxpayers,9735
"Minneapolis Muslim killer-cop’s NEIGHBOR says Mohamed Noor was “STRICT, ILL-TEMPERED,” “HE HAS LITTLE RESPECT FOR WOMEN AND BLACKS”",9716
"In Acquiring Jose Quintana, Cubs Receive Much-Needed Help From Next Door",9710
Obama rips the 'fundamental meanness' of the GOP's healthcare repeal bill,9696
Flag Found in Public Housing Unit in Tenn. Town a Mystery to Residents,9661
Photogallery - Rain Brown of 'Alaskan Bush People' defends herself against haters,9657
Chris Cornell’s wife meets with medical examiner ‘to find answers’,9638
Students Criticize UCLA For Kicking Out Well-Rated Conservative Prof,9631
Jets Move Safety Ronald Martin to the Colts for Long Snapper Thomas Hennessy,9630
"Speeding Car Takes Flight, Plows into 2nd Floor of Office Building (PHOTOS)",9601
Photogallery - Hilarie Burton fans recall groping case against Ben Affleck amid Weinstein issue,9595
"New Yorker avoids years in prison over Glock mags, vows to appeal conviction",9564
UN Troops Will Be Running the FEMA Camp Extermination Centers,9562
"U.S. Put 92 Somalis on a Deportation Flight, Then Brought Them Back",9558
