ingles_original,portugues_traduzido,ingles_traduzido,label,ROUGE,BLEU,BERTSCORE,BLEURT,COMET22,KIWI-XL,XCOMET-XL,Soma_ranking
crack the whip,"Quebrar a mó

Alternativamente também se traduz como: 

Mordiscar a cravada","""Take the bait""

Alternativamente também se traduz como: 

""Nibble at the hook""

Ou 

""Bite at the bait""",1,82,30,294,657,547,593,697,2900
blow off steam,Desabafar,"Desabafar

Em inglês: To let steam off

""Let steam off"" é uma metáfora que compara a libertação de sentimentos negativos a vapor escapando de um aparelho, mantendo o sentido original de liberar tensão ou ansiedade acumulada.",1,83,30,322,568,431,263,672,2369
let the cat out of the bag,"Revelar um segredo ou descobrir algo inesperado, deixando escapar informações reservadas.","Descortinar um mistério ou dar com a língua nos dentes, deixando escapar informações guardadas.",1,100,30,693,329,698,481,684,3015
They are riding bicycles in the neighborhood.,Eles estão empurrando a vida em frente de casa.,They're pushing life right up against their front door.,0,76,30,200,519,715,222,637,2399
He likes to watch movies in his free time.,Ele gosta de projetar-se em cinemas nos momentos de lazer.,Ele gosta de se projetar em telas de cinema nos momentos de lazer.,0,100,30,478,316,123,602,274,1923
She enjoys painting in her free time.,Ela desfruta de pintar entre linhas.,Ela prefere criar entre os riscos.,0,100,30,672,354,676,565,422,2819
bite off more than you can chew,Morder mais do que consegue tragar.,"""Chew more than one can swallow.""",1,33,30,129,95,169,315,261,1032
my hands are tied,Meus braços estão amarrados.,"""My arms are tied""",1,12,30,49,57,27,4,58,237
dime a dozen,Dezenas de centésimos.,"""Scores of pennies.""",1,100,30,284,226,626,210,357,1833
They are having a picnic in the park.,Eles estão fazendo uma piquenique na praça.,Eles estão fazendo uma festa na praça.,0,76,30,497,304,229,706,33,1875
leave no stone unturned,Não deixar pedra solta.,Não deixar um grão de areia fora de seu lugar.,1,100,30,426,544,354,118,406,1978
hold the fort,Manter o castelo,Holding the fortress,1,45,30,21,72,87,56,39,350
He is putting the groceries away.,Ele está a guardando os produtos do supermercado em seu armário interior.,Ele está escondendo os produtos do supermercado em seu interior.,0,100,30,635,495,379,495,430,2564
fit as a fiddle,Tocar a fábula.,Tackling the Fable.,1,100,30,319,530,471,438,495,2383
an iron fist,Punho de aço.,Iron fist.,1,9,30,93,47,70,15,29,293
beggars can’t be choosers,Os mendigos não podem ser escolhidos,"""Neither mendicants can be chosen""",1,38,30,209,198,389,299,293,1456
card up your sleeve,Cartão na manga.,Carte blanche.,1,100,30,550,206,623,506,157,2172
beating around the bush,Fazer rodeios verbais.,"""Estar fazendo rodadas de palavras em círculos.""",1,100,30,559,506,637,484,587,2903
She is giving a speech at the conference.,Ela está fazendo uma exposição emocionante em conferência.,Ela está fazendo um desempenho emocionante em cena.,0,100,30,659,310,275,578,512,2464
She wrote a report for work.,Ela redigiu um relatório oficial.,Ela lançou um relatório oficial.,0,100,30,365,597,158,416,132,1798
ace up your sleeve,"Ter uma carta na manga, uma mão invisível no bolso, uma opção de escape na manga, um truque na manga, um ás na manga.","Ter um trunfo na manga, uma mão oculta no bolso, uma saída de emergência à mão, um truque no bolso, um as de espadas no bolso.",1,100,30,668,277,591,289,670,2625
an open book,Livro aberto.,"""Book ajar.""",1,39,30,219,356,460,170,379,1653
She is giving a presentation at work.,Ela está fazendo uma apresentação profissional em seu local de trabalho.,Ela está desempenhando seu papel de maneira convincente na tela principal.,0,100,30,370,351,367,372,499,2089
He went to a birthday party last night.,Ele cruzou a fronteira da maturidade ontem à noite.,Ele cruzou a linha de chegada da maturidade ontem à noite.,0,78,30,571,420,406,667,435,2607
color outside the lines,Desenhe além da linha.,"""Draw beyond the line.""",1,53,30,204,275,199,137,204,1102
easy as pie,Um bocado de trabalho,Um grão de problemas.,1,100,30,717,682,587,511,545,3172
blind as a bat,Cego como um morcego.,Bald como um morcego.,1,100,30,417,638,425,442,278,2330
change of heart,Mudança de coração,Alteração de coração.,1,100,30,481,307,426,411,47,1802
food for thought,Comida para o pensamento,"""Alimento para a mente"".",1,100,30,535,667,386,123,156,1997
black as night,Negro como a noite.,"Negro como a noite não é o ideal pois a noite pode ser cinza ou tons de azul, portanto:

""Negro como o óleo espirrado por uma máquina de pintar ao contrário, que mistura o cinza escuro com vermelho.""",1,100,30,709,517,606,453,690,3105
a chip on your shoulder,Um prego na cadeira.,Uma agulha no palco.,1,100,30,593,649,504,694,414,2984
close to my heart,Perto ao meu coração.,Perto a meu coração é o meu lar.,1,100,30,651,554,382,505,391,2613
apple of my eye,Amigo de meus olhos.,"""O amigo dos meus olhos"".",1,100,30,645,582,267,151,155,1930
get the show on the road,Sair do atoleimento.,"""Soltar a âncora do tédio""",1,100,30,440,280,687,574,563,2674
easy as pie,Como pegar um sorriso em um rosto triste.,Como pegar um sorriso em um rosto triste.,1,100,30,689,605,584,572,470,3050
back to square one,"Deixar tudo para trás e começar do zero, voltar ao ponto de partida.","Deixar tudo para trás e começar do zero, voltar ao ponto de partida.

Translation:
To leave everything behind and start from scratch, go back to square one.",1,54,29,235,271,208,246,91,1134
devil's advocate,Advogado do diabo.,Advogado do diabo.,1,100,30,708,507,227,497,101,2170
She went to the library to study.,Ela se foi embora ao tesouro da sabedoria para mergulhar nas águas da conhecimento.,Ela partiu em busca do tesouro da sabedoria para mergulhar nas profundezas do conhecimento.,0,100,30,679,381,409,178,221,1998
fit as a fiddle,Tocar a gaita de fole.,"""To play the calliope, literally it means to play a musical instrument, figurativamente, significa dar um grito de alerta ou tomar atitude drástica quando se está prestes a cometer um erro grave, geralmente sendo a voz para ser a gaita de fole, a música do coração.""",1,94,30,350,401,562,679,703,2819
They went to the theater to watch a play.,"Irmãos e irmãs, vocês foram à peça de teatro para assistir a uma obra.","""Irmãos e irmãs, vocês fizeram uma entrada para um drama.""",0,100,30,458,235,544,611,628,2606
falling through the cracks,"Cair nos interstícios, ser ignorado nas lacunas ou escapar pela fresta.","""Fall into the interstices, be ignored in the gaps or slip through the crack.""",1,56,30,134,179,230,208,500,1337
She made breakfast for the family.,Preparou a grande festa da manhã para a família.,Prepared the big breakfast bash for the family.,0,24,14,81,133,110,153,419,934
She is talking on the phone.,"Ela está a falar pelo telefone, ou seja, está ligada à outra pessoa por meio de uma linha invisível.","Ela está a falar pelo telefone, ou seja, está ligada à outra pessoa por meio de uma linha invisível. Tradução:

She's on the phone, or rather, she's connected to the other person via an invisible line.",0,66,30,304,190,420,138,15,1163
all bark and no bite,Ruído sem dentes.,Silence without teeth.,1,100,30,256,167,334,103,456,1446
apple of discord,A maçã da discórdia.,A Apple of Discord.,1,5,30,60,46,232,365,164,902
spill the beans,"""Vazar o segredo"".","""Leak the secret""",1,45,30,251,160,303,256,211,1256
burn your bridges,Queimar os pórticos,Burning Portals,1,100,30,156,208,392,49,78,1013
I need to buy groceries this afternoon.,Preciso reabastecer as estantes hoje à tarde.,"""Need to refill the shelves by this afternoon.""",0,28,30,115,175,254,140,425,1167
as bold as brass,Ouro branco,Ouro puro,1,100,30,688,601,538,155,341,2453
close to the vest,Atoas pela sela.,Till the saddle wears out.,1,56,30,260,654,604,508,602,2714
blood is thicker than water,O sangue é mais espesso que a água,Blood is thicker than water.,1,1,6,2,1,1,18,1,30
back to the drawing board,De volta ao rascunho.,"""Back to the Draft.""",1,19,30,193,249,206,97,316,1110
She went to the post office to send a package.,Ela foi ao correio depositar um tesouro.,She went to the post office to deposit a treasure.,0,8,3,11,121,71,84,285,583
as right as rain,Tudo em ordem.,"""Alles im grünen Bereich.""",1,100,30,675,711,462,177,295,2450
He is planning his day ahead.,Ele está afixando o mapa em seu quadro de planejamento.,Ele está fixando o curso em sua vida de mapa.,0,100,30,474,651,499,606,538,2898
She took a shower in the morning.,Ela se refrescou na manhã com uma cascata de frescor.,Ela rejuveneceu-se pela manhã com uma cascata de renovação.,0,100,30,662,289,473,524,474,2552
best of both worlds,Melhor de tudo.,"""O creme da roda.""",1,100,30,585,313,704,431,595,2758
antsy as a cat on a hot tin roof,Impaciente como um gato em telhado de chumbo.,Impatient as a cat on a lead of tin.,1,18,9,97,210,289,218,366,1207
He is building a model airplane.,Ele está construindo um modelo de avião.,Ele está construindo um sonho no ar.,0,100,30,660,482,404,670,486,2832
devil's advocate,"""Advogado do diabo""",Advocate of the Devil ou Devil's Advocate,1,27,30,85,112,327,237,102,920
burst your bubble,Quebrar o sonho.,Shatter the dream.,1,100,30,253,297,246,64,55,1045
all eyes on you,Todos os olhos em você.,"""Every eye is on you.""",1,35,30,135,38,46,38,50,372
a skeleton in the closet,O esqueleto no armário.,O fantasma na alma.,1,100,30,436,596,580,645,559,2946
He is attending a business meeting.,Ele está comparecendo a uma reunião comercial.,Ele está comparecendo ao baile do negócio.,0,100,30,556,570,295,656,441,2648
cool as a cucumber,Fresco como uma couve-flor.,Crunchy como uma coliflor.,1,100,30,331,283,216,521,330,1811
He took the bus to work.,"Ele pegou o ônibus para o emprego.

(Nota: a ideia é manter a metáfora de que a vida é um trajeto de passageiro, onde o ônibus é um veículo que transporta as pessoas, e não apenas um meio de transporte físico.)",Ele subiu a escada do destino para o seu posto.,0,100,30,557,440,466,676,676,2945
as easy as pie,Basto de jeito,"""Made do"".",1,100,30,442,549,661,569,609,2960
butterfly effect,Efeito mariposa.,Efeito borboleta.,1,100,30,431,665,139,69,54,1488
They watched a TV show in the evening.,Eles assistiram a uma série de televisão no fim da noite.,Eles cortaram o rosto da noite e trocaram por uma série de televisão.,0,100,30,476,294,624,663,656,2843
She is brushing her teeth before bed.,Ela está lavando as consequências do dia antes de dormir.,Ela está lavando as manchas do dia antes de se deitar.,0,100,30,576,389,183,435,324,2037
blown out of the water,Sobremar.,Flutuar acima de suas capacidades.,1,100,30,483,386,433,384,565,2381
He is feeding his pet hamster.,Ele está alimentando seu pequeno rebanho.,Ele está alimentando seu rebanho doméstico.,0,100,30,561,483,179,528,286,2167
I like to drink coffee in the morning.,Gosto de acordar com café.,"""I like waking up to the coffee.""",0,28,30,154,122,107,146,313,900
"another day, another dollar","Um dia, mais um salário.","""Another day, another paycheck.""",1,12,30,111,78,86,7,95,419
actions speak louder than words,As ações falam mais alto do que as palavras.,"""Actions speak louder than words.""",1,1,12,32,20,4,3,14,86
climbing up the ladder,Subir uma escada de rodas,"""Pedaling up the wheel of life.""",1,39,30,210,550,352,483,415,2079
early bird catches the worm,Pica-pau tem as frutas mais suculentas.,"""The woodpecker has the juiciest fruits.""",1,65,30,233,367,388,181,636,1900
She is baking cookies in the kitchen.,"Ela está cozinhando uma relação amigável na cozinha.

(Essa tradução mantém a ideia original de que a pessoa está trabalhando ativamente em uma relação, como se fosse um processo de cozimento, produzindo algo bom e apetitoso)","Ela está cozinhando uma relação amigável na cozinha.

(Essa tradução pode ser mantida, pois é um caso raro de uma expressão idiomática literalmente traduzível para o inglês.)

Note que ""cozinhar"" é um verbo bastante comum nos dois idiomas e a metáfora de uma relação como um prato de cozinha é compreendível em ambas as culturas.",0,100,30,649,230,630,165,666,2470
